Model,Cluster
aadl translator pulseox forwarding bidirectional system pulseox forwarding bidirectional system imp ,42
aadl translator pulseox forwarding devtodev system pulseox forwarding devtodev system imp ,42
aadl translator pulseox forwarding duplicate system duplicate system imp ,32
aadl translator pulseox forwarding duplicate system pulseox forwarding duplicate system imp ,42
aadl translator pulseox forwarding system pulseox forwarding system imp ,42
aadl translator pulseox forwarding system pulseox forwarding system imp ,42
aadl translator pulseox incdataport system pulseox forwarding system imp ,42
aadl translator simplecapnograph simplecapnograph impl ,13
aadl translator simplepca simplepca impl ,13
aadl tutorial syst securitysystem device ,9
aadl wobbuloscope wobbuloscope wobbuloscope impl ,40
aadluppaal bouncing ball sys ball impl ,13
aadlib adiru adiru deos ,44
aadlib adiru adiru emv ,44
aadlib adiru adiru impl ,44
aadlib adiru adiru vxworks ,44
aadlib aocs aocs subsystem impl ,40
aadlib arincexample arincsystem impl ,19
aadlib arincexample module system impl ,36
aadlib arincexample module system impl ,36
aadlib autopilot subsys mcu impl ,40
aadlib avionicsbusmanagers avionicsbusmgr xps ,36
aadlib block fpa block without runtime ,4
aadlib block fpa block runtime ,5
aadlib block memory management eight link ,5
aadlib block memory management two link ,5
aadlib block obc ,5
aadlib car car impl ,44
aadlib dm door management imp ,6
aadlib emaxxv power distrib emaxxv power ,39
aadlib emaxxv system emaxxv impl ,39
aadlib flight control system fcs impl ,41
aadlib flowlatencydata application allperiodicdelayed ,42
aadlib flowlatencydata topsystem distributedallperiodicdelayed ,42
aadlib flowlatencysampleddata application alldatadriven ,42
aadlib flowlatencysampleddata application allperiodicsampled ,42
aadlib flowlatencysampleddata hardwareplatform dual ,21
aadlib flowlatencysampleddata hardwareplatform single ,21
aadlib flowlatencysampleddata topsystem alldatadriven ,42
aadlib flowlatencysampleddata topsystem allperiodicsampled ,42
aadlib flowlatencysampleddata topsystem distributedalldatadriven ,42
aadlib flybywire subsys mcu impl ,39
aadlib fm fm impl ,41
aadlib hello world hello impl ,36
aadlib hello world hello impl ,36
aadlib isr ticker system impl ,9
aadlib main ardupilot ardupilot map impl ,38
aadlib main ardupilot ardupilot shield impl ,38
aadlib mar pathfinder sys mar pathfinder correct ,40
aadlib mar pathfinder sys mar pathfinder impl ,40
aadlib minepump ba minepump impl ,44
aadlib minepump minepump impl ,44
aadlib minirocket system minirocket impl ,39
aadlib mixin demo impl ,38
aadlib modevva modevva impl ,36
aadlib pacemaker pkg devicecontrollermonitor others ,9
aadlib paparazzo system airborne impl ,39
aadlib paparazzo system paparazzo basic archi ,39
aadlib paparazzo system paparazzo pnp task interruption ,39
aadlib paparazzo system paparazzo pp task ap interruption ,39
aadlib paparazzo system paparazzo pp task interruption ,39
aadlib partitionedsystemexample arincsystem impl ,36
aadlib perseus perseus rocket impl ,38
aadlib perseus perseus rocket master ,38
aadlib ping ping ima ,36
aadlib prodcons vxworks impl ,36
aadlib quadrirotorv system arm ,39
aadlib quadrirotorv system arm ,39
aadlib quadrirotorv system quadrirotorv impl ,39
aadlib quadrirotorv system quadrirotorv impl ,39
aadlib radar system radar simple ,40
aadlib rap code rap native ,17
aadlib rap rap erc ork ,17
aadlib rap rap generic impl ,17
aadlib rap rap leon ork ,17
aadlib rap rap leon rtems ,17
aadlib rap rap native ,4
aadlib ravenscar example case study leon local ,44
aadlib rmaaadl rma impl ,35
aadlib robot ba robot ,44
aadlib robot lf line follower robot ,38
aadlib robot robot ,44
aadlib round robin rr impl nopreempt ,36
aadlib round robin rr impl preempt ,36
aadlib satellite system obmu impl ,41
aadlib smp smp impl ,36
aadlib stmdiscovery ada blinky impl ,35
aadlib subsystem m system impl ,41
aadlib subsystem m system impl ,41
aadlib subsystem m system impl ,41
aadlib subsystem m system impl ,41
aadlib time triggered tt impl ,36
aadlib traxsterv system traxsterv impl ,39
aadlmodel homesecuritysystem hs securitysystem device ,39
aadlmodel smartthermostat thermostat arch generator impl ,10
aadlmodel smartthermostat thermostat arch temp sensor impl ,5
aadlmodel smartthermostat thermostat arch thermostat controller impl ,9
aadlmodel smartthermostat thermostat arch thermostat impl ,38
aadlprojects smartparking communicationsupport impl ,44
aadlprojects smartparking driver impl ,3
aadlprojects smartparking parkelecpaymt impl ,4
aadlprojects smartparking parkingsystem impl ,44
aadlprojects smartparking parkmgmtsys impl ,4
aadlprojects smartparking parkmgmt impl ,4
aadlprojects smartparking persinfodev impl ,4
aadlprojects smartparking persinteractvtravinfo impl ,4
aadlprojects smartparking personallocmanagement impl ,4
aadlprojects smartparking roadsideequip impl ,4
aadlprojects smartparking roadsideinforeception impl ,44
aadlprojects smartparking rseparkmgmt impl ,4
aadlprojects smartparking smartparkingsystem impl ,17
aadlprojects smartparking ticdatacoll impl ,4
aadlprojects smartparking ticinteractvtravinfo impl ,4
aadlprojects smartparking transinfoctr impl ,17
aadlprojects smartparking vehbasesafe impl ,5
aadlprojects smartparking vehicleobe impl ,4
aadlprojects speedwrisic roadassistanceits impl ,4
aadlprojects speedwrisic rsequip impl ,5
aadlprojects speedwrisic speed impl ,4
aadlprojects speedwrisic tminfo impl ,4
aadlprojects speedwrisic vehicletransit impl ,17
aadlprojects vtv remotevehicleobe impl ,3
aadlprojects vtv transoperator impl ,3
aadlprojects vtv transvobe impl ,4
aadlprojects vtv vehicletransitsystem impl ,4
aadlv issue  child impl ,43
aadlv issue  parent impl ,43
aadlvending sterownik vendingmachinesterownik device ,39
aadlvending sterownik vendingmachinesterownik device ,39
aadl architecture marspathfinder pt system simple ,36
aadl fee board stm stml discovery impl ,19
aadl fee fee fee impl ,19
aadl il project il il impl ,43
aadl model bankomat atmsystem device ,39
aadl raspberry smacz humanactivitymonitoringsystem impl ,40
aaspe automotive system car cherokee ,19
aaspe automotive system integration attack ,19
aaspe automotive system integration ,19
aaspe security cwe main correct ,10
aaspe security cwe main incorrect ,8
aaspe security cwe main ,8
aaspe security cwe main failure ,22
aaspe security cwe main ,22
aaspe security cwe main success ,22
aaspe security cwe main success ,22
aaspe security cwe main correct ,8
aaspe security cwe main incorrect ,8
aaspe security cwe main ,8
aaspe security cwe main failure array ,22
aaspe security cwe main failure float ,22
aaspe security cwe main failure int ,2
aaspe security cwe main success array ,2
aaspe security cwe main success float ,22
aaspe security cwe main success int ,22
aaspe security r main correct ,20
aaspe security r main incorrect ,20
aaspe security r main ,20
aaspe security r main correct ,10
aaspe security r main incorrect ,10
aaspe security r main ,10
aaspe security r main correct ,19
aaspe security r main incorrect ,19
aaspe security r main ,19
aaspe security r main correct ,19
aaspe security r main correct ,19
aaspe security r main incorrect ,19
aaspe security r main incorrect ,19
aaspe security r main ,19
aaspe security r main correct ,8
aaspe security r main correct ,8
aaspe security r main incorrect ,8
aaspe security r main ,8
aaspe security r main correct ,8
aaspe security r main incorrect ,8
aaspe security r main incorrect ,8
aaspe security r main incorrect ,8
aaspe security r main incorrect ,8
aaspe security r main ,8
aaspe security r main correct ,20
aaspe security r main incorrect ,20
aaspe security r main ,20
aaspe security r integration fail ,22
aaspe security r integration fail ,22
aaspe security r integration fail ,22
aaspe security r integration ,22
aaspe security r integration success ,22
aaspe security r integration success ,22
aaspe security r integration success ,22
aaspe security timing requirement main correct ,8
aaspe security timing requirement main incorrect ,8
aaspe security timing requirement main ,8
aaspe sel bb serial main beaglebone ,40
aaspe sel hello world hello impl ,36
aaspe sel ping pong event ping beaglebone ,36
aaspe sel ping pong event ping impl ,36
aaspe sel ping pong event ping kzm ,36
aaspe sel ping pong event ping x ,36
aaspe sel ping pong ping beaglebone ,36
aaspe sel ping pong ping impl ,36
aaspe sel ping pong ping kzm ,36
aaspe sel ping pong ping x ,36
aaspe sel two task twotasks beaglebone ,36
aaspe sel two task twotasks impl ,36
aaspe sel two task twotasks kzm ,36
aaspe sel two task twotasks x ,36
adiru aadl adiru adiru impl ,7
adiru aadl system fmc system impl ,3
adiru aadl subsystem adr system impl ,4
adiru aadl subsystem ir system impl ,5
aircraft aircraft functional aircraft functional model ,18
air ex ,9
air ex ,9
air ex wrapper ,9
air ex ,9
air ex b ,9
air ex wrapper ,9
alisa response time simple system computation chain impl ,3
aadl model smart home system client client impl ,9
aadl model smart home system maincontrolrouter maincontrolrouter impl ,9
aadl model smart home system remoteserver remoteserver impl ,9
aadl model smart home system smart home system smart home impl ,9
aps communication architecture aidstonavigation aidstonavigation impl ,4
aps communication architecture aps apscommunication impl ,27
aps communication architecture aps asc backup impl ,4
aps communication architecture aps asc impl ,26
aps communication architecture aps asc main impl ,26
aps communication architecture aps auxiliarysystem impl ,17
aps communication architecture aps bm impl ,3
aps communication architecture aps colavandssitaw backup impl ,4
aps communication architecture aps colavandssitaw impl ,4
aps communication architecture aps dockingsystem impl ,17
aps communication architecture aps emergencybuttontransmitter impl ,9
aps communication architecture aps gnss imu backup impl ,3
aps communication architecture aps gnss imu main impl ,3
aps communication architecture aps id impl ,27
aps communication architecture aps isms impl ,26
aps communication architecture aps logbook impl ,32
aps communication architecture aps machinerysystem impl ,40
aps communication architecture aps navigationsystem backup impl ,4
aps communication architecture aps navigationsystem backup impl withredundancy ,27
aps communication architecture aps navigationsystem impl ,27
aps communication architecture aps navigationsystem impl withredundancy ,27
aps communication architecture aps navigationsystem impl withredundancy ,27
aps communication architecture aps networkandsystemmanagement impl ,26
aps communication architecture aps pm impl ,41
aps communication architecture aps powms impl ,16
aps communication architecture aps safetysystem impl ,40
aps communication architecture aps wanloadbalancer impl ,27
aps communication architecture cloudcomponent apscommunication impl ,2
aps communication architecture cloudcomponent communicationhubserver impl ,2
aps communication architecture ect apscommunication impl ,27
aps communication architecture ect emergencybuttonreceiver impl ,10
aps communication architecture mobilegnetwork apscommunication impl ,4
aps communication architecture overall apscommunicationarchitecture impl ,27
aps communication architecture rcc apscommunication impl ,27
aps communication architecture rcc controlcomputer backup impl ,27
aps communication architecture rcc controlcomputer main impl ,27
aps communication architecture rcc id impl ,27
aps communication architecture rcc isms impl ,26
aps communication architecture rcc networkandsystemmanagement impl ,26
aps communication architecture ship apscommunication impl ,2
aps communication architecture ss apscommunication impl ,4
aps communication architecture stakeholder apscommunication impl ,2
aps communication architecture ti apscommunication impl ,2
arch model example  cruisecontroller cruisecontrollersystem impl ,7
arch model example  deliverydrone deliverydronesystem impl ,7
arch model example  gnc gnc impl ,7
arch model example clientserver clientserver impl ,26
arch model example resourcebudgets dca tier ,44
arch model example resourcebudgets dca tier ,44
arch model example resourcebudgets dc dualtier ,19
arch model example resourcebudgets dc singletier ,18
arch model example resourcebudgets dc singletier ,19
arch model example resourcebudgets dc singletier ,19
arch model example resourcebudgets mysystem tier ,18
arch model example resourcebudgets mysystem tier ,19
arch model example resourcebudgets platform dual ,19
arch model example resourcebudgets platform single ,19
arch model example resourcebudgets sc dualtier ,19
arch model example resourcebudgets sc tier ,18
arch model example resourcebudgets sc tier ,19
arch model example resourcebudgets sc tier ,19
authinaadl resolute check dataflow filter ,3
authinaadl resolute check dataflow integration ,22
authinaadl resolute check dataflow receiver ,3
authinaadl resolute check dataflow sender ,2
automodelcheckergeneration aviation gca singleton impl ,3
automodelcheckergeneration aviation geofence singleton impl ,4
automodelcheckergeneration aviation supervised system impl ,4
automodelcheckergeneration aviation supervisor impl ,4
automodelcheckergeneration aviation tcas singleton impl ,5
automodelcheckergeneration refuel single refuel singleton impl ,4
aviationrequirementmodeling agree temperature controller impl ,4
aviationrequirementmodeling agree temperature controller impl ,4
aviationrequirementmodeling agree temperature control panel ,2
aviationrequirementmodeling agree temperature control panel ,2
aviationrequirementmodeling agree temperature cooler impl ,2
aviationrequirementmodeling agree temperature cooler impl ,2
aviationrequirementmodeling agree temperature heater impl ,2
aviationrequirementmodeling agree temperature heater impl ,2
aviationrequirementmodeling agree temperature integration impl ,7
aviationrequirementmodeling agree temperature integration impl ,7
aviationrequirementmodeling agree temperature temperature sensor i ,4
aviationrequirementmodeling agree temperature temperature sensor i ,4
aviationrequirementmodeling agree temperature temperature sensor i ,4
aviationrequirementmodeling agree temperature temperature sensor i ,4
aviationrequirementmodeling agree temperature temp control ,7
aviationrequirementmodeling agree temperature temp control ,7
aviationrequirementmodeling agree temperature voter impl ,7
aviationrequirementmodeling agree temperature voter impl ,7
aviationrequirementmodeling aviatecontrollevel aviate control level aviate control level impl ,3
aviationrequirementmodeling aviatecontrollevel aviate control level aviate control level impl ,3
aviationrequirementmodeling aviation gca singleton impl ,3
aviationrequirementmodeling aviation gca singleton impl ,3
aviationrequirementmodeling aviation geofence singleton impl ,4
aviationrequirementmodeling aviation geofence singleton impl ,4
aviationrequirementmodeling aviation supervised system impl ,5
aviationrequirementmodeling aviation supervised system impl ,5
aviationrequirementmodeling aviation supervisor impl ,5
aviationrequirementmodeling aviation supervisor impl ,5
aviationrequirementmodeling aviation tcas singleton impl ,5
aviationrequirementmodeling aviation tcas singleton impl ,5
aviationrequirementmodeling gca single gca singleton impl ,3
aviationrequirementmodeling gca single gca singleton impl ,3
aviationrequirementmodeling geofence single geofence singleton impl ,5
aviationrequirementmodeling geofence single geofence singleton impl ,5
aviationrequirementmodeling refuel single refuel singleton impl ,5
aviationrequirementmodeling refuel single refuel singleton impl ,5
aviationrequirementmodeling tcas instrumentation impl ,5
aviationrequirementmodeling tcas instrumentation impl ,5
aviationrequirementmodeling tcas maneuvertemplates impl ,5
aviationrequirementmodeling tcas maneuvertemplates impl ,5
aviationrequirementmodeling tcas responseselection impl ,5
aviationrequirementmodeling tcas responseselection impl ,5
aviationrequirementmodeling tcas single tcas singleton impl ,5
aviationrequirementmodeling tcas single tcas singleton impl ,5
aviationrequirementmodeling tcas surveillance impl ,5
aviationrequirementmodeling tcas surveillance impl ,5
aviationrequirementmodeling tcas tcas impl ,5
aviationrequirementmodeling tcas tcas impl ,5
aviationrequirementmodeling tcas threatdetection impl ,5
aviationrequirementmodeling tcas threatdetection impl ,5
aviationrequirementmodeling tcas trajectoryextrapolation impl ,5
aviationrequirementmodeling tcas trajectoryextrapolation impl ,5
aviationrequirementmodeling test trafficlight small ,9
aviationrequirementmodeling test trafficlight small ,9
bankomat bankomat bankomat impl ,17
bless model act actuator common ,38
bless model control controller base ,36
bless model ctc movementauthority ,42
bless model history history imp ,41
bless model iomtwin coordinator impl ,41
bless model iomtwin pca pump impl ,41
bless model iomtwin pulse oximeter impl ,41
bless model iomtwin respiration monitor impl ,41
bless model iomtwin sysiomt impl ,41
bless model ksu isolette isolette dual sensor ,17
bless model ksu isolette isolette single sensor ,17
bless model ksu isolette operator interface impl ,5
bless model ksu isolette thermostat dual sensor impl ,17
bless model ksu isolette thermostat single sensor impl ,17
bless model movauth sysmovauth impl ,42
bless model movauth train impl ,40
bless model nursery room normal operation ,16
bless model pacemaker pg imp ,41
bless model pg pacemaker imp ,9
bless model positioncontrol positioncontrolsystem fragilemultistep ,16
bless model positioncontrol positioncontrolsystem fragilesinglestep ,16
bless model positioncontrol positioncontrolsystem robustsinglestep ,16
bless model po iceposystem imp ,41
bless model sorting inst ,17
bless model telemetry telemetry imp ,41
bless model timeout ,44
bless model train train ,42
bless model vvi mode implant ,42
bless model vvi mode pg ,42
carmodelaadl carsystem car impl ,40
cmpare cmpare cmparesystem impl ,16
cmpare cmpare monitoringserver impl ,4
cmpare cmpare webserver impl ,16
cmpare customer service customerservice impl ,16
cmpare deliver system deliver impl ,16
cmpare order system order impl ,16
cmpare payment payment impl ,16
coffeemachine coffeemachinesystem coffeemachinesystem impl ,41
coffeemachine coffeemakersubsystem coffeemakersystem impl ,41
coffeemachine systemenvironment systemenvironment impl ,41
collision detection aadl avoidance subsystem avoidance subsystem impl ,17
collision detection aadl complete car system complete car impl ,39
collision detection aadl networking subsystem networking subsystem standard ,40
collision detection aadl prediction subsystem prediction subsystem standard ,39
collision detection aadl response subsystem response subsystem standard ,17
collision detection aadl user interaction subsystem user interaction subsystem standard ,40
collision detection aadl vehicle actuation vehicle actuation standard ,43
crazyflie crazyflie final crazyflie final impl ,19
crazyflie crazyflie functional crazyflie functional chain impl ,13
crazyflie crazyflie hardware crazyflie impl ,19
crazyflie crazyflie system crazyflie system impl ,40
csci adventium lab gumbo plugin  pressure ctrl pressure ctrl impl ,7
csci adventium lab gumbo plugin  pressure ctrl pressure ctrl impl ,7
csci adventium lab gumbo plugin  radiation ctrl radiation ctrl impl ,7
csci adventium lab gumbo plugin  radiation ctrl radiation ctrl impl ,7
csci adventium lab gumbo plugin  sensor system sensorsys impl ,7
csci adventium lab gumbo plugin  sensor system sensorsys impl ,7
csci adventium lab gumbo plugin  temperature ctrl temperature ctrl impl ,7
csci adventium lab gumbo plugin  temperature ctrl temperature ctrl impl ,7
dapp aadl integration integration generic ,16
dapp aadl integration integration write owner request impl ,16
dhsystem account dhaccounts impl ,17
dhsystem communication dhcommunications impl ,17
dhsystem communication dhgateway impl ,17
dhsystem configuration dhconfig impl ,40
dhsystem device dhdevices impl ,40
dhsystem device humidity impl ,40
dhsystem device power impl ,40
dhsystem device security impl ,40
dhsystem device thermo impl ,40
dhsystem system dhsystem impl ,16
drink vending machine aadl drinkmachine drinkmachinesystem impl ,39
electricscooter aadl controller scooter controller ,39
electronictollcollection toll collection dmv impl ,3
electronictollcollection toll collection driver impl ,5
electronictollcollection toll collection enforcement center impl ,17
electronictollcollection toll collection financial center impl ,17
electronictollcollection toll collection roadway paymnt equipment impl ,16
electronictollcollection toll collection payment administration impl ,16
electronictollcollection toll collection pac paymnt administration impl ,17
electronictollcollection toll collection payment administration center impl ,17
electronictollcollection toll collection payment administrator impl ,17
electronictollcollection toll collection payment device impl ,5
electronictollcollection toll collection personal info device impl ,17
electronictollcollection toll collection pers interactive travlr info impl ,39
electronictollcollection toll collection roadside equipment impl ,17
electronictollcollection toll collection roadway toll collectn support impl ,17
electronictollcollection toll collection rsetc impl ,17
electronictollcollection toll collection toll collection impl ,16
electronictollcollection toll collection vehicle obe impl ,17
electronictollcollection toll collection veh toll paymnt impl ,17
errormodelv allflows fgs impl ,23
errormodelv common error main commonsource ,40
errormodelv common error main commonevents ,40
errormodelv common error main commoneventssingleport ,40
errormodelv dualfgs fgs impl ,23
errormodelv filteredflows fgs impl ,23
errormodelv ftatest main ,8
errormodelv ftatest main ,40
errormodelv ftatest main ,40
errormodelv issue main ,22
errormodelv nestedcomposite main nestedstate ,40
errormodelv optimizetree top impl ,23
errormodelv propagationpointfeaturetest main commonsource ,40
errormodelv propagationpointstest main commonsource ,40
errormodelv redundant main compositesametype ,40
errormodelv redundant main connection ,40
errormodelv redundant main transition ,40
errormodelv redundant main compositestate ,40
faceaadl connectedclient integration model integrationmodel impl ,37
faceaadl connectedclient integration model integrationmodel impl ,37
faceaadl connectedserver integration model integrationmodel impl ,37
faceaadl connectedserver integration model integrationmodel impl ,37
faceaadl descriptiononintegrationmodel integration model im impl ,37
faceaadl descriptiononintegrationmodel integration model im impl ,37
faceaadl duplicatenodenames integration model im impl ,37
faceaadl duplicatenodenames integration model im impl ,37
faceaadl emptyintegrationmodel integration model integrationmodel impl ,17
faceaadl emptyintegrationmodel integration model integrationmodel impl ,17
faceaadl filteringnoflows integration model selectedintegrationmodel impl ,37
faceaadl filteringnoflows integration model selectedintegrationmodel impl ,37
faceaadl filteringplatformonly integration model selectedintegrationmodel impl ,37
faceaadl filteringplatformonly integration model selectedintegrationmodel impl ,37
faceaadl filtering integration model selectedintegrationmodel impl ,37
faceaadl filtering integration model selectedintegrationmodel impl ,37
faceaadl mergedthreeinseries integration model merged integration model  impl ,37
faceaadl mergedthreeinseries integration model merged integration model  impl ,37
faceaadl mergedwithcycle integration model merged integration model  impl ,37
