Cluster,Top 10 Words (TF-IDF),Scores
13,"d1, status, re, data, rse, sub, setting, metric, spo, signal","2.1721384287396313, 1.978670557179973, 1.7961911647312996, 1.6154708783828355, 1.3066675511444181, 0.95822287083924, 0.8695785465510734, 0.8251365457518454, 0.6598712701365492, 0.6097781905340618"
16,"get, send, actuatorcommand, positionsetpoint, info, user, port, name, product, engine","5.787797927118421, 2.1817726338387096, 2.121320343559643, 2.121320343559643, 1.9707136253752435, 1.9068672091967172, 1.8831559818066514, 1.5039158975879976, 1.4109009920452253, 1.362621187997652"
17,"toll, paymnt, temperature, port, alarm, selected, data, veh, radar, weapon","4.239398675286947, 3.5927904678955094, 2.699268217433617, 2.2784929353682224, 1.8326209310848969, 1.618113432644806, 1.404107288530779, 1.3703726517883665, 1.3472658598452438, 1.3319384661711138"
18,"canbusaccess, power, sensorin, potencia, actuatorout, sc, sensor, sensorout, dca, hw","7.688414240489772, 7.365491171285473, 7.346320265433496, 6.150993452719155, 4.725480880304844, 3.062681979796581, 2.356050464055762, 2.356050464055762, 2.3295581829744365, 1.865869119332438"
19,"power, sensorin, pci, canbusaccess, bus, actuatorout, afdx, cb, pc, cpu","21.950994787642088, 12.575367328158602, 11.526749689367584, 8.648514450615027, 6.5638132573395955, 6.350081100251191, 5.346244222343968, 4.535453697858061, 3.7300842897157613, 3.678334080240001"
20,"mybus, b1, b2, cab, cont, p0, p1, ba, bpin, bpm","5.702336734659086, 0.921242685862977, 0.921242685862977, 0.7071067811865476, 0.7071067811865476, 0.6030226891555273, 0.6030226891555273, 0.5773502691896258, 0.5773502691896258, 0.5773502691896258"
21,"bus, comp, proc, access, db, card, connector, heat, sub, cpu","4.53443950265993, 2.740887343415862, 2.740887343415862, 2.557561569679942, 1.6989008687337468, 1.2727438212320896, 1.2727438212320896, 0.8377840420748403, 0.7121355188789875, 0.6986947620779916"
22,"datain, dataout, thebus, node, intermediate, receiver, sender, http, ssl, pfs","8.63068898711524, 8.530100647821547, 3.7023354702339653, 2.9104275004359956, 1.8511677351169826, 1.8511677351169826, 1.8511677351169826, 1.805424443931659, 1.2548752700603267, 1.0461557209772026"
23,"outport, port, inport, fromapport, subthread, process, ap, sub, soft, uavnetwork","3.6969584187702607, 3.508954036145923, 2.68267312819441, 1.3060297488140908, 1.1696513453819743, 1.1074913314903514, 1.0178810448777547, 0.9926492924963773, 0.8345422374120481, 0.8345422374120481"
24,"inp, outp, mysink, mysrc, p1, p2, t1, t2","3.4114356383114672, 3.4114356383114672, 1.2624579728517502, 1.2624579728517502, 1.1512418511929818, 1.1512418511929818, 1.1512418511929818, 1.1512418511929818"
26,"veth, dataport, et, asc, eth, nicteaming, teamedeth, maindataport, rse, sin","2.114794921888948, 1.9038597688937564, 1.4472337038515604, 1.1156184929743227, 1.1070624812980996, 1.057397460944474, 1.057397460944474, 0.8544692858460083, 0.8017837257372731, 0.7559289460184545"
27,"eth, dataport, asc, controlport, maindataport, external, backupdataport, interrupt, xenbr, veth","6.573802339395156, 2.6125550925069, 2.5271635499647864, 1.997284707120705, 1.9302362574433056, 1.1733875407667715, 1.024887151224041, 0.9778229506389763, 0.8688290957121495, 0.8536518122014299"
30,"e1, e2, s1, s2, s3","0.8320502943378437, 0.2773500981126146, 0.2773500981126146, 0.2773500981126146, 0.2773500981126146"
31,"edge, l1, l2, l3, l4, l5, l6, l7, l8, c1","5.669631470792239, 0.578003995515147, 0.578003995515147, 0.578003995515147, 0.578003995515147, 0.578003995515147, 0.578003995515147, 0.578003995515147, 0.56417681978593, 0.2879293957616621"
35,"step, p1, p2, p3, thread, commanded, order, po, hardware, p4","0.6488856845230502, 0.408248290463863, 0.408248290463863, 0.408248290463863, 0.408248290463863, 0.3244428422615251, 0.3244428422615251, 0.3244428422615251, 0.2041241452319315, 0.2041241452319315"
36,"data, con, prod, runtime, port, sink, source, cpu, ping, pinger","5.441349960323525, 3.5383119734989883, 3.5383119734989883, 3.5383119734989883, 3.502031555810408, 2.787470942624488, 2.787470942624488, 2.7357475619678575, 2.6243834955075975, 2.5842945876763213"
37,"input, output, altitude, thread, conn, transporter, port, channel, request, response","14.3121220710431, 14.3121220710431, 9.390103839248022, 7.868270594503394, 6.0696761466805365, 5.340799202250906, 4.701268712715486, 3.546678063900545, 3.400737600974642, 3.400737600974642"
38,"oute, gps, ba, ine, temp, usb, port, pb, desired, control","4.347956530065668, 2.7927798822821086, 1.527244945061612, 1.275624567556673, 1.1630677523429303, 1.0, 0.9641350931263958, 0.957096412488537, 0.8723008142571977, 0.8691710389966728"
39,"data, bus, input, output, wire, serial, meas, access, manager, evt","3.976236866279746, 3.652190425541313, 3.105970677503188, 3.094929413527812, 3.0091723971156417, 2.9247862785146928, 2.1829901110027317, 2.1771115368970335, 2.0455124616607008, 1.7393514020334506"
40,"valuein, valueout, speed, sensor, distance, data, cmd, access, current, cpu","6.582790576579602, 5.5914824871648605, 5.386430501461354, 3.054873677773117, 2.5438078628212493, 2.2153225930148923, 1.9082741583364002, 1.8025051005929995, 1.7765549401339977, 1.7542896280105316"
41,"data, recv, alarm, uart, send, status, po, ph, position, apex","2.423020870306641, 2.2845410310878074, 2.2831471339661626, 2.2358117055383917, 2.1995731794764772, 1.9017071712218847, 1.7978521065178863, 1.6829044690325066, 1.659443526079028, 1.6097096715286983"
42,"spo, ined, outed, alarm, derivedalarm, compute, tstep, xl, db, updatespothread","5.075587779965462, 4.829549692739414, 4.829549692739414, 2.5508521443735783, 2.5508521443735783, 2.0029621520548426, 2.0029621520548426, 1.6253927137114863, 1.5477980491226146, 1.3245703812022929"
43,"command, position, disengage, engage, data, observation, wakeup, heat, rate, mygps","1.936702861369294, 1.2967962594019344, 1.1104934154199362, 1.1104934154199362, 1.0038497002054958, 0.9848022075342813, 0.9848022075342813, 0.87845960131781, 0.7377962205071922, 0.6962920856501206"
44,"sensorin, acc, actuatorout, samplingin, senseout, controlin, key, wateralarm, thread, external","4.653976283685803, 3.6368152843899115, 2.3269881418429015, 2.3269881418429015, 2.3269881418429015, 1.6198813606563545, 1.2866901479988788, 1.2740691242796565, 1.2286058001546003, 1.208490442245941"
