Model,Cluster,Component,Feature,ConnectionInstance,Combined
car example carsystem mycar,40,ui ud wrs bp act cc computethrottlesettingprocess compute throttle setting scanccinputprocess scan cc port computevelocityprocess compute velocity speedcontrolloopprocess speed control loop cc mcu canbus ram cpu,ui cc ud cc wrs cc bp cc act cc cc ui cc ud cc wrs cc bp cc ca cc desired speed cc throttle setting desired speed throttle setting cc wrs cc bp cc run brake status wheel pulse run cc cc wrs cc inst velocity wheel pulse inst velocity cc run cc cc inst velocity cc desired speed run cc inst velocity desired speed canba pciba canba pciba,scanccinputprocessscan cc portsrun cc speedcontrolloopprocessspeed control looprun cc computevelocityprocesscompute velocityinst velocity speedcontrolloopprocessspeed control loopinst velocity speedcontrolloopprocessspeed control loopdesired speed computethrottlesettingprocesscompute throttle settingdesired speed uiui cc cccc ui wrswrs cc ccscanccinputprocessscan cc portswheel pulse wrswrs cc cccomputevelocityprocesscompute velocitywheel pulse bpbp cc ccscanccinputprocessscan cc portsbrake status cccc ud udud cc cccomputethrottlesettingprocesscompute throttle settingthrottle setting actact cc,ui ud wrs bp act cc computethrottlesettingprocess compute throttle setting scanccinputprocess scan cc port computevelocityprocess compute velocity speedcontrolloopprocess speed control loop cc mcu canbus ram cpu ui cc ud cc wrs cc bp cc act cc cc ui cc ud cc wrs cc bp cc ca cc desired speed cc throttle setting desired speed throttle setting cc wrs cc bp cc run brake status wheel pulse run cc cc wrs cc inst velocity wheel pulse inst velocity cc run cc cc inst velocity cc desired speed run cc inst velocity desired speed canba pciba canba pciba scanccinputprocessscan cc portsrun cc speedcontrolloopprocessspeed control looprun cc computevelocityprocesscompute velocityinst velocity speedcontrolloopprocessspeed control loopinst velocity speedcontrolloopprocessspeed control loopdesired speed computethrottlesettingprocesscompute throttle settingdesired speed uiui cc cccc ui wrswrs cc ccscanccinputprocessscan cc portswheel pulse wrswrs cc cccomputevelocityprocesscompute velocitywheel pulse bpbp cc ccscanccinputprocessscan cc portsbrake status cccc ud udud cc cccomputethrottlesettingprocesscompute throttle settingthrottle setting actact cc
car example hardwareplatform cc mcu dual,19,can bus pci bus ram rom power pc,canba pciba pciba canba pciba,canba can bus can bus power pccanba can bus canba pci bus rampciba pci bus rompciba pci bus power pcpciba rampciba pci bus rompciba pci bus power pccanba can bus power pcpciba pci bus,can bus pci bus ram rom power pc canba pciba pciba canba pciba canba can bus can bus power pccanba can bus canba pci bus rampciba pci bus rompciba pci bus power pcpciba rampciba pci bus rompciba pci bus power pccanba can bus power pcpciba pci bus
car example hardwareplatform cc mcu,19,canbus ram cpu,canba pciba canba pciba,,canbus ram cpu canba pciba canba pciba nan
car example hardwareplatform cc mcu single,19,can bus pci bus ram rom power pc,canba pciba pciba canba pciba,canba can bus can bus power pccanba can bus canba pci bus rampciba pci bus rompciba pci bus power pcpciba rampciba pci bus rompciba pci bus power pccanba can bus power pcpciba pci bus,can bus pci bus ram rom power pc canba pciba pciba canba pciba canba can bus can bus power pccanba can bus canba pci bus rampciba pci bus rompciba pci bus power pcpciba rampciba pci bus rompciba pci bus power pccanba can bus power pcpciba pci bus
car example softwareapps cruisecontrol,5,computethrottlesettingprocess compute throttle setting scanccinputprocess scan cc port computevelocityprocess compute velocity speedcontrolloopprocess speed control loop,cc ui cc ud cc wrs cc bp cc ca cc desired speed cc throttle setting desired speed throttle setting cc wrs cc bp cc run brake status wheel pulse run cc cc wrs cc inst velocity wheel pulse inst velocity cc run cc cc inst velocity cc desired speed run cc inst velocity desired speed,cc wrs scanccinputprocessscan cc portswheel pulse cc wrs computevelocityprocesscompute velocitywheel pulse cc bp scanccinputprocessscan cc portsbrake status computethrottlesettingprocesscompute throttle settingthrottle setting cc ca scanccinputprocessscan cc portsrun cc speedcontrolloopprocessspeed control looprun cc computevelocityprocesscompute velocityinst velocity speedcontrolloopprocessspeed control loopinst velocity speedcontrolloopprocessspeed control loopdesired speed computethrottlesettingprocesscompute throttle settingdesired speed,computethrottlesettingprocess compute throttle setting scanccinputprocess scan cc port computevelocityprocess compute velocity speedcontrolloopprocess speed control loop cc ui cc ud cc wrs cc bp cc ca cc desired speed cc throttle setting desired speed throttle setting cc wrs cc bp cc run brake status wheel pulse run cc cc wrs cc inst velocity wheel pulse inst velocity cc run cc cc inst velocity cc desired speed run cc inst velocity desired speed cc wrs scanccinputprocessscan cc portswheel pulse cc wrs computevelocityprocesscompute velocitywheel pulse cc bp scanccinputprocessscan cc portsbrake status computethrottlesettingprocesscompute throttle settingthrottle setting cc ca scanccinputprocessscan cc portsrun cc speedcontrolloopprocessspeed control looprun cc computevelocityprocesscompute velocityinst velocity speedcontrolloopprocessspeed control loopinst velocity speedcontrolloopprocessspeed control loopdesired speed computethrottlesettingprocesscompute throttle settingdesired speed
designer cruisecontrol cruisecontrollaws model,3,p cruisecontrol process t cruise t cruise,cruiseactive refspd mph autospd mph throttlepos in cruiseactive refspd mph autospd mph throttlepos in cruiseactive refspd mph autospd mph filautospd mph filrefspd mph filautospd mph filrefspd mph throttlepos in,,p cruisecontrol process t cruise t cruise cruiseactive refspd mph autospd mph throttlepos in cruiseactive refspd mph autospd mph throttlepos in cruiseactive refspd mph autospd mph filautospd mph filrefspd mph filautospd mph filrefspd mph throttlepos in nan
designer cruisecontrol cruisecontrol generic,5,lan hci processor ccl processor s hci p hci process t buttonpanel t drivermodelogic t refspd t instrumentpanel s cruisecontrollaws p cruisecontrol process t cruise t cruise,breakpedalpressed clutchpedalpressed autospd mph engspd rpm throttlepos in b lan b lan breakpedalpressed clutchpedalpressed autospd mph engspd rpm cruiseactive refspd mph breakpedalpressed clutchpedalpressed autospd mph engspd rpm cruiseactive refspd mph activate cancel onnotoff incspeed decspd breakpedalpressed clutchpedalpressed activate cancel onnotoff cruiseactive activate cruiseactive incspeed decspd refspd mph autospd mph engspd rpm refspd mph cruiseactive refspd mph autospd mph throttlepos in cruiseactive refspd mph autospd mph throttlepos in cruiseactive refspd mph autospd mph filautospd mph filrefspd mph filautospd mph filrefspd mph throttlepos in,,lan hci processor ccl processor s hci p hci process t buttonpanel t drivermodelogic t refspd t instrumentpanel s cruisecontrollaws p cruisecontrol process t cruise t cruise breakpedalpressed clutchpedalpressed autospd mph engspd rpm throttlepos in b lan b lan breakpedalpressed clutchpedalpressed autospd mph engspd rpm cruiseactive refspd mph breakpedalpressed clutchpedalpressed autospd mph engspd rpm cruiseactive refspd mph activate cancel onnotoff incspeed decspd breakpedalpressed clutchpedalpressed activate cancel onnotoff cruiseactive activate cruiseactive incspeed decspd refspd mph autospd mph engspd rpm refspd mph cruiseactive refspd mph autospd mph throttlepos in cruiseactive refspd mph autospd mph throttlepos in cruiseactive refspd mph autospd mph filautospd mph filrefspd mph filautospd mph filrefspd mph throttlepos in nan
designer cruisecontrol hci model,5,p hci process t buttonpanel t drivermodelogic t refspd t instrumentpanel,breakpedalpressed clutchpedalpressed autospd mph engspd rpm cruiseactive refspd mph breakpedalpressed clutchpedalpressed autospd mph engspd rpm cruiseactive refspd mph activate cancel onnotoff incspeed decspd breakpedalpressed clutchpedalpressed activate cancel onnotoff cruiseactive activate cruiseactive incspeed decspd refspd mph autospd mph engspd rpm refspd mph,,p hci process t buttonpanel t drivermodelogic t refspd t instrumentpanel breakpedalpressed clutchpedalpressed autospd mph engspd rpm cruiseactive refspd mph breakpedalpressed clutchpedalpressed autospd mph engspd rpm cruiseactive refspd mph activate cancel onnotoff incspeed decspd breakpedalpressed clutchpedalpressed activate cancel onnotoff cruiseactive activate cruiseactive incspeed decspd refspd mph autospd mph engspd rpm refspd mph nan
example fc flightcontroller,41,gps,uart uart recv uart send position,gpsposition uart send,gps uart uart recv uart send position gpsposition uart send
example fc flightcontroller,41,gps,uart uart recv uart send position,gpsposition uart send,gps uart uart recv uart send position gpsposition uart send
example g groundstation,41,bus hw radio hw mem hw proc sw radiodriver sendmessagesservicegs proc hw,rfa radio recv radio send recv data in recv data out send data in send data out gsa rfa gsa recv data send data recv data send data automationrequest operatingregion linesearchtask operatingregion linesearchtask automationrequest gsa,sendmessagesservicegsoperatingregion radiodriveroperatingregion sendmessagesservicegslinesearchtask radiodriverlinesearchtask sendmessagesservicegsautomationrequest radiodriverautomationrequest rfa radio hwrfa radio recv radio hwrecv data in bus hw radio hwgsa bus hw proc hwgsa bus hw mem hwgsa radio hwrecv data out proc swradiodriverrecv data radio hwsend data out radio send radio hwgsa bus hw radio hwrfa rfa mem hwgsa bus hw proc swradiodriversend data radio hwsend data in proc hwgsa bus hw,bus hw radio hw mem hw proc sw radiodriver sendmessagesservicegs proc hw rfa radio recv radio send recv data in recv data out send data in send data out gsa rfa gsa recv data send data recv data send data automationrequest operatingregion linesearchtask operatingregion linesearchtask automationrequest gsa sendmessagesservicegsoperatingregion radiodriveroperatingregion sendmessagesservicegslinesearchtask radiodriverlinesearchtask sendmessagesservicegsautomationrequest radiodriverautomationrequest rfa radio hwrfa radio recv radio hwrecv data in bus hw radio hwgsa bus hw proc hwgsa bus hw mem hwgsa radio hwrecv data out proc swradiodriverrecv data radio hwsend data out radio send radio hwgsa bus hw radio hwrfa rfa mem hwgsa bus hw proc swradiodriversend data radio hwsend data in proc hwgsa bus hw
example g groundstation,41,bus hw radio hw mem hw proc sw radiodriver sendmessagesservicegs proc hw,rfa radio recv radio send recv data in recv data out send data in send data out gsa rfa gsa recv data send data recv data send data automationrequest operatingregion linesearchtask operatingregion linesearchtask automationrequest gsa,sendmessagesservicegsoperatingregion radiodriveroperatingregion sendmessagesservicegslinesearchtask radiodriverlinesearchtask sendmessagesservicegsautomationrequest radiodriverautomationrequest rfa radio hwrfa radio recv radio hwrecv data in bus hw radio hwgsa bus hw proc hwgsa bus hw mem hwgsa radio hwrecv data out proc swradiodriverrecv data radio hwsend data out radio send radio hwgsa bus hw radio hwrfa rfa mem hwgsa bus hw proc swradiodriversend data radio hwsend data in proc hwgsa bus hw,bus hw radio hw mem hw proc sw radiodriver sendmessagesservicegs proc hw rfa radio recv radio send recv data in recv data out send data in send data out gsa rfa gsa recv data send data recv data send data automationrequest operatingregion linesearchtask operatingregion linesearchtask automationrequest gsa sendmessagesservicegsoperatingregion radiodriveroperatingregion sendmessagesservicegslinesearchtask radiodriverlinesearchtask sendmessagesservicegsautomationrequest radiodriverautomationrequest rfa radio hwrfa radio recv radio hwrecv data in bus hw radio hwgsa bus hw proc hwgsa bus hw mem hwgsa radio hwrecv data out proc swradiodriverrecv data radio hwsend data out radio send radio hwgsa bus hw radio hwrfa rfa mem hwgsa bus hw proc swradiodriversend data radio hwsend data in proc hwgsa bus hw
example hardware pcb clock,19,main bus maintenance nic timer ebc cpu ram rom hmi power bus power internal maintenance bus clock controller,sense ui touch act ui image ui sound connector serial bus usb bus lvds bus hdmi bus vga bus ethernet maintenance bus maintenance bus provision bus system bus power supply mp clock mtm bus system bus ethernet power supply nic clock mtm bus system bus peripheral power system bus serial bus usb bus lvds bus power supply system bus mtm bus gpio cpu clock power supply system bus power supply mtm bus system bus power supply mtm bus system bus power supply dc clock sc clock mtm bus hdmi bus vga bus ui image ui sound ui touch power supply system bus peripheral power mtm bus cpu clock nic clock mp clock dc clock sc clock clk pwr,senseui touch hmiui touch ethernet nicethernet maintenance bus maintenancemaintenance bus main bus cpuramsystem bus main bus cpuromsystem bus main bus ebcsystem bus main bus nicsystem bus main bus hmisystem bus main bus maintenancesystem bus main bus powersystem bus maintenancemtm bus internal maintenance bus nicethernet ethernet timerssystem bus main bus ebcserial bus connectorsserial bus ebcusb bus connectorsusb bus ebclvds bus connectorslvds bus hmihdmi bus connectorshdmi bus hmivga bus connectorsvga bus hmiui image actui image hmiui sound actui sound power bus cpurampower supply power bus cpurompower supply power bus maintenancepower supply power bus nicpower supply power bus ebcpower supply power bus hmipower supply powerpower supply power bus internal maintenance bus cpurammtm bus internal maintenance bus cpurommtm bus internal maintenance bus nicmtm bus internal maintenance bus hmimtm bus clock controllercpu clock cpucpu clock clock controllernic clock nicnic clock clock controllermp clock maintenancemp clock clock controllerdc clock hmidc clock clock controllersc clock hmisc clock,main bus maintenance nic timer ebc cpu ram rom hmi power bus power internal maintenance bus clock controller sense ui touch act ui image ui sound connector serial bus usb bus lvds bus hdmi bus vga bus ethernet maintenance bus maintenance bus provision bus system bus power supply mp clock mtm bus system bus ethernet power supply nic clock mtm bus system bus peripheral power system bus serial bus usb bus lvds bus power supply system bus mtm bus gpio cpu clock power supply system bus power supply mtm bus system bus power supply mtm bus system bus power supply dc clock sc clock mtm bus hdmi bus vga bus ui image ui sound ui touch power supply system bus peripheral power mtm bus cpu clock nic clock mp clock dc clock sc clock clk pwr senseui touch hmiui touch ethernet nicethernet maintenance bus maintenancemaintenance bus main bus cpuramsystem bus main bus cpuromsystem bus main bus ebcsystem bus main bus nicsystem bus main bus hmisystem bus main bus maintenancesystem bus main bus powersystem bus maintenancemtm bus internal maintenance bus nicethernet ethernet timerssystem bus main bus ebcserial bus connectorsserial bus ebcusb bus connectorsusb bus ebclvds bus connectorslvds bus hmihdmi bus connectorshdmi bus hmivga bus connectorsvga bus hmiui image actui image hmiui sound actui sound power bus cpurampower supply power bus cpurompower supply power bus maintenancepower supply power bus nicpower supply power bus ebcpower supply power bus hmipower supply powerpower supply power bus internal maintenance bus cpurammtm bus internal maintenance bus cpurommtm bus internal maintenance bus nicmtm bus internal maintenance bus hmimtm bus clock controllercpu clock cpucpu clock clock controllernic clock nicnic clock clock controllermp clock maintenancemp clock clock controllerdc clock hmidc clock clock controllersc clock hmisc clock
example hardware pcb i,19,main bus maintenance nic timer ebc cpu ram rom hmi,sense ui touch act ui image ui sound connector serial bus usb bus lvds bus hdmi bus vga bus ethernet maintenance bus maintenance bus provision bus system bus power supply mp clock mtm bus system bus ethernet power supply nic clock mtm bus system bus peripheral power system bus serial bus usb bus lvds bus power supply system bus mtm bus gpio cpu clock power supply system bus power supply mtm bus system bus power supply mtm bus system bus power supply dc clock sc clock mtm bus hdmi bus vga bus ui image ui sound ui touch,senseui touch hmiui touch ethernet nicethernet maintenance bus maintenancemaintenance bus main bus cpuramsystem bus main bus cpuromsystem bus main bus ebcsystem bus main bus nicsystem bus main bus hmisystem bus main bus maintenancesystem bus nicethernet ethernet timerssystem bus main bus ebcserial bus connectorsserial bus ebcusb bus connectorsusb bus ebclvds bus connectorslvds bus hmihdmi bus connectorshdmi bus hmivga bus connectorsvga bus hmiui image actui image hmiui sound actui sound,main bus maintenance nic timer ebc cpu ram rom hmi sense ui touch act ui image ui sound connector serial bus usb bus lvds bus hdmi bus vga bus ethernet maintenance bus maintenance bus provision bus system bus power supply mp clock mtm bus system bus ethernet power supply nic clock mtm bus system bus peripheral power system bus serial bus usb bus lvds bus power supply system bus mtm bus gpio cpu clock power supply system bus power supply mtm bus system bus power supply mtm bus system bus power supply dc clock sc clock mtm bus hdmi bus vga bus ui image ui sound ui touch senseui touch hmiui touch ethernet nicethernet maintenance bus maintenancemaintenance bus main bus cpuramsystem bus main bus cpuromsystem bus main bus ebcsystem bus main bus nicsystem bus main bus hmisystem bus main bus maintenancesystem bus nicethernet ethernet timerssystem bus main bus ebcserial bus connectorsserial bus ebcusb bus connectorsusb bus ebclvds bus connectorslvds bus hmihdmi bus connectorshdmi bus hmivga bus connectorsvga bus hmiui image actui image hmiui sound actui sound
