Cluster,Top 10 Words (LDA)
18,"actuatorout sensorin canbusaccess potencia dca exhaustsystem exhaustoutput exhaustmanifold powertrain sc, potencia canbusaccess actuatorout sensorin dc fornecedor actuatorin atuador spiaccess sensorout, sc nan s1 exhaustsystem exhaustoutput exhaustmanifold powertrain actuatorout sensorin dca, isfailing sys thrust stability spoiler management pitch forward powertrain exhaustoutput, b1 s1 s2 nan exhaustmanifold powertrain exhaustsystem exhaustoutput actuatorout sensorin, power sensorin canbusaccess actuatorout sensorout sensor hw dca supplier actuator"
19,"pci afdx tte bus cpu wire cpm sin sw p1, part mem thebus sensorin process cpu sensorout mainmemory module netif, bus power supply clock mtm ui ic maintenance cpu serial, power sensorin canbusaccess pci actuatorout cb sense senseout sensorraw sensorfiltered, socket access wifi cellular ihs internet acc connection attacker cel, pciba canba ram canbus cpu rom pc pci bus power"
20,"mybus b2 b1 nan ba req sb cab cont bpm, p1 p0 nan controller membus fabric rba part bus bpin"
21,"bus access comp proc pb cpu db cpubus shared right, bus comp proc access pb cpu shared right memory left, heat configuration bus temperature current access offler checker source ram, db pb cpu cpubus bus access comp proc shared right, bus sub access hw collection tic proc comp pb cpu, bus access comp proc pb cpu db cpubus shared right, card connector shared right memory left bus access comp proc"
22,"datain dataout nan snd mid rcv s2 s1 receiver sender, node outport s2 s1 rcv mid snd datain dataout nan, tsn power tr sw m7 p4 p3 p1 n2 n1, pfs risets riseospf pfsl ospf rpfs rl lr lpfs datain, dataout datain thebus receiver sender intermediate http ssl s2 s1"
23,"port process subthread application software comm sub inport uavnetwork soft, outport inport fromapport ap ac soft uavnetwork fg comm powersupply, mph sub refspd method throttlepos autospd cruiseactive filrefspd filautospd cruise"
24,"inp outp p1 t1 t2 p2 mysink mysrc nan, nan outp inp mysrc mysink p2 t2 t1 p1"
26,"veth et siem teamedeth nicteaming dataport pp moutpp minpp minp, conn database api request backend frontend http c1 c2 dataport, rse data ecsp smp tmp wsp ticp travelinformationcommunicationprovider trafficmeteringprovider electricchargesupportprovider, asc dataport maindataport veth backup eth colavandssitaw ism teamedeth nicteaming, process edport sp spg datap fg eport dport c1 c2, sin sout qin qout nan c2 c1 dataport nicteaming teamedeth"
27,"eth dataport controlport spu radar eo lidar backupdataport maindataport gnss, eth asc maindataport dataport veth backup backupdataport signalport ism teamedeth, external interrupt depository eth workload additional producer cpu po th, aiscommunication wirelessport rcccommunication cpal operation safety firewall control dom emergencysignal"
30,"e1 s3 e2 s2 s1, e1 s1 s2 e2 s3"
31,"edge l4 l1 l2 l3 l7 l5 l6 l8 c1, l8 l6 l5 l7 l3 l2 l1 l4 edge c3"
35,"p3 thread p1 p2 per p4 p5 p7 p6 software, step commanded po order user uif app completed cpu done"
36,"port con prod runtime data pinger sink source ping cpu, ev cpu ping pong pingpong output subsys input data node, initcomplete rttobcmsg mrttobcmsg cpu ebus mrt mrtinit mrtmgr pr bcmgr, order actuatorcommand pr need semaphore partition tempavg partmem newavg positionsetpoint, data cpu source sink node pinger ping mbx part segment, part mem thebus process sensorin sensorout netif mainmemory cpu thread, value cpu update cmd tempvalue temp windowcmd invalue sensor set, share bus donnees camera radio pilotage ordo mesure meteo data, reqdataset dataset req share cpu data ping node sink source"
37,"thread input output channel transporter viewsink viewsource request response autopilot, input output channel thread viewsink viewsource portablecomponentinstance portablecomponent transporter response, altitude input output autopilot sensor thread converter ft transporter channel, port response request pcsinstance usedpcs source sink thread input output, thread input output channel transporter viewsink viewsource request response autopilot, thread input output channel transporter viewsink viewsource request response autopilot, thread input output channel transporter viewsink viewsource request response autopilot, input output thread transporter channel viewsink viewsource request response autopilot, conn platformspecificcomponent uopinstance response request thread viewsource viewsink output input, altitude input output thread autopilot sensor unique duplicate name channel"
38,"ba mix framework fin fout b1 port xyz shield ada, actuatorcommand usb sm fv nan ba mix fin framework fout, appliance control configuration busdata sensor instruction instructed turn command moment, pb pd pc digital gnd vcc port ch analog pin, oute gps ine device status power measuring cofig activator activate, temp desired bus auto access curr status control echo display, ba mix framework fin fout b1 port xyz shield ada, fg sen fgp fgpp fgs act proc fgss ba mix"
39,"alarm ack fan temp cmd forward desired current incoming status, car gate plate loop thread conveyor data bus access open, input data output bus th dev dv spi mcu interrupt, wire serial meas manager proc evt arm supply bus frame, ip tpd credit travlr intrfc identity fpd personal device debited, bus power access motion sys thread odometer reszta sum wysun, data collision sensor unavoidable avoidable detected ba vehicle port send, wheel rear speed current bus tc acc brake left apply, bus access bad modul bap sejf dane drinkready czytnik drinkingrstatus, data bus camera img cash thread card ev access gps"
40,"data reconfiguration power status req access control vme sensor rw, speed distance result current sensor thr cmd desired lane overtaking, cm ba signal rep plan dataout datain input gpioinput imu, rate bus packet syslink pwm rx tx uart ic task, output input data bus th dev mcu spi gps dv, a1 uart ta alb effect boo serial externaleffect actionout s1, cc po net dist cpu sensor obst cmd access spd, node runtime secret unclassified topsecret partition netif thr driver ca, dm sensor sw al hum light hvac app door win, valuein valueout signalport a0 s0 c0 eth azimuththruster s1 maindataport"
41,"dp servo lin rin di busaccess pg esc servob forceb, appli icb acq aocs pf plb feature sys pl rtm, gpiobusdata coffee container sensor water milk replenished drink stocklevel bean, ph apex th access afdx wpinfo wpid eta query speed, acc po angle ic position order gps cpu imu node, coffeemachine hand eye finger user supply bean bus display drinkselection, state gpu gps cpu making grinder command foamer temp make, recv send status data hw position uart map radio waypoint, atr filter cci mark av keep case zone min fb, alarm echo po rm pause infusion confirmation lost rate spo"
42,"outed ined tstep compute db devbus actuate sense pb cpu, spo alarm derivedalarm checkspothread handlealarmthread pulseox applogic appdisplay updatespothread spoval, lead sense lrl pace vrp ea fe rc pp pacemaker, spo respiratoryrate etco deviceerror updatespothread pulseoxerror commandpumpnormal updaterespiratoryratethread capnographerror applogic, xl ca brake sb eb controller motor driver sensor control"
43,"drug log bus rate alarm key bolus power security ui, child f1 f2 fg f3 cmd controller position satpos mygps, command disengage engage ba data received airbag vehicle speed direction, drug patient limit rate infusion request bolus soft prescription log, data input controller output frequency bp signal bus glide sdi, heat position control wakeup observation satpos mygps temperature skinsensor current"
44,"exhaustmanifold exhaustoutput exhaustsystem powertrain receiver nan sender proc pong ping, currenttemp tempchanged setpoint fanack fancmd tempcontrol operatorinterface fan tempsensor oiproc, mph refspd cancel cruiseactive server engspd clutchpedalpressed breakpedalpressed rpm autospd, m3 m2 m1 cpu process m4 t1 t9 t2 t3, key text operation label algorithm failed nonce source bad mac, sensorin actuatorout senseout samplingin controlin signalout sensorraw sensorfiltered signalin actuate, external interrupt depository additional workload producer cpu call reader regular, rse data thread wateralarm methanelevel wsp tmp smp ecsp ticp, acc input accdata event dataout adirup error command output monitor, filter th capteur proc gauche droit automationrequest operatingregion linesearchtask keep"
