Cluster,Top 10 Words (LDA)
13,"d1 status re data capnograph metric exec rec etco etconum, gyro motor magneto accelero data order fusion pilot tc acc, status re d1 data capnograph metric exec rec etco etconum, data uav linuxos camera status re d1 capnograph metric rec, status re d1 data capnograph metric exec rec etco etconum, status re d1 data capnograph metric exec rec etco etconum, status re d1 data capnograph metric exec rec etco etconum, rse data sub signal smp wsp parking ecsp received ticp, setting re status req prescriptiondosesettings statussettings prescriptiondruginfosettings loadingbolus pub operationalstatus, spo metric pub re sponum sponumalt req alert status limit"
16,"send get info reply req course security assesment comm user, temperature port alarm monitor heat regulator control desired current lower, test nan di bi ci ai actuatorcommand positionsetpoint port ff, get exchange send edit profile knowledge req list experience feedback, positionsetpoint actuatorcommand nan f2 f1 fg s2 s1 test bi, get user name product seller id email send reply req, ce sr clk xy diffo shiftin shiftout d2 d6 d3, paymnt toll payment rqst veh data vehicle card info price, engine generatordc statusout maincomputer powerin dcvoltout powersupply dcvoltrawin rt ghz, cm config dm plan rep device pm acc hp apm"
17,"xfr port emergencyshutdown ready active startup signalin signalout t1 relayk, toll paymnt data card veh rqst price payment bus violatn, selected weapon radar target body position status velocity angle message, info req traveler update paymt vehicle loca travle interactv src, data send read proc unavoidable avoidable sensor vehicle handler broad, roadsideinforeception environmentmontior vehiclesignage lspeed signalinfo signage envdata speedassistances speedmanagement wsensor, cm gateway config au ac device acc comm aq applcontroller, temperature alarm monitor port desired current regulator failure control upper, parsecmd data fretime eonoff eslc sgncc busint datatogncc datafromctu eo, paymnt pers acc user traveller travlr info reqst ip debited"
18,"actuatorout sensorin canbusaccess dca sc dc potencia actuatorin sensor sensorout, potencia canbusaccess actuatorout sensorin dc fornecedor actuatorin atuador spiaccess sensor, actuatorout sensorin canbusaccess dca sc dc potencia actuatorin sensor sensorout, isfailing sys thrust spoiler pitch forward stability management powertrain exhaustoutput, actuatorout sensorin canbusaccess dca sc dc potencia actuatorin sensor sensorout, power canbusaccess sensorin sensor sensorout actuatorout supplier actuator actuatorin dc, actuatorout sensorin canbusaccess dca sc dc potencia actuatorin sensor sensorout, actuatorout sensorin canbusaccess dca sc dc potencia actuatorin sensor sensorout, sc nan b1 s1 s2 actuatorout sensorin canbusaccess dca dc, sensorin actuatorout canbusaccess power dca hw potencia sc dc actuatorin"
19,"pci afdx cpu wire cpm bus sin p1 p4 p3, power sensorin pci actuatorout canbusaccess cb pc sense sensorfiltered samplingin, ic link sda scl serial ram cpu flash board lightsensor, power sensorin canbusaccess pci actuatorout sensorout sensor cb canbus cpu, hw collection tic sub rom ram cpu pci power fieldbus, pciba canba ram canbus cpu rom pc pci bus power, bus power supply tte clock mtm socket ui maintenance rate, hw collection tic sub rom ram cpu pci power fieldbus, hw collection tic sub rom ram cpu pci power fieldbus, hw collection tic sub rom ram cpu pci power fieldbus"
20,"mybus b2 b1 bpm bpout bpin cab cont nan bus, cab cont nan bpout bpin bpm mybus part rba bus, sb req ba cont cab nan bpout bpm bpin mybus, cab cont nan bpout bpin bpm mybus part rba bus, cab cont nan bpout bpin bpm mybus part rba bus, cab cont nan bpout bpin bpm mybus part rba bus, p0 p1 membus fabric controller cont cab nan bpm bpout, mybus nan part rba bus cont cab bpout bpm bpin, cab cont nan bpout bpin bpm mybus part rba bus, cab cont nan bpout bpin bpm mybus part rba bus"
21,"bus access proc comp cpubus right shared left memory pb, bus sub access tic collection hw proc comp cpubus right, heat configuration bus temperature current access checker source offler controller, db pb cpu cpubus bus access comp proc memory left, bus access proc comp cpubus right shared left memory pb, bus access proc comp cpubus right shared left memory pb, bus access proc comp cpubus right shared left memory pb, bus proc comp access cpubus right shared left memory pb, connector card right memory shared left bus access comp proc, bus access proc comp cpubus right shared left memory pb"
22,"dataout datain nan mid snd rcv intermediate sender receiver thebus, node outport snd rcv mid datain dataout nan intermediate sender, tsn power tr sw p9 m5 m4 m3 n2 m8, risets pfs riseospf pfsl ospf rl rpfs lr lpfs datain, thebus dataout datain receiver intermediate sender http ssl snd rcv, datain dataout snd rcv mid nan intermediate sender receiver thebus, datain dataout snd rcv mid nan intermediate sender receiver thebus, datain dataout snd rcv mid nan intermediate sender receiver thebus, datain dataout snd rcv mid nan intermediate sender receiver thebus, datain s2 s1 dataout mid rcv snd nan receiver sender"
23,"outport inport sub process comm subthread ac port fromapport software, outport inport uavnetwork soft comm threedmodelgenerator pointcloud pca model noofinputclouds, outport inport sub process comm subthread ac port fromapport software, outport inport sub process comm subthread ac port fromapport software, outport inport sub process comm subthread ac port fromapport software, mph throttlepos cruiseactive autospd method refspd access member cruise filrefspd, port process subthread application software outport inport sub comm ac, outport inport fromapport sub ap ac fg network powersupply process, outport inport sub process comm subthread ac port fromapport software, outport inport sub process comm subthread ac port fromapport software"
24,"outp inp p1 p2 t2 t1 nan mysrc mysink, outp inp t2 p2 t1 p1 nan mysrc mysink, outp inp t2 p2 t1 p1 nan mysrc mysink, outp inp t2 p2 t1 p1 nan mysrc mysink, outp inp nan t2 t1 p1 p2 mysrc mysink, outp inp t2 p2 t1 p1 nan mysrc mysink, outp inp t2 p2 t1 p1 nan mysrc mysink, outp inp t2 p2 t1 p1 nan mysrc mysink, mysink mysrc outp inp t2 p1 p2 t1 nan, outp inp t2 p2 t1 p1 nan mysrc mysink"
26,"c1 c2 nan teamedeth nicteaming dataport veth http request frontend, c1 c2 nan teamedeth nicteaming dataport veth http request frontend, rse data conn ticp wsp ecsp smp tmp database speedmanagementprovider, asc maindataport backup colavandssitaw ism veth dataport networkandsystemmanagement backupdataport secondary, et veth process siem sp datap spg eport edport dport, sin sout qout qin nan pp moutpp moutp minpp minp, c1 c2 nan teamedeth nicteaming dataport veth http request frontend, dataport veth eth digitallogbook ndbc nsc nmt trc tpc qosc, c1 c2 nan teamedeth nicteaming dataport veth http request frontend, c1 c2 nan teamedeth nicteaming dataport veth http request frontend"
27,"safety cpal dom firewall control operation xenbr vm eth radiocommunication, safety cpal dom firewall control operation xenbr vm eth radiocommunication, safety cpal dom firewall control operation xenbr vm eth radiocommunication, safety cpal dom firewall control operation xenbr vm eth radiocommunication, safety cpal dom firewall control operation xenbr vm eth radiocommunication, eth po data th tmtc gnc port source read p2, external interrupt depository producer cpu additional workload eth wom in, eth dataport controlport maindataport asc backupdataport backup veth spu radar, safety cpal dom firewall control operation xenbr vm eth radiocommunication, asc maindataport eth veth backupdataport dataport nicteaming teamedeth process signalport"
30,"s3 s2 s1 e2 e1, s3 s2 s1 e2 e1, s3 s2 s1 e2 e1, s3 s2 s1 e2 e1, s3 s2 s1 e2 e1, s3 s2 s1 e2 e1, s3 s2 s1 e2 e1, s3 s2 s1 e2 e1, s3 s2 s1 e2 e1, e1 s3 s2 s1 e2"
31,"l8 l7 l6 l5 l4 l3 l2 l1 c4 c2, l8 l7 l6 l5 l4 l3 l2 l1 c4 c2, l8 l7 l6 l5 l4 l3 l2 l1 c4 c2, l8 l7 l6 l5 l4 l3 l2 l1 c4 c2, l8 l7 l6 l5 l4 l3 l2 l1 c4 c2, edge l5 l6 l4 l7 l2 l3 l1 l8 c4, l8 l7 l6 l5 l4 l3 l2 l1 c4 c2, l8 l7 l6 l5 l4 l3 l2 l1 c4 c2, l8 l7 l6 l5 l4 l3 l2 l1 c4 c2, l8 l7 l6 l5 l4 l3 l2 l1 c4 c2"
35,"spo software per p7 p5 p6 hardware p4 uif user, spo software per p7 p5 p6 hardware p4 uif user, spo software per p7 p5 p6 hardware p4 uif user, spo software per p7 p5 p6 hardware p4 uif user, spo software per p7 p5 p6 hardware p4 uif user, step po commanded order uif user mot completed proc done, spo software per p7 p5 p6 hardware p4 uif user, spo software per p7 p5 p6 hardware p4 uif user, spo software per p7 p5 p6 hardware p4 uif user, thread p3 p2 p1 per p4 p6 p7 software spo"
36,"data port runtime con prod source sink ping pinger cpu, nan cpu cpurm b0 b1 b2 node memst poll value, initcomplete mrttobcmsg rttobcmsg cpu ebus mrtinit mrtmgr mrt segment l1, order actuatorcommand pr partition partmem newavg need semaphore tempavg positionsetpoint, data cpu sink source cycle pr sender receiver node consumer, part mem thebus cpu process sensorin mbx sensorout mainmemory netif, nan cpu cpurm b0 b1 b2 node memst poll value, share bus pilotage camera radio meteo mesure ordo donnees cpu, req reqdataset dataset share nan cpu cpurm b0 b1 b2, cpu value update cmd ev tempvalue temp targethumid windowcmd invalue"
37,"thread input output channel transporter viewsink viewsource request response sensor, input output channel thread viewsink viewsource portablecomponentinstance portablecomponent transporter request, altitude input output autopilot sensor thread ft converter transporter channel, port request response sink pcsinstance source usedpcs thread input output, thread input output channel transporter viewsink viewsource request response sensor, thread input output channel transporter viewsink viewsource request response sensor, thread input output channel transporter viewsink viewsource request response sensor, input output thread transporter channel viewsink viewsource request response sensor, conn platformspecificcomponent uopinstance response request thread viewsource viewsink output input, altitude input output thread autopilot sensor duplicate name unique channel"
38,"nan usb mix port v5 ada pps v3 shield xyz, status device actuatorcommand power battery cofig running level measuring activate, nan usb mix port v5 ada pps v3 shield xyz, pb pd pc digital gnd vcc port ch analog pin, busdata control home hw configure inward moment plugin command configured, appliance sensor configuration instructed instruction turn control switch current smarthome, nan usb mix port v5 ada pps v3 shield xyz, temp desired bus auto curr access status control upper lower, ba oute gps proc fgss fgp fgs fg fgpp act, oute gps ine nan usb mix port v3 v5 xyz"
39,"alarm ack fan temp cmd forward desired current status socket, car gate plate loop thread conveyor data bus access open, input data output bus th dev dv spi mcu interrupt, wire serial meas manager proc evt arm supply bus frame, ip personal credit debited fpd tpd intrfc travlr identity device, bus power access motion sys thread odometer reszta sum wysun, data collision sensor unavoidable avoidable detected ba vehicle port send, wheel rear speed current bus tc acc brake left right, bus access bad modul bap sejf dane drinkready czytnik drinkprice, data bus camera img cash thread card ev access gps"
40,"data reconfiguration power status req access control vme sensor rw, speed distance result current sensor thr cmd desired lane overtaking, cm ba signal plan rep dataout datain input state imu, rate bus syslink packet pwm rx tx uart ic task, output input data bus th dev mcu spi gps dv, a1 uart alb ta effect boo serial externaleffect actionout s1, cc po net dist cpu sensor obst cmd access spd, node runtime secret topsecret unclassified partition netif thr driver ca, dm sensor sw al hum light hvac app win door, valuein valueout signalport a0 c0 s0 eth azimuththruster s1 backupdataport"
41,"dp servo rin lin busaccess di forceb servob pg esc, appli icb acq aocs pf plb feature sys pl rtc, gpiobusdata coffee container sensor water milk stocklevel drink replenished bean, ph apex th access afdx wpid wpinfo eta answer speed, acc po angle ic position order gps cpu imu fl, coffeemachine eye hand finger user supply bean bus display signalizer, state gpu gps cpu command make heater press handler foamer, recv send status data hw position uart map radio waypoint, atr filter cci mark av zone keep case fb min, alarm echo po rm infusion pause confirmation lost rate spo"
42,"outed ined compute tstep th actuate db sense pb cpu, spo derivedalarm alarm checkspothread handlealarmthread applogic pulseox appdisplay updatespothread spoval, patient pacemaker rc pp fe vrp pace lrl lead sense, spo respiratoryrate etco deviceerror updatespothread capnographerror commandpumpnormal pulseoxerror updaterespiratoryratethread appdisplay, patient pacemaker rc pp fe vrp pace lrl lead sense, xl ca brake sb eb controller ea motor sensor driver, patient pacemaker rc pp fe vrp pace lrl lead sense, patient pacemaker rc pp fe vrp pace lrl lead sense, patient pacemaker rc pp fe vrp pace lrl lead sense, ined outed tstep compute db devbus sense actuate lead pb"
43,"bus log drug alarm rate key ui power security operation, child f1 f2 fg f3 satpos mygps observation wakeup position, data input frequency output bp signal bus loc sdi glide, drug limit patient infusion rate request bolus soft log prescription, child f1 f2 fg f3 satpos mygps observation wakeup position, child f1 f2 fg f3 satpos mygps observation wakeup position, command disengage engage ba data received position processor actuator processed, heat control skinsensor temperature value current heatsource status child f1, child f1 f2 fg f3 satpos mygps observation wakeup position, command controller data disengage engage position speed direction airbag vehicle"
44,"powertrain exhaustsystem exhaustoutput exhaustmanifold nan sender receiver proc pingpong pong, tempchanged currenttemp setpoint fancmd fanack fan tempsensor operatorinterface tempcontrol oiproc, mph refspd cancel cruiseactive server engspd rpm breakpedalpressed clutchpedalpressed activate, m1 m3 m2 cpu process m4 t1 t5 t4 t2, key text operation label failed algorithm nonce source format mac, sensorin senseout samplingin actuatorout controlin signalout sensorraw signalin sensorfiltered sense, external interrupt depository producer workload additional cpu call wom log, rse data thread wateralarm methanelevel smp ticp tmp wsp ecsp, acc input accdata event dataout adirup error command output monitor, filter th capteur proc droit gauche zone operatingregion automationrequest linesearchtask"
