Model,Cluster,Component,Feature
designer cruisecontrol cruisecontrol generic ,5,lan hci processor ccl processor s hci p hci process t buttonpanel t drivermodelogic t refspd t instrumentpanel s cruisecontrollaws p cruisecontrol process t cruise t cruise,breakpedalpressed clutchpedalpressed autospd mph engspd rpm throttlepos in b lan b lan breakpedalpressed clutchpedalpressed autospd mph engspd rpm cruiseactive refspd mph breakpedalpressed clutchpedalpressed autospd mph engspd rpm cruiseactive refspd mph activate cancel onnotoff incspeed decspd breakpedalpressed clutchpedalpressed activate cancel onnotoff cruiseactive activate cruiseactive incspeed decspd refspd mph autospd mph engspd rpm refspd mph cruiseactive refspd mph autospd mph throttlepos in cruiseactive refspd mph autospd mph throttlepos in cruiseactive refspd mph autospd mph filautospd mph filrefspd mph filautospd mph filrefspd mph throttlepos in
designer cruisecontrol hci model ,5,p hci process t buttonpanel t drivermodelogic t refspd t instrumentpanel,breakpedalpressed clutchpedalpressed autospd mph engspd rpm cruiseactive refspd mph breakpedalpressed clutchpedalpressed autospd mph engspd rpm cruiseactive refspd mph activate cancel onnotoff incspeed decspd breakpedalpressed clutchpedalpressed activate cancel onnotoff cruiseactive activate cruiseactive incspeed decspd refspd mph autospd mph engspd rpm refspd mph
examples fc flightcontroller ,41,gps,uart uart recv uart send position
examples fc flightcontroller ,41,gps,uart uart recv uart send position
examples gs groundstation ,41,bus hw radio hw mem hw proc sw radiodriver sendmessagesservicegs proc hw,rfa radio recv radio send recv data in recv data out send data in send data out gsa rfa gsa recv data send data recv data send data automationrequest operatingregion linesearchtask operatingregion linesearchtask automationrequest gsa
examples gs groundstation ,41,bus hw radio hw mem hw proc sw radiodriver sendmessagesservicegs proc hw,rfa radio recv radio send recv data in recv data out send data in send data out gsa rfa gsa recv data send data recv data send data automationrequest operatingregion linesearchtask operatingregion linesearchtask automationrequest gsa
examples hardware pcb clock ,19,bus maintenance nic timers ebc cpu ram rom hmi power bus power internal maintenance bus clock controller,sense ui touch act ui image ui sound connectors serial bus usb bus lvds bus hdmi bus vga bus ethernet maintenance bus maintenance bus provision bus bus power supply mp clock mtm bus bus ethernet power supply nic clock mtm bus bus peripheral power bus serial bus usb bus lvds bus power supply bus mtm bus gpio cpu clock power supply bus power supply mtm bus bus power supply mtm bus bus power supply dc clock sc clock mtm bus hdmi bus vga bus ui image ui sound ui touch power supply bus peripheral power mtm bus cpu clock nic clock mp clock dc clock sc clock clk pwr
examples hardware pcb i ,19,bus maintenance nic timers ebc cpu ram rom hmi,sense ui touch act ui image ui sound connectors serial bus usb bus lvds bus hdmi bus vga bus ethernet maintenance bus maintenance bus provision bus bus power supply mp clock mtm bus bus ethernet power supply nic clock mtm bus bus peripheral power bus serial bus usb bus lvds bus power supply bus mtm bus gpio cpu clock power supply bus power supply mtm bus bus power supply mtm bus bus power supply dc clock sc clock mtm bus hdmi bus vga bus ui image ui sound ui touch
examples hardware pcb mp ,19,bus maintenance nic timers ebc cpu ram rom hmi power bus power internal maintenance bus,sense ui touch act ui image ui sound connectors serial bus usb bus lvds bus hdmi bus vga bus ethernet maintenance bus maintenance bus provision bus bus power supply mp clock mtm bus bus ethernet power supply nic clock mtm bus bus peripheral power bus serial bus usb bus lvds bus power supply bus mtm bus gpio cpu clock power supply bus power supply mtm bus bus power supply mtm bus bus power supply dc clock sc clock mtm bus hdmi bus vga bus ui image ui sound ui touch power supply bus peripheral power mtm bus
examples hardware pcb power ,19,bus maintenance nic timers ebc cpu ram rom hmi power bus power,sense ui touch act ui image ui sound connectors serial bus usb bus lvds bus hdmi bus vga bus ethernet maintenance bus maintenance bus provision bus bus power supply mp clock mtm bus bus ethernet power supply nic clock mtm bus bus peripheral power bus serial bus usb bus lvds bus power supply bus mtm bus gpio cpu clock power supply bus power supply mtm bus bus power supply mtm bus bus power supply dc clock sc clock mtm bus hdmi bus vga bus ui image ui sound ui touch power supply bus peripheral power mtm bus
examples human machine interface hmi i ,39,ts dc sp sc,bus power supply dc clock sc clock mtm bus hdmi bus vga bus ui image ui sound ui touch ui image image ui touch finger location bus video bus dc clock power supply mtm bus hdmi bus vga bus audio bus sound bus audio bus power supply sc clock mtm bus
examples ipca context open pca context i ,43,patient nurse network cable supervisor maintenance controller pca pump serv cpal mediator gpio security security process controller algorithms signer mac verifier mac verifier encryptor decryptor key gen random key store communication maintenance processor nic network controller nit firewall log ts d i e s gui control panel gui kernel func power sensors actuators button reservoir pump upstream downstream safety led fault log error detect alarm process alarm thr flow rate operation scanner operation process drug library event logger operation threads boss rate controller prescription checker max drug watcher patient bolus checker board maintenance nic timers ebc hmi power bus power internal maintenance bus clock controller perpheral power bus bus button drug reservoir upstream monitor pump downstream monitor tube connector cpu ram rom dev dev dev,infused drug button press sound light to eye finger press to devices to console to hospital jack connectors serial bus usb bus lvds bus hdmi bus vga bus external network jack sense ui touch barcode signal patient button press act ui image ui sound drug outlet barcode illumination fill reservoir alarm alarm warning info to user to comm from maintenance the fault log the event log the security log load drug library get fault log get event log get security log security provisioning crypto control to network jack alarm inactivation ui image ui sound ui touch from safety from operation malfunction halt from safety from operation malfunction halt i0 i1 i2 i3 i4 i5 i6 i7 i8 i9 i i i i i i o0 o1 o2 o3 o4 o5 o6 o7 o8 o9 o o o o o o crypto control crypto control crypto control security interface key label algorithm tag source text nonce in nonce out result text okay sign message mac message verify signature verify mac generate key generate random number encrypt decrypt operation failed bad format security interface key label algorithm tag source text nonce in nonce out result text okay sign message mac message verify signature verify mac generate key generate random number encrypt decrypt operation failed bad format algorithm source text nonce in key label result text fetch key retreived key sign message operation failed bad format algorithm source text nonce in key label result text fetch key retreived key mac message operation failed bad format algorithm source text tag nonce in key label okay fetch key retreived key verify signature operation failed bad format algorithm source text tag nonce in key label okay fetch key retreived key verify mac operation failed bad format algorithm source text nonce in key label result text fetch key retreived key encrypt operation failed bad format algorithm source text key label result text fetch key retreived key decrypt operation failed bad format algorithm requested key label key label store key generate key operation failed result text generate random number operation failed fetch key retreived key store key to comm alarm alarm warning info maintenance the fault log the event log the security log load drug library get fault log get event log get security log security provisioning to network jack maintenance the fault log the event log the security log load drug library get fault log get event log get security log security provisioning jack nic interface to network from operation alarm alarm warning info to nic alarm alarm warning info from operation to nic syslog timesync dns net syslog timesync dns net syslog tcp synch udp dns udp net tcp nic syslog tcp synch udp dns udp tcp nic to user alarm alarm warning info alarm inactivation ui image ui sound ui touch cp int ui image ui sound ui touch from operation alarm alarm warning info cp int alarm inactivation alarm alarm warning info to user to comm from maintenance the fault log the event log the security log load drug library get fault log get event log get security log security provisioning crypto control alarm inactivation sense ui touch barcode signal patient button press act ui image ui sound drug outlet barcode illumination fill reservoir to network power supply bus peripheral power mtm bus to safety to operation gpio power supply mtm bus halt sense ui touch barcode signal patient button press act ui image ui sound drug outlet barcode illumination fill reservoir from safety upstream flow rate downstream flow rate door open empty reservoir low reservoir bubble pump too hot downstream occlusion upstream occlusion halt from operation infusion flow rate door open door closed request bolus do scan scan done button press request bolus door open low reservoir empty reservoir door closed rate halt pump too hot upstream flow rate upstream occlusion downstream flow rate downstream occlusion bubble detected alarm alarm warning info to peripherals from operation from power from maintenance the fault log the event log the security log load drug library get fault log get event log get security log security provisioning bus peripheral malfunction alarm inactivation halt illuminate light the log log hard fault log soft fault get log illuminate hardware fault halt bus hw error detections infusion flow rate pumping mode halt pump at kvo rate priming failure drug not in library hard limit violated over max drug per hour security fault cp reset alarm post fail post done hw detected failure peripheral malfunction alarm inactivation to peripherals upstream flow rate downstream flow rate door open empty reservoir low reservoir bubble pump too hot downstream occlusion upstream occlusion halt from operation infusion flow rate pumping mode halt pump at kvo rate priming failure drug not in library hard limit violated over max drug per hour security fault cp reset alarm post fail post done hw detected failure from power low battery warning voltage oor defective btty send alarm info alarm warning report hazard alarm inactivation peripheral malfunction door open alarm warning log fault stop pumping completely pump at kvo rate max dose warning hard limit violation empty res low res pump hpt upstream occlusion downstream occlusion bubble priming failure cp reset alarm drug not in library defective btty low battery warning voltage oor basal overinfusion bolus overinfusion square bolus overinfusion basal underinfusion bolus underinfusion square bolus underinfusion security fault infusion flow rate upstream flow rate downstream flow rate pumping mode basal overinfusion bolus overinfusion square bolus overinfusion basal underinfusion bolus underinfusion square bolus underinfusion to safety infusion flow rate pumping mode halt pump at kvo rate priming failure drug not in library hard limit violated over max drug per hour security fault cp reset alarm post fail post done hw detected failure to peripherals infusion flow rate door open door closed request bolus do scan scan done from power using battery power remaining battery time low battery warning to user status clinician bolus duration display message sound type alarm inactivation hard limit violated pause infusion resume infusion clinician request bolus stop button pressed start button pressed confirm soft limit exception reject soft limit exception soft limit warning turn off patient request not too soon patient request too soon over max drug per hour from maintenance the fault log the security log get fault log get event log get security log security provisioning the event log load drug library to comm alarm inactivation pump at kvo rate halt crypto control clinician name patient name prescription scan data authenticate clinician authenticate patient authenticate prescription authentication fail authentication pass security fault provisioning alarm info alarm warning do scan scan done scan data infusion flow rate door open prescription pumping mode alarm inactivation clinician bolus duration load drug library alarm warning the event log status display message sound type patient button request drug not in library stop pumping completely pump at kvo rate hw detected failure hard limit violated soft limit warning get event log pause infusion resume infusion clinician request bolus confirm soft limit exception reject soft limit exception stop button pressed start button pressed over max drug per hour patient request not too soon patient request too soon authenticate clinician authenticate patient authenticate prescription authentication fail authentication pass do scan scan done post done post fail door closed turn off priming failure load drug library get drug record the drug record no drug found log event the event log get event log infusion flow rate door open prescription pumping mode alarm warning cp bolus duration status display message sound type get drug record the drug record log event hw detected failure stop pumping completely pump at kvo rate hard limit violated patient button request patient request not too soon patient request too soon pause infusion resume infusion cp clinician request bolus stop button pressed start button pressed confirm soft limit exception reject soft limit exception soft limit warning over max drug per hour no drug found do scan scan done authenticate clinician authenticate patient authenticate prescription authentication fail authentication pass post done post fail door closed turn off priming failure network stop pump display message sound type log event post done post fail stop button pressed start button pressed do scan scan done authenticate clinician authenticate patient authenticate prescription authentication fail authentication pass check prescription drug not in library hard limit violated reject soft limit exception confirm soft limit exception prescription okay door closed begin priming end priming priming failure begin infusion halt infusion turn off infusion flow rate pumping mode square bolus rate patient bolus rate basal rate vtbi door open status alarm warning cp bolus duration begin infusion begin priming end priming halt infusion hw detected failure stop pumping completely pump at kvo rate patient request not too soon pause infusion resume infusion cp clinician request bolus over max drug per hour network stop pump prescription vtbi square bolus rate patient bolus rate basal rate minimum time between bolus max drug per hour get drug record the drug record check prescription prescription okay drug not in library confirm soft limit exception reject soft limit exception soft limit warning hard limit violated infusion flow rate max drug per hour near max drug per hour over max drug per hour minimum time between bolus patient button request patient request not too soon patient request too soon stop connectors serial bus usb bus lvds bus hdmi bus vga bus ethernet maintenance bus sense ui touch barcode signal patient button press act ui image ui sound drug outlet barcode illumination fill reservoir maintenance bus provision bus bus power supply mp clock mtm bus bus ethernet power supply nic clock mtm bus bus peripheral power bus serial bus usb bus lvds bus power supply bus power supply dc clock sc clock mtm bus hdmi bus vga bus ui image ui sound ui touch power supply bus peripheral power mtm bus cpu clock nic clock mp clock dc clock sc clock clk pwr gpio power gpio power drug outlet fill reservoir gpio power drug outlet drug intake gpio power drug outlet drug intake gpio power drug outlet drug intake drug outlet drug intake bus mtm bus gpio cpu clock power supply bus power supply mtm bus bus power supply mtm bus to network to network to network
examples ipca control panel control panel i ,9,display audible ui process ui thread,i bus ui image ui sound ui touch alarm inactivation remaining battery time using battery power prescription clinician name patient name cp reset alarm over max drug per hour hard limit violated soft limit warning low battery warning confirm soft limit exception reject soft limit exception stop button pressed start button pressed turn off clinician request bolus pause infusion resume infusion patient request not too soon patient request too soon alarm warning status display message sound type bolus duration ui image image ui touch finger location video bus power supply mtm bus i bus audio signal sound i bus image audio signal alarm inactivation remaining battery time using battery power prescription clinician name patient name finger location alarm warning status display message sound type bolus duration cp reset alarm low battery warning hard limit violated soft limit warning confirm soft limit exception reject soft limit exception stop button pressed start button pressed clinician request bolus pause infusion resume infusion turn off patient request not too soon patient request too soon image audio signal alarm inactivation remaining battery time using battery power prescription clinician name patient name finger location alarm warning status display message sound type bolus duration cp reset alarm low battery warning hard limit violated soft limit warning confirm soft limit exception reject soft limit exception stop button pressed start button pressed clinician request bolus pause infusion resume infusion turn off patient request not too soon patient request too soon
examples ipca hardware pcb ipca i ,19,maintenance nic timers ebc hmi power bus power internal maintenance bus clock controller perpheral power bus bus button drug reservoir upstream monitor pump downstream monitor tube connector cpu ram rom,connectors serial bus usb bus lvds bus hdmi bus vga bus ethernet maintenance bus sense ui touch barcode signal patient button press act ui image ui sound drug outlet barcode illumination fill reservoir maintenance bus provision bus bus power supply mp clock mtm bus bus ethernet power supply nic clock mtm bus bus peripheral power bus serial bus usb bus lvds bus power supply bus power supply dc clock sc clock mtm bus hdmi bus vga bus ui image ui sound ui touch power supply bus peripheral power mtm bus cpu clock nic clock mp clock dc clock sc clock clk pwr gpio power gpio power drug outlet fill reservoir gpio power drug outlet drug intake gpio power drug outlet drug intake gpio power drug outlet drug intake drug outlet drug intake bus mtm bus gpio cpu clock power supply bus power supply mtm bus bus power supply mtm bus
examples ipca operation ipca operation i ,43,scanner operation process drug library event logger operation threads boss rate controller prescription checker max drug watcher patient bolus checker,to safety infusion flow rate pumping mode halt pump at kvo rate priming failure drug not in library hard limit violated over max drug per hour security fault cp reset alarm post fail post done hw detected failure to peripherals infusion flow rate door open door closed request bolus do scan scan done from power using battery power remaining battery time low battery warning to user status clinician bolus duration display message sound type alarm inactivation hard limit violated pause infusion resume infusion clinician request bolus stop button pressed start button pressed confirm soft limit exception reject soft limit exception soft limit warning turn off patient request not too soon patient request too soon over max drug per hour from maintenance the fault log the security log get fault log get event log get security log security provisioning the event log load drug library to comm alarm inactivation pump at kvo rate halt crypto control clinician name patient name prescription scan data authenticate clinician authenticate patient authenticate prescription authentication fail authentication pass security fault provisioning alarm info alarm warning do scan scan done scan data infusion flow rate door open prescription pumping mode alarm inactivation clinician bolus duration load drug library alarm warning the event log status display message sound type patient button request drug not in library stop pumping completely pump at kvo rate hw detected failure hard limit violated soft limit warning get event log pause infusion resume infusion clinician request bolus confirm soft limit exception reject soft limit exception stop button pressed start button pressed over max drug per hour patient request not too soon patient request too soon authenticate clinician authenticate patient authenticate prescription authentication fail authentication pass do scan scan done post done post fail door closed turn off priming failure load drug library get drug record the drug record no drug found log event the event log get event log infusion flow rate door open prescription pumping mode alarm warning cp bolus duration status display message sound type get drug record the drug record log event hw detected failure stop pumping completely pump at kvo rate hard limit violated patient button request patient request not too soon patient request too soon pause infusion resume infusion cp clinician request bolus stop button pressed start button pressed confirm soft limit exception reject soft limit exception soft limit warning over max drug per hour no drug found do scan scan done authenticate clinician authenticate patient authenticate prescription authentication fail authentication pass post done post fail door closed turn off priming failure network stop pump display message sound type log event post done post fail stop button pressed start button pressed do scan scan done authenticate clinician authenticate patient authenticate prescription authentication fail authentication pass check prescription drug not in library hard limit violated reject soft limit exception confirm soft limit exception prescription okay door closed begin priming end priming priming failure begin infusion halt infusion turn off infusion flow rate pumping mode square bolus rate patient bolus rate basal rate vtbi door open status alarm warning cp bolus duration begin infusion begin priming end priming halt infusion hw detected failure stop pumping completely pump at kvo rate patient request not too soon pause infusion resume infusion cp clinician request bolus over max drug per hour network stop pump prescription vtbi square bolus rate patient bolus rate basal rate minimum time between bolus max drug per hour get drug record the drug record check prescription prescription okay drug not in library confirm soft limit exception reject soft limit exception soft limit warning hard limit violated infusion flow rate max drug per hour near max drug per hour over max drug per hour minimum time between bolus patient button request patient request not too soon patient request too soon stop
examples ipca peripherals ipca fluid i ,43,button reservoir pump upstream downstream,gpio power supply mtm bus halt sense ui touch barcode signal patient button press act ui image ui sound drug outlet barcode illumination fill reservoir from safety upstream flow rate downstream flow rate door open empty reservoir low reservoir bubble pump too hot downstream occlusion upstream occlusion halt from operation infusion flow rate door open door closed request bolus do scan scan done button press request bolus door open low reservoir empty reservoir door closed rate halt pump too hot upstream flow rate upstream occlusion downstream flow rate downstream occlusion bubble detected
examples ipca power power i ,9,pwr btty vcc,p bus using battery power remaining battery time low battery warning defective btty voltage oor battery voltage battery current power voltage using battery power remaining battery time low battery warning defective battery voltage oor p bus battery voltage battery current power voltage
examples mc missioncomputer ,41,bus hw radio hw uart hw mem hw proc sw radio flt fpln flt fpln valid fpln wpm uart proc hw,uarta rfa recv map position status waypoint send status recv map in recv map out send status in send status out mca rfa waypoint in waypoint out position status in position status out mca uarta mca recv map send status waypoint position status recv map in send status out send status in recv map out filter in filter out flight plan in flight plan out flight plan in flight plan out flight plan recv map position status flight plan waypoint position status position status in waypoint out position status out waypoint in mca
examples mc missioncomputer ,41,bus hw radio hw fc uart hw mem hw proc sw fc uart radio uxas taskmanagerservice automationrequestvalidatorservice routeplannervisibilityservice routeaggregatorservice assignmenttreebranchboundservice planbuilderservice waypointplanmanagerservice cmasilinesearchtaskservice sendmessagesservicememory sendmessagesserviceinit proc hw,fc uart rfa radio recv radio send fc uart recv fc uart send recv data in recv data out send data in send data out mca rfa recv data in recv data out send data in send data out mca uart mca uart recv uart send radio recv radio send recv data missioncommand send data airvehiclestate recv data send data automationresponse airvehiclestate automationrequest operatingregion linesearchtask automationrequest airvehiclestate operatingregion linesearchtask missioncommand automationresponse airvehicleconfiguration airvehiclestate linesearchtask createnewservice automationrequest uniqueautomationresponse airvehicleconfiguration airvehiclestate operatingregion keepinzone keepoutzone automationresponse uniqueautomationrequest keepoutzone keepinzone operatingregion airvehicleconfiguration routeplanrequest task routeplanrequest ragg airvehiclestate routeplanresponse airvehiclestate airvehicleconfiguration uniqueautomationresquest taskplanoptions routeplanresponse routeplanrequest assignmentcostmatrix uniqueautomationrequest taskplanoptions assignmentcostmatrix taskassignmentsummary airvehiclestate uniqueautomationrequest taskassignmentsummary taskimplementationresponse taskimplementationrequest uniqueautomationresponse automationresponse airvehiclestate missioncommand airvehiclestate airvehicleconfiguration uniqueautomationrequest uniqueautomationresponse routeplanresponse taskimplementationrequest routeplanrequest taskplanoptions taskimplementationresponse createnewservice airvehicleconfiguration keepinzone keepoutzone airvehiclestate missioncommand mca
examples mc missioncomputer ,41,bus hw radio hw fc uart hw mem hw proc hw proc sw fc uart uartdriver radio radiodriver attestation flyzones flyzonesdatabase uxas uxas wpm waypointplanmanagerservice am case attestationmanager am gate case attestationgate flt areq case filter areq flt or case filter or flt lst case filter lst mon req case monitor req flt ares case filter ares mon geo case monitor geo,fc uart rfa radio recv radio send fc uart recv fc uart send recv data in recv data out send data in send data out mca rfa recv data in recv data out send data in send data out mca uart mca mca uart recv uart send radio recv radio send recv data missioncommand send data airvehiclestate recv data missioncommand send data airvehiclestate am request am response recv data send data automationrequest operatingregion linesearchtask recv data send data automationresponse airvehiclestate automationrequest operatingregion linesearchtask am request am response keep in zones keep out zones keep in zones keep out zones automationrequest airvehiclestate operatingregion linesearchtask automationresponse automationrequest airvehiclestate operatingregion linesearchtask automationresponse automationresponse airvehiclestate missioncommand returnhome automationresponse airvehiclestate missioncommand returnhome trusted ids attestation request attestation response trusted ids attestation request attestation response trusted ids automationrequest in automationrequest out operatingregion in operatingregion out linesearchtask in linesearchtask out trusted ids automationrequest in automationrequest out operatingregion in operatingregion out linesearchtask in linesearchtask out filter in filter out filter in filter out filter in filter out filter in filter out filter in filter out filter in filter out observed reference  observed reference  filter in filter out filter in filter out keep in zones keep out zones observed output alert keep in zones keep out zones observed output alert
examples security security cp ,44,security process controller algorithms signer mac verifier mac verifier encryptor decryptor key gen random key store security processor,crypto control crypto control crypto control security interface key label algorithm tag source text nonce in nonce out result text okay sign message mac message verify signature verify mac generate key generate random number encrypt decrypt operation failed bad format security interface key label algorithm tag source text nonce in nonce out result text okay sign message mac message verify signature verify mac generate key generate random number encrypt decrypt operation failed bad format algorithm source text nonce in key label result text fetch key retreived key sign message operation failed bad format algorithm source text nonce in key label result text fetch key retreived key mac message operation failed bad format algorithm source text tag nonce in key label okay fetch key retreived key verify signature operation failed bad format algorithm source text tag nonce in key label okay fetch key retreived key verify mac operation failed bad format algorithm source text nonce in key label result text fetch key retreived key encrypt operation failed bad format algorithm source text key label result text fetch key retreived key decrypt operation failed bad format algorithm requested key label key label store key generate key operation failed result text generate random number operation failed fetch key retreived key store key
examples security security i ,44,security process controller algorithms signer mac verifier mac verifier encryptor decryptor key gen random key store,crypto control crypto control crypto control security interface key label algorithm tag source text nonce in nonce out result text okay sign message mac message verify signature verify mac generate key generate random number encrypt decrypt operation failed bad format security interface key label algorithm tag source text nonce in nonce out result text okay sign message mac message verify signature verify mac generate key generate random number encrypt decrypt operation failed bad format algorithm source text nonce in key label result text fetch key retreived key sign message operation failed bad format algorithm source text nonce in key label result text fetch key retreived key mac message operation failed bad format algorithm source text tag nonce in key label okay fetch key retreived key verify signature operation failed bad format algorithm source text tag nonce in key label okay fetch key retreived key verify mac operation failed bad format algorithm source text nonce in key label result text fetch key retreived key encrypt operation failed bad format algorithm source text key label result text fetch key retreived key decrypt operation failed bad format algorithm requested key label key label store key generate key operation failed result text generate random number operation failed fetch key retreived key store key
examples separation vp xen ,27,xenbr xenbr xenbr xenbr xenbr xenbr dom control vm cpal vm firewall vm operation vm safety vm,eth eth eth xenbr eth eth eth xenbr eth eth eth xenbr eth eth eth xenbr eth eth eth xenbr
examples sw sw ,44,fc uart uartdriver radio radiodriver attestation flyzones flyzonesdatabase uxas uxas wpm waypointplanmanagerservice am case attestationmanager am gate case attestationgate flt areq case filter areq flt or case filter or flt lst case filter lst mon req case monitor req flt ares case filter ares mon geo case monitor geo,uart recv uart send radio recv radio send recv data missioncommand send data airvehiclestate recv data missioncommand send data airvehiclestate am request am response recv data send data automationrequest operatingregion linesearchtask recv data send data automationresponse airvehiclestate automationrequest operatingregion linesearchtask am request am response keep in zones keep out zones keep in zones keep out zones automationrequest airvehiclestate operatingregion linesearchtask automationresponse automationrequest airvehiclestate operatingregion linesearchtask automationresponse automationresponse airvehiclestate missioncommand returnhome automationresponse airvehiclestate missioncommand returnhome trusted ids attestation request attestation response trusted ids attestation request attestation response trusted ids automationrequest in automationrequest out operatingregion in operatingregion out linesearchtask in linesearchtask out trusted ids automationrequest in automationrequest out operatingregion in operatingregion out linesearchtask in linesearchtask out filter in filter out filter in filter out filter in filter out filter in filter out filter in filter out filter in filter out observed reference  observed reference  filter in filter out filter in filter out keep in zones keep out zones observed output alert keep in zones keep out zones observed output alert
examples uas uas ,41,rfb gnd uav sbus mcmp bus hw radio hw uart hw mem hw proc sw radio flt fpln flt fpln valid fpln wpm uart proc hw fctl,send map recv status rfa rfa recv map send status uarta rfa recv map position status waypoint send status recv map in recv map out send status in send status out mca rfa waypoint in waypoint out position status in position status out mca uarta mca recv map send status waypoint position status recv map in send status out send status in recv map out filter in filter out flight plan in flight plan out flight plan in flight plan out flight plan recv map position status flight plan waypoint position status position status in waypoint out position status out waypoint in mca uarta waypoint position status
examples uav uav ,41,sbus mcmp bus hw radio hw uart hw mem hw proc sw radio flt fpln flt fpln valid fpln wpm uart proc hw fctl,rfa recv map send status uarta rfa recv map position status waypoint send status recv map in recv map out send status in send status out mca rfa waypoint in waypoint out position status in position status out mca uarta mca recv map send status waypoint position status recv map in send status out send status in recv map out filter in filter out flight plan in flight plan out flight plan in flight plan out flight plan recv map position status flight plan waypoint position status position status in waypoint out position status out waypoint in mca uarta waypoint position status
