Model,Component,Feature,ConnectionInstance
avionicsbusmanagers avionicsbusmgr xps8500 1,"eb , l0 , l1 , l2 , l3 , b0bc , bcinit , bcmgr , m0rt , m0rtinit , m0rtmgr , m1rt , m1rtinit , m1rtmgr , m2rt , m2rtinit , m2rtmgr , cpu , cpu0 , cpu1 , cpu2 , cpu3","ebus , ebus , ebus , ebus , m0rttobcmsg , m1rttobcmsg , m2rttobcmsg , initcomplete , initcomplete , m0rttobcmsg , m1rttobcmsg , m2rttobcmsg , rttobcmsg , initcomplete , initcomplete , rttobcmsg , rttobcmsg , initcomplete , initcomplete , rttobcmsg , rttobcmsg , initcomplete , initcomplete , rttobcmsg , ebus","bcinit.initcomplete > bcmgr.initcomplete , m0rtinit.initcomplete > m0rtmgr.initcomplete , m1rtinit.initcomplete > m1rtmgr.initcomplete , m2rtinit.initcomplete > m2rtmgr.initcomplete , eb > l0.ebus , eb > l1.ebus , eb > l2.ebus , eb > l3.ebus , eb > cpu.ebus , l0.ebus > eb , l1.ebus > eb , l2.ebus > eb , l3.ebus > eb , m0rt.m0rtmgr.rttobcmsg > b0bc.bcmgr.m0rttobcmsg , m1rt.m1rtmgr.rttobcmsg > b0bc.bcmgr.m1rttobcmsg , m2rt.m2rtmgr.rttobcmsg > b0bc.bcmgr.m2rttobcmsg , cpu.ebus > eb"
blocks fpa block without runtime i 1,"datapart , ctrlpart","bus access , dataout , dataout , ctrlout , ctrlin , ctrlout","datapart.dataout > dataout , datapart.ctrlout > ctrlpart.ctrlin"
blocks fpa block with runtime i 1,"datapart , ctrlpart , processing","bus access , output , dataout , ctrlout , ctrlin , ctrlout , bus access , raw , compressed","bus access > processing.bus access , datapart.dataout > processing.raw , datapart.ctrlout > ctrlpart.ctrlin"
blocks memory management eight links i 1,"mm , runtime","bus access , to cdmu , link1 , link2 , link3 , link4 , link5 , link6 , link7 , link8 , bus access , input , bus access",bus access > runtime.bus access
blocks memory management two links i 1,"mm , runtime","bus access , to cdmu , link1 , link2 , bus access , input , bus access",bus access > runtime.bus access
blocks obc i 1,"computer1 , computer2","bus access , rawdata1 , rawdata2 , rawdata3 , rawdata4 , rawdata5 , rawdata6 , rawdata7 , rawdata8 , compressed , bus access , fpadata1 , fpadata2 , fpadata3 , fpadata4 , fpadata5 , fpadata6 , fpadata7 , compressed , bus access , fpadata1 , fpadata2 , fpadata3 , fpadata4 , fpadata5 , fpadata6 , fpadata7 , compressed","bus access > computer1.bus access , bus access > computer2.bus access"
car car 1,"can , process a , t1 , t2 , process b , t3 , t4 , t5 , t6 , process c , t7 , t8 , t9 , cpu a , cpu b , cpu c","m1 out , m2 in , m1 out , m2 in , m1 in , m2 out , m3 out , m2 out , m1 in , m3 out , m3 in , m4 in , m3 in , m4 out","t9.m4 out > t8.m4 in , process a.t1.m1 out > process b.t6.m1 in , process b.t5.m2 out > process a.t2.m2 in , process b.t6.m3 out > process c.t9.m3 in"
dms door management imp 1,"door1 , door2 , lgs , dps , ocu , fws , ecam , process door , door1 , door2 , doors mix","handle position , closed , latched , locked , swivel , de arrest , lock , warn diff pres , warn slide , handle position , closed , latched , locked , swivel , de arrest , lock , warn diff pres , warn slide , in flight1 , on ground1 , engine running1 , emergency evacuation1 , in flight2 , on ground2 , engine running2 , emergency evacuation2 , dps1 , dps2 , cll , wrn door1 , wrn door2 , info door1 , info door2 , d1 handle position , d1 closed , d1 latched , d1 locked , d1 swivel , d1 de arrest , d1 lock , d1 warn diff pres , d1 warn slide , d1 in flight , d1 on ground , d1 engine running , d1 emergency evacuation , d1 dps , d1 warning info , d1 ecam info , d2 handle position , d2 closed , d2 latched , d2 locked , d2 swivel , d2 de arrest , d2 lock , d2 warn diff pres , d2 warn slide , d2 in flight , d2 on ground , d2 engine running , d2 emergency evacuation , d2 warning info , d2 ecam info , d2 dps , mix cll , handle position , closed , latched , locked , swivel , de arrest , lock , warn diff pres , warn slide , in flight , on ground , engine running , emergency evacuation , dps , door locked , warning info , ecam info , handle position , closed , latched , locked , swivel , de arrest , lock , warn diff pres , warn slide , in flight , on ground , engine running , emergency evacuation , dps , door locked , warning info , ecam info , door1 , door2 , cll","door1.door locked > doors mix.door1 , door2.door locked > doors mix.door2 , door1.handle position > process door.door1.handle position , door1.closed > process door.door1.closed , door1.latched > process door.door1.latched , door1.locked > process door.door1.locked , door2.handle position > process door.door2.handle position , door2.closed > process door.door2.closed , door2.latched > process door.door2.latched , door2.locked > process door.door2.locked , lgs.in flight1 > process door.door1.in flight , lgs.on ground1 > process door.door1.on ground , lgs.engine running1 > process door.door1.engine running , lgs.emergency evacuation1 > process door.door1.emergency evacuation , lgs.in flight2 > process door.door2.in flight , lgs.on ground2 > process door.door2.on ground , lgs.engine running2 > process door.door2.engine running , lgs.emergency evacuation2 > process door.door2.emergency evacuation , dps.dps1 > process door.door1.dps , dps.dps2 > process door.door2.dps , process door.door1.swivel > door1.swivel , process door.door1.de arrest > door1.de arrest , process door.door1.lock > door1.lock , process door.door1.warn diff pres > door1.warn diff pres , process door.door1.warn slide > door1.warn slide , process door.door1.warning info > fws.wrn door1 , process door.door1.ecam info > ecam.info door1 , process door.door2.swivel > door2.swivel , process door.door2.de arrest > door2.de arrest , process door.door2.lock > door2.lock , process door.door2.warn diff pres > door2.warn diff pres , process door.door2.warn slide > door2.warn slide , process door.door2.warning info > fws.wrn door2 , process door.door2.ecam info > ecam.info door2 , process door.doors mix.cll > ocu.cll"
emaxxv2 power distrib emaxxv2 power 1,"vbat bus , v5 1 bus , v5 2 bus , v12 bus , vbatmotors bus , us1 , us2 , odometer1 , odometer2 , receiver , inertial gps , telemeter , camera ip , router wifi , variator , motors , reg 5v 1 , reg 5v 2 , reg 12v , reg 3v3 , bat 14v calc , bat 14v motors","proc evt , serial wire , supply , proc evt , serial wire , supply , proc evt , serial wire , supply , proc evt , serial wire , supply , proc evt , serial wire , supply , proc evt , serial wire , supply , proc evt , serial wire , supply , proc evt , portcom , supply , proc evt , port1 , port2 , port3 , port4 , supply , serial wire , supply , serial wire , supply , power in , power out , power in , power out , power in , power out , power in , power out , power out , power out","vbat bus > bat 14v calc.power out , vbat bus > reg 5v 1.power in , vbat bus > reg 12v.power in , vbat bus > reg 5v 2.power in , v5 1 bus > reg 5v 1.power out , v5 1 bus > us1.supply , v5 1 bus > us2.supply , v5 1 bus > odometer1.supply , v5 1 bus > odometer2.supply , v5 1 bus > receiver.supply , v5 2 bus > reg 5v 2.power out , v5 2 bus > inertial gps.supply , v12 bus > reg 12v.power out , v12 bus > telemeter.supply , v12 bus > router wifi.supply , v12 bus > camera ip.supply , vbatmotors bus > bat 14v motors.power out , vbatmotors bus > motors.supply , vbatmotors bus > variator.supply"
emaxxv2 system emaxxv2 1,"uart ipc bus , i2c bus , timer bus arm7 , usb1 bus , uart2 bus , ethernet1 bus , ethernet2 bus , us1 , twi arm7 , uart0 arm7 , timer arm7 , pwm arm7 , uart0 arm9 , uart2 arm9 , usb1 arm9 , ethernet arm9 , us2 , odometer1 , odometer2 , receiver , inertial gps , telemeter , camera ip , router wifi , proc 1 , tm manager , tc manager , us manager , odometer manager , actuators manager , proc 2 , cl manager , se manager , d manager , telemeter manager , inertial gps manager , camera ip manager , cpu arm7 , cpu arm9","proc evt , serial wire , supply , serial wire , serial wire , serial wire , serial wire , serial wire , serial wire , serial wire , serial wire , proc evt , serial wire , supply , proc evt , serial wire , supply , proc evt , serial wire , supply , proc evt , serial wire , supply , proc evt , serial wire , supply , proc evt , serial wire , supply , proc evt , portcom , supply , proc evt , port1 , port2 , port3 , port4 , supply , tm frame , tc frame , us1 evt , us2 evt , odometer1 evt , odometer2 evt , receiver evt , us1 meas , us2 meas , compass meas , odometer meas , tm frame , tc frame , actuators cmd , us1 meas , us2 meas , us1 evt , us2 evt , odometer meas , odometer1 evt , odometer2 evt , actuators cmd , receiver evt , tc frame , tm frame , state estimation , tc frame , state estimation , tm frame , inertial gps meas , telemeter meas , decision , decision , camera ip meas , telemeter meas , inertial gps meas , camera ip meas , supply , supply","tc manager.actuators cmd > actuators manager.actuators cmd , us manager.us1 meas > tm manager.us1 meas , us manager.us2 meas > tm manager.us2 meas , odometer manager.odometer meas > tm manager.odometer meas , se manager.state estimation > cl manager.state estimation , d manager.decision > se manager.decision , telemeter manager.telemeter meas > se manager.telemeter meas , inertial gps manager.inertial gps meas > se manager.inertial gps meas , camera ip manager.camera ip meas > d manager.camera ip meas , uart ipc bus > uart0 arm9.serial wire , uart ipc bus > uart0 arm7.serial wire , i2c bus > twi arm7.serial wire , i2c bus > us1.serial wire , i2c bus > us2.serial wire , timer bus arm7 > timer arm7.serial wire , timer bus arm7 > odometer1.serial wire , timer bus arm7 > odometer2.serial wire , timer bus arm7 > receiver.serial wire , usb1 bus > usb1 arm9.serial wire , usb1 bus > telemeter.serial wire , uart2 bus > uart2 arm9.serial wire , uart2 bus > inertial gps.serial wire , ethernet1 bus > ethernet arm9.serial wire , ethernet1 bus > router wifi.port1 , ethernet2 bus > camera ip.portcom , ethernet2 bus > router wifi.port2 , proc 1.us manager.us1 evt > us1.proc evt , proc 1.us manager.us2 evt > us2.proc evt , proc 1.odometer manager.odometer1 evt > odometer1.proc evt , proc 1.odometer manager.odometer2 evt > odometer2.proc evt , proc 1.actuators manager.receiver evt > receiver.proc evt"
flight control system fcs 1,"i2c , operator , gps , imu , platform , node a , ff , nl , nf , pl , pf , fl , ap , cpu rm","pos c , i2c , position , i2c , angle , acc , i2c , order , i2c , pos c , order , angle , position , acc , angle , angle o , pos c , pos o , acc c , pos i , pos o , acc c , acc o , angle c , acc i , acc o , angle c , angle o , order , position , acc , acc i , pos i , i2c","ff.angle o > fl.angle o , nl.acc c > pl.acc c , nf.pos o > nl.pos o , pl.angle c > fl.angle c , pf.acc o > pl.acc o , ap.acc i > pf.acc i , ap.pos i > nf.pos i , i2c > gps.i2c , i2c > imu.i2c , i2c > platform.i2c , i2c > cpu rm.i2c , operator.pos c > node a.nl.pos c , gps.position > node a.ap.position , imu.angle > node a.ff.angle , imu.acc > node a.ap.acc , node a.fl.order > platform.order"
flowlatencydata application allperiodicdelayed 1,"sense , th , actuate , th , compute1 , tstep1 , compute2 , tstep2 , compute3 , tstep3","db , outed , outed , ined , ined , ined , outed , ined , outed , ined , outed , ined , outed , ined , outed , ined , outed","sense.th.outed > compute1.tstep1.ined , compute1.tstep1.outed > compute2.tstep2.ined , compute2.tstep2.outed > compute3.tstep3.ined , compute3.tstep3.outed > actuate.th.ined"
flowlatencydata topsystem distributedallperiodicdelayed 1,"db , pb , sense , th , actuate , th , compute1 , tstep1 , compute2 , tstep2 , compute3 , tstep3 , cpu","outed , outed , ined , ined , ined , outed , ined , outed , ined , outed , ined , outed , ined , outed , ined , outed , db , pb","db > cpu.db , pb > cpu.pb , sense.th.outed > compute1.tstep1.ined , compute1.tstep1.outed > compute2.tstep2.ined , compute2.tstep2.outed > compute3.tstep3.ined , compute3.tstep3.outed > actuate.th.ined"
flowlatencysampleddata application alldatadriven 1,"sense , actuate , compute1 , tstep1 , compute2 , tstep2 , compute3 , tstep3","db , outed , devbus , ined , devbus , ined , outed , ined , outed , ined , outed , ined , outed , ined , outed , ined , outed","db > sense.devbus , db > actuate.devbus , sense.outed > compute1.tstep1.ined , compute1.tstep1.outed > compute2.tstep2.ined , compute2.tstep2.outed > compute3.tstep3.ined , compute3.tstep3.outed > actuate.ined"
flowlatencysampleddata application allperiodicsampled 1,"sense , actuate , compute1 , tstep1 , compute2 , tstep2 , compute3 , tstep3","db , outed , devbus , ined , devbus , ined , outed , ined , outed , ined , outed , ined , outed , ined , outed , ined , outed","db > sense.devbus , db > actuate.devbus , sense.outed > compute1.tstep1.ined , compute1.tstep1.outed > compute2.tstep2.ined , compute2.tstep2.outed > compute3.tstep3.ined , compute3.tstep3.outed > actuate.ined"
flowlatencysampleddata hardwareplatform dual 1,"db1 , cpubus1 , cpu1 , cpu2","db , db , pb , db , pb","db1 > cpu1.db , db1 > cpu2.db , db1 > db"
flowlatencysampleddata hardwareplatform single 1,"db1 , cpu1","db , db , pb","db1 > cpu1.db , db1 > db"
flowlatencysampleddata topsystem alldatadriven 1,"app , sense , actuate , compute1 , tstep1 , compute2 , tstep2 , compute3 , tstep3 , hw , db1 , cpu1","db , outed , devbus , ined , devbus , ined , outed , ined , outed , ined , outed , ined , outed , ined , outed , ined , outed , db , db , pb","sense.outed > compute1.tstep1.ined , compute1.tstep1.outed > compute2.tstep2.ined , compute2.tstep2.outed > compute3.tstep3.ined , compute3.tstep3.outed > actuate.ined , db1 > cpu1.db , hw.db1 > app.sense.devbus , hw.db1 > app.actuate.devbus"
flowlatencysampleddata topsystem allperiodicsampled 1,"app , sense , actuate , compute1 , tstep1 , compute2 , tstep2 , compute3 , tstep3 , hw , db1 , cpu1","db , outed , devbus , ined , devbus , ined , outed , ined , outed , ined , outed , ined , outed , ined , outed , ined , outed , db , db , pb","sense.outed > compute1.tstep1.ined , compute1.tstep1.outed > compute2.tstep2.ined , compute2.tstep2.outed > compute3.tstep3.ined , compute3.tstep3.outed > actuate.ined , db1 > cpu1.db , hw.db1 > app.sense.devbus , hw.db1 > app.actuate.devbus"
flowlatencysampleddata topsystem distributedalldatadriven 1,"app , sense , actuate , compute1 , tstep1 , compute2 , tstep2 , compute3 , tstep3 , hw , db1 , cpubus1 , cpu1 , cpu2","db , outed , devbus , ined , devbus , ined , outed , ined , outed , ined , outed , ined , outed , ined , outed , ined , outed , db , db , pb , db , pb","sense.outed > compute1.tstep1.ined , compute1.tstep1.outed > compute2.tstep2.ined , compute2.tstep2.outed > compute3.tstep3.ined , compute3.tstep3.outed > actuate.ined , db1 > cpu1.db , db1 > cpu2.db , hw.db1 > app.sense.devbus , hw.db1 > app.actuate.devbus"
flybywire subsys mcu1 1,"mem bus , dev bus , recpt dv , cpt dv , ser rudder dv , ser elevator dv , ser aileronl dv , ser aileronr dv , ser motorl dv , ser motorr dv , ram , proc rcptcde pilotserv , system mode , radio ok , radio really lost , mega128 ok , rec dec th , send th , pilot serv th , check ap th , check fail th , interrupt elevator th , interrupt motorl th , interrupt motorr th , interrupt aileronl th , interrupt aileronr th , interrupt rudder th , interrupt spi 1 , interrupt rc th , mcu1 p","spi con , rc evtdata input , ap evtdata input , d mcu1 output , rc input , rc output , rc evt output , dev bus , data elev input , data aill input , data ailr input , data motorl input , data motorr input , data rudder input , data elev output , data aill output , data ailr output , data motorl output , data motorr output , data rudder output , dev bus , data input , dev bus , data input , dev bus , data input , dev bus , data input , dev bus , data input , dev bus , data input , dev bus , mem bus , cde elevator output , cde motorl output , cde motorr output , cde aileronl output , cde aileronr output , cde rudder output , radio cdes input , ap cdes input , cdes vol output , rc evt input , mcu1 data input , radio ok input , radio really lost input , mcu1 send output , data output , signal input , data output , signal input , data output , signal input , data output , signal input , data output , signal input , data output , signal input , data rec mcu1 output , evt rec spi input , data send spi output , evt send spi input , ap evt output , rc evt input , mem bus , dev bus , spi","send th.mcu1 send output > interrupt spi 1.evt send spi input , rc evtdata input > recpt dv.rc input , ap evtdata input > proc rcptcde pilotserv.interrupt spi 1.evt rec spi input , mem bus > mcu1 p.mem bus , mem bus > ram.mem bus , dev bus > mcu1 p.dev bus , dev bus > recpt dv.dev bus , dev bus > cpt dv.dev bus , dev bus > ser rudder dv.dev bus , dev bus > ser elevator dv.dev bus , dev bus > ser aileronl dv.dev bus , dev bus > ser aileronr dv.dev bus , dev bus > ser motorl dv.dev bus , dev bus > ser motorr dv.dev bus , recpt dv.rc output > proc rcptcde pilotserv.interrupt rc th.rc evt input , recpt dv.rc evt output > proc rcptcde pilotserv.rc evt input , cpt dv.data elev output > ser elevator dv.data input , cpt dv.data aill output > ser aileronl dv.data input , cpt dv.data ailr output > ser aileronr dv.data input , cpt dv.data motorl output > ser motorl dv.data input , cpt dv.data motorr output > ser motorr dv.data input , cpt dv.data rudder output > ser rudder dv.data input , proc rcptcde pilotserv.interrupt elevator th.data output > cpt dv.data elev input , proc rcptcde pilotserv.interrupt motorl th.data output > cpt dv.data motorl input , proc rcptcde pilotserv.interrupt motorr th.data output > cpt dv.data motorr input , proc rcptcde pilotserv.interrupt aileronl th.data output > cpt dv.data aill input , proc rcptcde pilotserv.interrupt aileronr th.data output > cpt dv.data ailr input , proc rcptcde pilotserv.interrupt rudder th.data output > cpt dv.data rudder input , proc rcptcde pilotserv.interrupt spi 1.data send spi output > d mcu1 output"
fms fms 1,"bus can , afdx network , vl1 , vl2 , vl3 , vl4 , vl5 , vl6 , keyboard , display , sensor rdc , sw1 , sw2 , sw3 , module1 , mainmemory , mem ku1 , mem mfd1 , ku1 , ku1 , mfd1 , mfd1 , cpu , partition ku1 , partition mfd1 , module2 , mainmemory , mem fm1 , fm1 , fm1 , cpu , partition fm1 , module3 , mainmemory , mem adiru1 , adiru1 , adiru1 , cpu , partition adiru1 , module4 , mainmemory , mem ndb , ndb , ndb , cpu , partition ndb","ph req , can access , ph disp , can access , ph pres , afdx access , afdx access , afdx access , afdx access , can keyboard access , can display access , afdx access , ph req1 , ph wpinfo1 , ph eta1 , ph wpid1 , ph disp1 , req1 apex , wpid1 apex , th req1 , th wpid1 , wpinfo1 apex , eta1 apex , disp1 apex , th wpinfo1 , th eta1 , th disp1 , afdx access , ph wpid1 , ph answer1 , ph speed1 , ph query1 , ph wpinfo1 , ph eta1 , wpid1 apex , query1 apex , answer1 apex , wpinfo1 apex , speed1 apex , eta1 apex , th wpid1 , th query1 , th answer1 , th wpinfo1 , th speed1 , th eta1 , afdx access , ph pres1 , ph speed1 , pres1 apex , speed1 apex , th pres1 , th speed1 , afdx access , ph query1 , ph answer1 , query1 apex , answer1 apex , th query1 , th answer1","bus can > keyboard.can access , bus can > display.can access , bus can > module1.can keyboard access , bus can > module1.can display access , afdx network > module1.afdx access , afdx network > module2.afdx access , afdx network > module3.afdx access , afdx network > module4.afdx access , afdx network > sensor rdc.afdx access , afdx network > sw1.afdx access , afdx network > sw2.afdx access , afdx network > sw3.afdx access , keyboard.ph req > module1.ku1.ku1.th req1 , sensor rdc.ph pres > module3.adiru1.adiru1.th pres1 , module1.ku1.ku1.th wpid1 > module2.fm1.fm1.th wpid1 , module1.mfd1.mfd1.th disp1 > display.ph disp , module2.fm1.fm1.th query1 > module4.ndb.ndb.th query1 , module2.fm1.fm1.th wpinfo1 > module1.mfd1.mfd1.th wpinfo1 , module2.fm1.fm1.th eta1 > module1.mfd1.mfd1.th eta1 , module3.adiru1.adiru1.th speed1 > module2.fm1.fm1.th speed1 , module4.ndb.ndb.th answer1 > module2.fm1.fm1.th answer1"
isr ticker system 1,"clock device , driver , isr , ticker display , ticker printer , cpu","isr out , isr out , isr out , isr in , top",clock device.isr out > ticker display.ticker printer.top
main ardupilot ardupilot map 1,"multiplexer , spi5 , spi6 , atm328 , flash memory , sram , eeprom , at45 , flash memory , sram , eeprom , esc , battery , aileron , rc rx , elevator , motor , process ardupilot , prs gps , prs mgmt , prs throttle , prs yaw , ardupilot , multiplexer , spi5 , spi6 , atm328 , flash memory , sram , eeprom , at45 , flash memory , sram , eeprom","sport , gpsport , xy port , z port , bvolt , si bv , pres , ctrl , in1 , in2 , in3 , in4 , in5v , mux in1 , mux in2 , out1 , out2 , out3 , out4 , yled , bled , rbff , vccled , a1 , b1 , a2 , b2 , a3 , b3 , a4 , b4 , y1 , y2 , y3 , y4 , ab b , gb , miso , mosi , sclk , ss , rst , miso , mosi , sclk , ss , rst , pb0 , pb1 , pb2 , pb3 , pb4 , pb5 , pb6 , pb7 , pc0 , pc1 , pc2 , pc3 , pc4 , pc5 , pc6 , pd0 , pd1 , pd2 , pd3 , pd4 , pd5 , pd6 , pd7 , gnd , vcc , aref , avcc , pb0 , pb1 , pb2 , pb3 , pb4 , pb5 , gnd , vcc , pin , outm , vin , vout , ail , ch1 , ch2 , ch3 , ch4 , ch5 , ch6 , ele , pin , gps pos , gps pos , speed , angle , speed , angle , sport , gpsport , xy port , z port , bvolt , si bv , pres , ctrl , in1 , in2 , in3 , in4 , in5v , mux in1 , mux in2 , out1 , out2 , out3 , out4 , yled , bled , rbff , vccled , a1 , b1 , a2 , b2 , a3 , b3 , a4 , b4 , y1 , y2 , y3 , y4 , ab b , gb , miso , mosi , sclk , ss , rst , miso , mosi , sclk , ss , rst , pb0 , pb1 , pb2 , pb3 , pb4 , pb5 , pb6 , pb7 , pc0 , pc1 , pc2 , pc3 , pc4 , pc5 , pc6 , pd0 , pd1 , pd2 , pd3 , pd4 , pd5 , pd6 , pd7 , gnd , vcc , aref , avcc , pb0 , pb1 , pb2 , pb3 , pb4 , pb5 , gnd , vcc","prs gps.gps pos > prs mgmt.gps pos , prs mgmt.speed > prs throttle.speed , prs mgmt.angle > prs yaw.angle , spi5.mosi > atm328.pb3 , spi6.mosi > at45.pb0 , atm328.pb1 > multiplexer.b1 , atm328.pb2 > multiplexer.b2 , atm328.pb4 > spi5.miso , atm328.pb5 > spi5.sclk , atm328.pc6 > spi5.rst , at45.pb0 > multiplexer.ab b , at45.pb1 > atm328.pd4 , at45.pb1 > spi6.miso , at45.pb2 > spi6.sclk , at45.pb3 > atm328.pd5 , sport > atm328.pc6 , sport > atm328.pd0 , gpsport > atm328.pd1 , xy port > atm328.pc0 , xy port > atm328.pc1 , z port > atm328.pc2 , bvolt > atm328.pc5 , si bv > atm328.pc4 , pres > atm328.pc3 , ctrl > at45.pb2 , ctrl > spi6.sclk , in1 > atm328.pd2 , in1 > multiplexer.a1 , in2 > atm328.pd3 , in2 > multiplexer.a2 , in3 > atm328.pd2 , in3 > multiplexer.a3 , in4 > multiplexer.a4 , in5v > atm328.pd7 , mux in1 > multiplexer.b4 , mux in2 > multiplexer.b3 , rbff > atm328.pd6 , multiplexer.y1 > out1 , multiplexer.y2 > out2 , multiplexer.y3 > out3 , multiplexer.y4 > out4 , spi5.mosi > atm328.pb3 , spi6.mosi > at45.pb0 , atm328.pb1 > multiplexer.b1 , atm328.pb2 > multiplexer.b2 , atm328.pb4 > spi5.miso , atm328.pb5 > yled , atm328.pb5 > bled , atm328.pb5 > spi5.sclk , atm328.pc6 > sport , atm328.pc6 > spi5.rst , atm328.pd0 > gpsport , atm328.pd1 > sport , atm328.pd7 > gpsport , at45.pb0 > multiplexer.ab b , at45.pb1 > atm328.pd4 , at45.pb1 > spi6.miso , at45.pb2 > spi6.sclk , at45.pb3 > atm328.pd5 , esc.outm > motor.pin , battery.vout > esc.vin , rc rx.ch1 > ardupilot.atm328.pd2 , rc rx.ch1 > ardupilot.multiplexer.a1 , rc rx.ch2 > ardupilot.atm328.pd3 , rc rx.ch2 > ardupilot.multiplexer.a2 , rc rx.ch3 > ardupilot.atm328.pd2 , rc rx.ch3 > ardupilot.multiplexer.a3 , rc rx.ch5 > ardupilot.at45.pb2 , rc rx.ch5 > ardupilot.spi6.sclk , ardupilot.multiplexer.y1 > aileron.ail , ardupilot.multiplexer.y2 > elevator.ele , ardupilot.multiplexer.y3 > esc.pin"
main ardupilot ardupilot shield 1,"gps , xyz , shield","vin , tx , rx , gnd , pps , x , y , pin1 , pin2 , pin3 , pin4 , out xy , out z , v3 3 , v5 , ada gps , xy in , z in","gps.pps > shield.ada gps , xyz.out xy > shield.xy in , xyz.out z > shield.z in"
mars pathfinder sys mars pathfinder correct 1,"vme , bus 1553 , radio , coupler , camera , altimeter , accelerometer , meterological , sun sensors , star analyser , thrusters , valves , memories , prs psc , data rw , bus scheduling , data distribution , control task , radio task , camera task , mesure task , meteo task , rs 6000","emission data , reception data , req access vme , camera control , emission data , control data , reception data , images data , measured data , req access 1553 , camera control , images data , req access vme , measured data , req access 1553 , x , y , z , measured data , req access 1553 , measured data , req access 1553 , measured data , req access 1553 , measured data , req access 1553 , control data , req access 1553 , control data , req access 1553 , req access vme , camera control , emission data , control data , reception data , images data , measured data , control data , measured data , req data rw , req data rw , reception data , emission data , images data , camera control , req data rw , req data rw , req access vme","data rw > data distribution.req data rw , data rw > control task.req data rw , data rw > mesure task.req data rw , data rw > meteo task.req data rw , data distribution.req data rw > data rw , control task.req data rw > data rw , mesure task.req data rw > data rw , meteo task.req data rw > data rw , vme > camera.req access vme , vme > radio.req access vme , vme > memories.req access vme , vme > rs 6000.req access vme , bus 1553 > valves.req access 1553 , bus 1553 > thrusters.req access 1553 , bus 1553 > sun sensors.req access 1553 , bus 1553 > star analyser.req access 1553 , bus 1553 > meterological.req access 1553 , bus 1553 > coupler.req access 1553 , radio.reception data > prs psc.radio task.reception data , radio.req access vme > vme , coupler.req access 1553 > bus 1553 , camera.images data > prs psc.camera task.images data , camera.req access vme > vme , altimeter.measured data > prs psc.data distribution.measured data , accelerometer.measured data > prs psc.data distribution.measured data , meterological.measured data > prs psc.data distribution.measured data , meterological.req access 1553 > bus 1553 , sun sensors.measured data > prs psc.data distribution.measured data , sun sensors.req access 1553 > bus 1553 , star analyser.measured data > prs psc.data distribution.measured data , star analyser.req access 1553 > bus 1553 , thrusters.req access 1553 > bus 1553 , valves.req access 1553 > bus 1553 , memories.req access vme > vme , prs psc.bus scheduling.control data > valves.control data , prs psc.bus scheduling.control data > thrusters.control data , prs psc.radio task.emission data > radio.emission data , prs psc.camera task.camera control > camera.camera control , rs 6000.req access vme > vme"
mars pathfinder sys mars pathfinder 1,"vme , bus 1553 , radio , coupler , camera , altimeter , accelerometer , meterological , sun sensors , star analyser , thrusters , valves , memories , prs psc , data rw , bus scheduling , data distribution , control task , radio task , camera task , mesure task , meteo task , rs 6000","emission data , reception data , req access vme , camera control , emission data , control data , reception data , images data , measured data , req access 1553 , camera control , images data , req access vme , measured data , req access 1553 , x , y , z , measured data , req access 1553 , measured data , req access 1553 , measured data , req access 1553 , measured data , req access 1553 , control data , req access 1553 , control data , req access 1553 , req access vme , camera control , emission data , control data , reception data , images data , measured data , control data , measured data , req data rw , req data rw , reception data , emission data , images data , camera control , req data rw , req data rw , req access vme","data rw > data distribution.req data rw , data rw > control task.req data rw , data rw > mesure task.req data rw , data rw > meteo task.req data rw , data distribution.req data rw > data rw , control task.req data rw > data rw , mesure task.req data rw > data rw , meteo task.req data rw > data rw , vme > camera.req access vme , vme > radio.req access vme , vme > memories.req access vme , vme > rs 6000.req access vme , bus 1553 > valves.req access 1553 , bus 1553 > thrusters.req access 1553 , bus 1553 > sun sensors.req access 1553 , bus 1553 > star analyser.req access 1553 , bus 1553 > meterological.req access 1553 , bus 1553 > coupler.req access 1553 , radio.reception data > prs psc.radio task.reception data , radio.req access vme > vme , coupler.req access 1553 > bus 1553 , camera.images data > prs psc.camera task.images data , camera.req access vme > vme , altimeter.measured data > prs psc.data distribution.measured data , accelerometer.measured data > prs psc.data distribution.measured data , meterological.measured data > prs psc.data distribution.measured data , meterological.req access 1553 > bus 1553 , sun sensors.measured data > prs psc.data distribution.measured data , sun sensors.req access 1553 > bus 1553 , star analyser.measured data > prs psc.data distribution.measured data , star analyser.req access 1553 > bus 1553 , thrusters.req access 1553 > bus 1553 , valves.req access 1553 > bus 1553 , memories.req access vme > vme , prs psc.bus scheduling.control data > valves.control data , prs psc.bus scheduling.control data > thrusters.control data , prs psc.radio task.emission data > radio.emission data , prs psc.camera task.camera control > camera.camera control , rs 6000.req access vme > vme"
minepump ba minepump 1,"software , waterlevelmonitoring thread , methanemonitoring thread , pumpctrl thread , wateralarm thread , hardware","wateralarm , methanelevel , wateralarm , methanelevel , waterlevel , wateralarm","waterlevelmonitoring thread.wateralarm > pumpctrl thread.waterlevel , methanemonitoring thread.methanelevel > pumpctrl thread.methanelevel , pumpctrl thread.wateralarm > wateralarm thread.wateralarm"
