Model,Cluster,Component,Feature
example ipca context open pca context,43,patient nurse network cable supervisor maintenance controller pca pump serv cpal mediator gpio security security process controller algorithm signer mac verifier mac verifier encryptor decryptor key gen random key store communication maintenance processor nic network controller nit firewall log t e gui control panel gui kernel func power sensor actuator button reservoir pump upstream downstream safety led fault log error detect alarm process alarm thr flow rate operation scanner operation process drug library event logger operation thread bos rate controller prescription checker max drug watcher patient bolus checker board maintenance nic timer ebc hmi power bus power internal maintenance bus clock controller perpheral power bus bus button drug reservoir upstream monitor pump downstream monitor tube connector cpu ram rom dev dev dev,infused drug button press sound light eye finger press device console hospital jack connector serial bus usb bus lvds bus hdmi bus vga bus external network jack sense ui touch barcode signal patient button press act ui image ui sound drug outlet barcode illumination fill reservoir alarm alarm warning info user comm maintenance fault log event log security log load drug library get fault log get event log get security log security provisioning crypto control network jack alarm inactivation ui image ui sound ui touch safety operation malfunction halt safety operation malfunction halt i0 i1 i2 i3 i4 i5 i6 i7 i8 i9 o0 o1 o2 o3 o4 o5 o6 o7 o8 o9 crypto control crypto control crypto control security interface key label algorithm tag source text nonce nonce result text okay sign message mac message verify signature verify mac generate key generate random number encrypt decrypt operation failed bad format security interface key label algorithm tag source text nonce nonce result text okay sign message mac message verify signature verify mac generate key generate random number encrypt decrypt operation failed bad format algorithm source text nonce key label result text fetch key retreived key sign message operation failed bad format algorithm source text nonce key label result text fetch key retreived key mac message operation failed bad format algorithm source text tag nonce key label okay fetch key retreived key verify signature operation failed bad format algorithm source text tag nonce key label okay fetch key retreived key verify mac operation failed bad format algorithm source text nonce key label result text fetch key retreived key encrypt operation failed bad format algorithm source text key label result text fetch key retreived key decrypt operation failed bad format algorithm requested key label key label store key generate key operation failed result text generate random number operation failed fetch key retreived key store key comm alarm alarm warning info maintenance fault log event log security log load drug library get fault log get event log get security log security provisioning network jack maintenance fault log event log security log load drug library get fault log get event log get security log security provisioning jack nic interface network operation alarm alarm warning info nic alarm alarm warning info operation nic syslog timesync dns net syslog timesync dns net syslog tcp synch udp dns udp net tcp nic syslog tcp synch udp dns udp tcp nic user alarm alarm warning info alarm inactivation ui image ui sound ui touch cp int ui image ui sound ui touch operation alarm alarm warning info cp int alarm inactivation alarm alarm warning info user comm maintenance fault log event log security log load drug library get fault log get event log get security log security provisioning crypto control alarm inactivation sense ui touch barcode signal patient button press act ui image ui sound drug outlet barcode illumination fill reservoir network power supply bus peripheral power mtm bus safety operation gpio power supply mtm bus halt sense ui touch barcode signal patient button press act ui image ui sound drug outlet barcode illumination fill reservoir safety upstream flow rate downstream flow rate door open empty reservoir low reservoir bubble pump hot downstream occlusion upstream occlusion halt operation infusion flow rate door open door closed request bolus scan scan done button press request bolus door open low reservoir empty reservoir door closed rate halt pump hot upstream flow rate upstream occlusion downstream flow rate downstream occlusion bubble detected alarm alarm warning info peripheral operation power maintenance fault log event log security log load drug library get fault log get event log get security log security provisioning bus peripheral malfunction alarm inactivation halt illuminate light log log hard fault log soft fault get log illuminate hardware fault halt bus hw error detection infusion flow rate pumping mode halt pump kvo rate priming failure drug library hard limit violated max drug per hour security fault cp reset alarm post fail post done hw detected failure peripheral malfunction alarm inactivation peripheral upstream flow rate downstream flow rate door open empty reservoir low reservoir bubble pump hot downstream occlusion upstream occlusion halt operation infusion flow rate pumping mode halt pump kvo rate priming failure drug library hard limit violated max drug per hour security fault cp reset alarm post fail post done hw detected failure power low battery warning voltage oor defective btty send alarm info alarm warning report hazard alarm inactivation peripheral malfunction door open alarm warning log fault stop pumping completely pump kvo rate max dose warning hard limit violation empty re low re pump hpt upstream occlusion downstream occlusion bubble priming failure cp reset alarm drug library defective btty low battery warning voltage oor basal overinfusion bolus overinfusion square bolus overinfusion basal underinfusion bolus underinfusion square bolus underinfusion security fault infusion flow rate upstream flow rate downstream flow rate pumping mode basal overinfusion bolus overinfusion square bolus overinfusion basal underinfusion bolus underinfusion square bolus underinfusion safety infusion flow rate pumping mode halt pump kvo rate priming failure drug library hard limit violated max drug per hour security fault cp reset alarm post fail post done hw detected failure peripheral infusion flow rate door open door closed request bolus scan scan done power using battery power remaining battery time low battery warning user status clinician bolus duration display message sound type alarm inactivation hard limit violated pause infusion resume infusion clinician request bolus stop button pressed start button pressed confirm soft limit exception reject soft limit exception soft limit warning turn patient request soon patient request soon max drug per hour maintenance fault log security log get fault log get event log get security log security provisioning event log load drug library comm alarm inactivation pump kvo rate halt crypto control clinician name patient name prescription scan data authenticate clinician authenticate patient authenticate prescription authentication fail authentication pas security fault provisioning alarm info alarm warning scan scan done scan data infusion flow rate door open prescription pumping mode alarm inactivation clinician bolus duration load drug library alarm warning event log status display message sound type patient button request drug library stop pumping completely pump kvo rate hw detected failure hard limit violated soft limit warning get event log pause infusion resume infusion clinician request bolus confirm soft limit exception reject soft limit exception stop button pressed start button pressed max drug per hour patient request soon patient request soon authenticate clinician authenticate patient authenticate prescription authentication fail authentication pas scan scan done post done post fail door closed turn priming failure load drug library get drug record drug record drug found log event event log get event log infusion flow rate door open prescription pumping mode alarm warning cp bolus duration status display message sound type get drug record drug record log event hw detected failure stop pumping completely pump kvo rate hard limit violated patient button request patient request soon patient request soon pause infusion resume infusion cp clinician request bolus stop button pressed start button pressed confirm soft limit exception reject soft limit exception soft limit warning max drug per hour drug found scan scan done authenticate clinician authenticate patient authenticate prescription authentication fail authentication pas post done post fail door closed turn priming failure network stop pump display message sound type log event post done post fail stop button pressed start button pressed scan scan done authenticate clinician authenticate patient authenticate prescription authentication fail authentication pas check prescription drug library hard limit violated reject soft limit exception confirm soft limit exception prescription okay door closed begin priming end priming priming failure begin infusion halt infusion turn infusion flow rate pumping mode square bolus rate patient bolus rate basal rate vtbi door open status alarm warning cp bolus duration begin infusion begin priming end priming halt infusion hw detected failure stop pumping completely pump kvo rate patient request soon pause infusion resume infusion cp clinician request bolus max drug per hour network stop pump prescription vtbi square bolus rate patient bolus rate basal rate minimum time bolus max drug per hour get drug record drug record check prescription prescription okay drug library confirm soft limit exception reject soft limit exception soft limit warning hard limit violated infusion flow rate max drug per hour near max drug per hour max drug per hour minimum time bolus patient button request patient request soon patient request soon stop connector serial bus usb bus lvds bus hdmi bus vga bus ethernet maintenance bus sense ui touch barcode signal patient button press act ui image ui sound drug outlet barcode illumination fill reservoir maintenance bus provision bus bus power supply mp clock mtm bus bus ethernet power supply nic clock mtm bus bus peripheral power bus serial bus usb bus lvds bus power supply bus power supply dc clock sc clock mtm bus hdmi bus vga bus ui image ui sound ui touch power supply bus peripheral power mtm bus cpu clock nic clock mp clock dc clock sc clock clk pwr gpio power gpio power drug outlet fill reservoir gpio power drug outlet drug intake gpio power drug outlet drug intake gpio power drug outlet drug intake drug outlet drug intake bus mtm bus gpio cpu clock power supply bus power supply mtm bus bus power supply mtm bus network network network
example ipca control panel control panel,9,display audible ui process ui thread,bus ui image ui sound ui touch alarm inactivation remaining battery time using battery power prescription clinician name patient name cp reset alarm max drug per hour hard limit violated soft limit warning low battery warning confirm soft limit exception reject soft limit exception stop button pressed start button pressed turn clinician request bolus pause infusion resume infusion patient request soon patient request soon alarm warning status display message sound type bolus duration ui image image ui touch finger location video bus power supply mtm bus bus audio signal sound bus image audio signal alarm inactivation remaining battery time using battery power prescription clinician name patient name finger location alarm warning status display message sound type bolus duration cp reset alarm low battery warning hard limit violated soft limit warning confirm soft limit exception reject soft limit exception stop button pressed start button pressed clinician request bolus pause infusion resume infusion turn patient request soon patient request soon image audio signal alarm inactivation remaining battery time using battery power prescription clinician name patient name finger location alarm warning status display message sound type bolus duration cp reset alarm low battery warning hard limit violated soft limit warning confirm soft limit exception reject soft limit exception stop button pressed start button pressed clinician request bolus pause infusion resume infusion turn patient request soon patient request soon
example ipca hardware pcb ipca,19,maintenance nic timer ebc hmi power bus power internal maintenance bus clock controller perpheral power bus bus button drug reservoir upstream monitor pump downstream monitor tube connector cpu ram rom,connector serial bus usb bus lvds bus hdmi bus vga bus ethernet maintenance bus sense ui touch barcode signal patient button press act ui image ui sound drug outlet barcode illumination fill reservoir maintenance bus provision bus bus power supply mp clock mtm bus bus ethernet power supply nic clock mtm bus bus peripheral power bus serial bus usb bus lvds bus power supply bus power supply dc clock sc clock mtm bus hdmi bus vga bus ui image ui sound ui touch power supply bus peripheral power mtm bus cpu clock nic clock mp clock dc clock sc clock clk pwr gpio power gpio power drug outlet fill reservoir gpio power drug outlet drug intake gpio power drug outlet drug intake gpio power drug outlet drug intake drug outlet drug intake bus mtm bus gpio cpu clock power supply bus power supply mtm bus bus power supply mtm bus
example ipca operation ipca operation,43,scanner operation process drug library event logger operation thread bos rate controller prescription checker max drug watcher patient bolus checker,safety infusion flow rate pumping mode halt pump kvo rate priming failure drug library hard limit violated max drug per hour security fault cp reset alarm post fail post done hw detected failure peripheral infusion flow rate door open door closed request bolus scan scan done power using battery power remaining battery time low battery warning user status clinician bolus duration display message sound type alarm inactivation hard limit violated pause infusion resume infusion clinician request bolus stop button pressed start button pressed confirm soft limit exception reject soft limit exception soft limit warning turn patient request soon patient request soon max drug per hour maintenance fault log security log get fault log get event log get security log security provisioning event log load drug library comm alarm inactivation pump kvo rate halt crypto control clinician name patient name prescription scan data authenticate clinician authenticate patient authenticate prescription authentication fail authentication pas security fault provisioning alarm info alarm warning scan scan done scan data infusion flow rate door open prescription pumping mode alarm inactivation clinician bolus duration load drug library alarm warning event log status display message sound type patient button request drug library stop pumping completely pump kvo rate hw detected failure hard limit violated soft limit warning get event log pause infusion resume infusion clinician request bolus confirm soft limit exception reject soft limit exception stop button pressed start button pressed max drug per hour patient request soon patient request soon authenticate clinician authenticate patient authenticate prescription authentication fail authentication pas scan scan done post done post fail door closed turn priming failure load drug library get drug record drug record drug found log event event log get event log infusion flow rate door open prescription pumping mode alarm warning cp bolus duration status display message sound type get drug record drug record log event hw detected failure stop pumping completely pump kvo rate hard limit violated patient button request patient request soon patient request soon pause infusion resume infusion cp clinician request bolus stop button pressed start button pressed confirm soft limit exception reject soft limit exception soft limit warning max drug per hour drug found scan scan done authenticate clinician authenticate patient authenticate prescription authentication fail authentication pas post done post fail door closed turn priming failure network stop pump display message sound type log event post done post fail stop button pressed start button pressed scan scan done authenticate clinician authenticate patient authenticate prescription authentication fail authentication pas check prescription drug library hard limit violated reject soft limit exception confirm soft limit exception prescription okay door closed begin priming end priming priming failure begin infusion halt infusion turn infusion flow rate pumping mode square bolus rate patient bolus rate basal rate vtbi door open status alarm warning cp bolus duration begin infusion begin priming end priming halt infusion hw detected failure stop pumping completely pump kvo rate patient request soon pause infusion resume infusion cp clinician request bolus max drug per hour network stop pump prescription vtbi square bolus rate patient bolus rate basal rate minimum time bolus max drug per hour get drug record drug record check prescription prescription okay drug library confirm soft limit exception reject soft limit exception soft limit warning hard limit violated infusion flow rate max drug per hour near max drug per hour max drug per hour minimum time bolus patient button request patient request soon patient request soon stop
example ipca peripheral ipca fluid,43,button reservoir pump upstream downstream,gpio power supply mtm bus halt sense ui touch barcode signal patient button press act ui image ui sound drug outlet barcode illumination fill reservoir safety upstream flow rate downstream flow rate door open empty reservoir low reservoir bubble pump hot downstream occlusion upstream occlusion halt operation infusion flow rate door open door closed request bolus scan scan done button press request bolus door open low reservoir empty reservoir door closed rate halt pump hot upstream flow rate upstream occlusion downstream flow rate downstream occlusion bubble detected
example ipca power power,9,pwr btty vcc,p bus using battery power remaining battery time low battery warning defective btty voltage oor battery voltage battery current power voltage using battery power remaining battery time low battery warning defective battery voltage oor p bus battery voltage battery current power voltage
example mc missioncomputer,41,bus hw radio hw uart hw mem hw proc sw radio flt fpln flt fpln valid fpln wpm uart proc hw,uarta rfa recv map position status waypoint send status recv map recv map send status send status mca rfa waypoint waypoint position status position status mca uarta mca recv map send status waypoint position status recv map send status send status recv map filter filter flight plan flight plan flight plan flight plan flight plan recv map position status flight plan waypoint position status position status waypoint position status waypoint mca
example mc missioncomputer,41,bus hw radio hw fc uart hw mem hw proc sw fc uart radio uxas taskmanagerservice automationrequestvalidatorservice routeplannervisibilityservice routeaggregatorservice assignmenttreebranchboundservice planbuilderservice waypointplanmanagerservice cmasilinesearchtaskservice sendmessagesservicememory sendmessagesserviceinit proc hw,fc uart rfa radio recv radio send fc uart recv fc uart send recv data recv data send data send data mca rfa recv data recv data send data send data mca uart mca uart recv uart send radio recv radio send recv data missioncommand send data airvehiclestate recv data send data automationresponse airvehiclestate automationrequest operatingregion linesearchtask automationrequest airvehiclestate operatingregion linesearchtask missioncommand automationresponse airvehicleconfiguration airvehiclestate linesearchtask createnewservice automationrequest uniqueautomationresponse airvehicleconfiguration airvehiclestate operatingregion keepinzone keepoutzone automationresponse uniqueautomationrequest keepoutzone keepinzone operatingregion airvehicleconfiguration routeplanrequest task routeplanrequest ragg airvehiclestate routeplanresponse airvehiclestate airvehicleconfiguration uniqueautomationresquest taskplanoptions routeplanresponse routeplanrequest assignmentcostmatrix uniqueautomationrequest taskplanoptions assignmentcostmatrix taskassignmentsummary airvehiclestate uniqueautomationrequest taskassignmentsummary taskimplementationresponse taskimplementationrequest uniqueautomationresponse automationresponse airvehiclestate missioncommand airvehiclestate airvehicleconfiguration uniqueautomationrequest uniqueautomationresponse routeplanresponse taskimplementationrequest routeplanrequest taskplanoptions taskimplementationresponse createnewservice airvehicleconfiguration keepinzone keepoutzone airvehiclestate missioncommand mca
example mc missioncomputer,41,bus hw radio hw fc uart hw mem hw proc hw proc sw fc uart uartdriver radio radiodriver attestation flyzones flyzonesdatabase uxas uxas wpm waypointplanmanagerservice case attestationmanager gate case attestationgate flt areq case filter areq flt case filter flt lst case filter lst mon req case monitor req flt are case filter are mon geo case monitor geo,fc uart rfa radio recv radio send fc uart recv fc uart send recv data recv data send data send data mca rfa recv data recv data send data send data mca uart mca mca uart recv uart send radio recv radio send recv data missioncommand send data airvehiclestate recv data missioncommand send data airvehiclestate request response recv data send data automationrequest operatingregion linesearchtask recv data send data automationresponse airvehiclestate automationrequest operatingregion linesearchtask request response keep zone keep zone keep zone keep zone automationrequest airvehiclestate operatingregion linesearchtask automationresponse automationrequest airvehiclestate operatingregion linesearchtask automationresponse automationresponse airvehiclestate missioncommand returnhome automationresponse airvehiclestate missioncommand returnhome trusted id attestation request attestation response trusted id attestation request attestation response trusted id automationrequest automationrequest operatingregion operatingregion linesearchtask linesearchtask trusted id automationrequest automationrequest operatingregion operatingregion linesearchtask linesearchtask filter filter filter filter filter filter filter filter filter filter filter filter observed reference observed reference filter filter filter filter keep zone keep zone observed output alert keep zone keep zone observed output alert
example security security cp,44,security process controller algorithm signer mac verifier mac verifier encryptor decryptor key gen random key store security processor,crypto control crypto control crypto control security interface key label algorithm tag source text nonce nonce result text okay sign message mac message verify signature verify mac generate key generate random number encrypt decrypt operation failed bad format security interface key label algorithm tag source text nonce nonce result text okay sign message mac message verify signature verify mac generate key generate random number encrypt decrypt operation failed bad format algorithm source text nonce key label result text fetch key retreived key sign message operation failed bad format algorithm source text nonce key label result text fetch key retreived key mac message operation failed bad format algorithm source text tag nonce key label okay fetch key retreived key verify signature operation failed bad format algorithm source text tag nonce key label okay fetch key retreived key verify mac operation failed bad format algorithm source text nonce key label result text fetch key retreived key encrypt operation failed bad format algorithm source text key label result text fetch key retreived key decrypt operation failed bad format algorithm requested key label key label store key generate key operation failed result text generate random number operation failed fetch key retreived key store key
example security security,44,security process controller algorithm signer mac verifier mac verifier encryptor decryptor key gen random key store,crypto control crypto control crypto control security interface key label algorithm tag source text nonce nonce result text okay sign message mac message verify signature verify mac generate key generate random number encrypt decrypt operation failed bad format security interface key label algorithm tag source text nonce nonce result text okay sign message mac message verify signature verify mac generate key generate random number encrypt decrypt operation failed bad format algorithm source text nonce key label result text fetch key retreived key sign message operation failed bad format algorithm source text nonce key label result text fetch key retreived key mac message operation failed bad format algorithm source text tag nonce key label okay fetch key retreived key verify signature operation failed bad format algorithm source text tag nonce key label okay fetch key retreived key verify mac operation failed bad format algorithm source text nonce key label result text fetch key retreived key encrypt operation failed bad format algorithm source text key label result text fetch key retreived key decrypt operation failed bad format algorithm requested key label key label store key generate key operation failed result text generate random number operation failed fetch key retreived key store key
example separation vp xen,27,xenbr xenbr xenbr xenbr xenbr xenbr dom control vm cpal vm firewall vm operation vm safety vm,eth eth eth xenbr eth eth eth xenbr eth eth eth xenbr eth eth eth xenbr eth eth eth xenbr
example sw sw,44,fc uart uartdriver radio radiodriver attestation flyzones flyzonesdatabase uxas uxas wpm waypointplanmanagerservice case attestationmanager gate case attestationgate flt areq case filter areq flt case filter flt lst case filter lst mon req case monitor req flt are case filter are mon geo case monitor geo,uart recv uart send radio recv radio send recv data missioncommand send data airvehiclestate recv data missioncommand send data airvehiclestate request response recv data send data automationrequest operatingregion linesearchtask recv data send data automationresponse airvehiclestate automationrequest operatingregion linesearchtask request response keep zone keep zone keep zone keep zone automationrequest airvehiclestate operatingregion linesearchtask automationresponse automationrequest airvehiclestate operatingregion linesearchtask automationresponse automationresponse airvehiclestate missioncommand returnhome automationresponse airvehiclestate missioncommand returnhome trusted id attestation request attestation response trusted id attestation request attestation response trusted id automationrequest automationrequest operatingregion operatingregion linesearchtask linesearchtask trusted id automationrequest automationrequest operatingregion operatingregion linesearchtask linesearchtask filter filter filter filter filter filter filter filter filter filter filter filter observed reference observed reference filter filter filter filter keep zone keep zone observed output alert keep zone keep zone observed output alert
example uas uas,41,rfb gnd uav sbus mcmp bus hw radio hw uart hw mem hw proc sw radio flt fpln flt fpln valid fpln wpm uart proc hw fctl,send map recv status rfa rfa recv map send status uarta rfa recv map position status waypoint send status recv map recv map send status send status mca rfa waypoint waypoint position status position status mca uarta mca recv map send status waypoint position status recv map send status send status recv map filter filter flight plan flight plan flight plan flight plan flight plan recv map position status flight plan waypoint position status position status waypoint position status waypoint mca uarta waypoint position status
example uav uav,41,sbus mcmp bus hw radio hw uart hw mem hw proc sw radio flt fpln flt fpln valid fpln wpm uart proc hw fctl,rfa recv map send status uarta rfa recv map position status waypoint send status recv map recv map send status send status mca rfa waypoint waypoint position status position status mca uarta mca recv map send status waypoint position status recv map send status send status recv map filter filter flight plan flight plan flight plan flight plan flight plan recv map position status flight plan waypoint position status position status waypoint position status waypoint mca uarta waypoint position status
gumbo tempcontrolsoftwaresystem tempcontrolsoftwaresystem isocontrol,44,csproc tempsensor fan tempcontrol oiproc operatorinterface,currenttemp setpoint tempchanged currenttemp tempchanged fancmd fanack currenttemp fanack setpoint fancmd tempchanged currenttemp setpoint tempchanged currenttemp setpoint tempchanged
gumbo tempcontrolsoftwaresystem tempcontrolsoftwaresystem,44,tcproc tempsensor fan tempcontrol operatorinterface,currenttemp tempchanged fancmd fanack currenttemp fanack setpoint fancmd tempchanged currenttemp setpoint tempchanged
mdl gear digital part dp,5,mbdp dp mem dp pit gmt adt dp proc,general ev open ev close ev rectract ev extend ev maneuvring locked error handle switch value door closed hydrolic presurized door openned gear extended gear retracted gear shock absorb mbus general ev open ev close ev rectract ev extend ev maneuvring locked error handle switch value door closed hydrolic presurized door openned gear extended gear retracted gear shock absorb maneuvring locked error door closed door openned gear extended gear retracted gear shock absorb general ev open ev close ev rectract ev extend ev switch value handle hydrolic presurized door closed door openned gear extended gear retracted gear shock absorb error general ev maneuvring gear extended gear retracted door openned door closed mbus
map apps pca shutoff pca shutoff imp,42,pulseox capnograph pcapump applogic updatespothread updaterespiratoryratethread pumpcontrolthread capnographerrorthread pulseoxerrorthread appdisplay updatespothread updateetcothread updaterespiratoryratethread pumpstatusthread,spo deviceerror etco respiratoryrate deviceerror pumpnormally etco spo respiratoryrate commandpumpnormal capnographerror pulseoxerror spo respiratoryrate pumpnormal capnographerror pulseoxerror spo etco respiratoryrate commandpumpnormal show spo etco respiratoryrate statusnormal
