Model,Cluster,Component,Feature
aadl-car-example_CarSystem_MyCar_impl_1,40,"ui, ud, wrs, bp, act, cc, computeThrottleSettingProcess, compute_throttle_setting, scanCCInputProcess, scan_cc_ports, computeVelocityProcess, compute_velocity, speedControlLoopProcess, speed_control_loop, cc_mcu, CANbus, ram, cpu","ui_cc, ud_cc, wrs_cc, bp_cc, act_cc, cc_ui, cc_ud, cc_wrs, cc_bp, cc_ca, cc_desired_speed, cc_throttle_setting, desired_speed, throttle_setting, cc_wrs, cc_bp, cc_run, brake_status, wheel_pulse, run_cc, cc_wrs, cc_inst_velocity, wheel_pulse, inst_velocity, cc_run_cc, cc_inst_velocity, cc_desired_speed, run_cc, inst_velocity, desired_speed, CanBA, PCIba, CanBA, PCIBA"
aadl-car-example_HardwarePlatform_cc_mcu_dual_1,19,"can_bus, pci_bus, ram, rom, power_pc","CanBA, PCIba, PCIba, CanBA, PCIBA"
aadl-car-example_HardwarePlatform_cc_mcu_impl_1,19,"CANbus, ram, cpu","CanBA, PCIba, CanBA, PCIBA"
aadl-car-example_HardwarePlatform_cc_mcu_single_1,19,"can_bus, pci_bus, ram, rom, power_pc","CanBA, PCIba, PCIba, CanBA, PCIBA"
aadl-car-example_SoftwareApps_CruiseControl_impl_1,5,"computeThrottleSettingProcess, compute_throttle_setting, scanCCInputProcess, scan_cc_ports, computeVelocityProcess, compute_velocity, speedControlLoopProcess, speed_control_loop","cc_ui, cc_ud, cc_wrs, cc_bp, cc_ca, cc_desired_speed, cc_throttle_setting, desired_speed, throttle_setting, cc_wrs, cc_bp, cc_run, brake_status, wheel_pulse, run_cc, cc_wrs, cc_inst_velocity, wheel_pulse, inst_velocity, cc_run_cc, cc_inst_velocity, cc_desired_speed, run_cc, inst_velocity, desired_speed"
AADL-Designer_CruiseControl_Cruisecontrollaws_Model_1,3,"P_Cruisecontrol_Process, T_Cruise1, T_Cruise2","Cruiseactive, Refspd_Mph, Autospd_Mph, Throttlepos_In, Cruiseactive, Refspd_Mph, Autospd_Mph, Throttlepos_In, Cruiseactive, Refspd_Mph, Autospd_Mph, Filautospd_Mph, Filrefspd_Mph, Filautospd_Mph, Filrefspd_Mph, Throttlepos_In"
AADL-Designer_CruiseControl_Cruisecontrol_Generic_1,5,"Lan, Hci_Processor, Ccl_Processor, S_Hci, P_Hci_Process, T_Buttonpanel, T_Drivermodelogic, T_Refspd, T_Instrumentpanel, S_Cruisecontrollaws, P_Cruisecontrol_Process, T_Cruise1, T_Cruise2","Breakpedalpressed, Clutchpedalpressed, Autospd_Mph, Engspd_Rpm, Throttlepos_In, B_Lan, B_Lan, Breakpedalpressed, Clutchpedalpressed, Autospd_Mph, Engspd_Rpm, Cruiseactive, Refspd_Mph, Breakpedalpressed, Clutchpedalpressed, Autospd_Mph, Engspd_Rpm, Cruiseactive, Refspd_Mph, Activate, Cancel, Onnotoff, Incspeed, Decspd, Breakpedalpressed, Clutchpedalpressed, Activate, Cancel, Onnotoff, Cruiseactive, Activate, Cruiseactive, Incspeed, Decspd, Refspd_Mph, Autospd_Mph, Engspd_Rpm, Refspd_Mph, Cruiseactive, Refspd_Mph, Autospd_Mph, Throttlepos_In, Cruiseactive, Refspd_Mph, Autospd_Mph, Throttlepos_In, Cruiseactive, Refspd_Mph, Autospd_Mph, Filautospd_Mph, Filrefspd_Mph, Filautospd_Mph, Filrefspd_Mph, Throttlepos_In"
AADL-Designer_CruiseControl_Hci_Model_1,5,"P_Hci_Process, T_Buttonpanel, T_Drivermodelogic, T_Refspd, T_Instrumentpanel","Breakpedalpressed, Clutchpedalpressed, Autospd_Mph, Engspd_Rpm, Cruiseactive, Refspd_Mph, Breakpedalpressed, Clutchpedalpressed, Autospd_Mph, Engspd_Rpm, Cruiseactive, Refspd_Mph, Activate, Cancel, Onnotoff, Incspeed, Decspd, Breakpedalpressed, Clutchpedalpressed, Activate, Cancel, Onnotoff, Cruiseactive, Activate, Cruiseactive, Incspeed, Decspd, Refspd_Mph, Autospd_Mph, Engspd_Rpm, Refspd_Mph"
aadl-examples_FC_FlightController_Impl_1,41,GPS,"UART, uart_recv, uart_send, position"
aadl-examples_FC_FlightController_Impl_2,41,GPS,"UART, uart_recv, uart_send, position"
aadl-examples_GS_GroundStation_Impl_1,41,"BUS_HW, RADIO_HW, MEM_HW, PROC_SW, RadioDriver, SendMessagesServiceGS, PROC_HW","RFA, radio_recv, radio_send, recv_data_in, recv_data_out, send_data_in, send_data_out, GSA, RFA, GSA, recv_data, send_data, recv_data, send_data, AutomationRequest, OperatingRegion, LineSearchTask, OperatingRegion, LineSearchTask, AutomationRequest, GSA"
aadl-examples_GS_GroundStation_Impl_2,41,"BUS_HW, RADIO_HW, MEM_HW, PROC_SW, RadioDriver, SendMessagesServiceGS, PROC_HW","RFA, radio_recv, radio_send, recv_data_in, recv_data_out, send_data_in, send_data_out, GSA, RFA, GSA, recv_data, send_data, recv_data, send_data, AutomationRequest, OperatingRegion, LineSearchTask, OperatingRegion, LineSearchTask, AutomationRequest, GSA"
aadl-examples_Hardware_PCB_clock_1,19,"main_bus, maintenance, nic, timers, ebc, cpu, ram, rom, hmi, power_bus, power, internal_maintenance_bus, clock_controller","sense, ui_touch, act, ui_image, ui_sound, connectors, serial_bus, usb_bus, lvds_bus, hdmi_bus, vga_bus, ethernet, maintenance_bus, maintenance_bus, provision_bus, system_bus, power_supply, mp_clock, mtm_bus, system_bus, ethernet, power_supply, nic_clock, mtm_bus, system_bus, peripheral_power, system_bus, serial_bus, usb_bus, lvds_bus, power_supply, system_bus, mtm_bus, gpio, cpu_clock, power_supply, system_bus, power_supply, mtm_bus, system_bus, power_supply, mtm_bus, system_bus, power_supply, dc_clock, sc_clock, mtm_bus, hdmi_bus, vga_bus, ui_image, ui_sound, ui_touch, power_supply, system_bus, peripheral_power, mtm_bus, cpu_clock, nic_clock, mp_clock, dc_clock, sc_clock, clk_pwr"
aadl-examples_Hardware_PCB_i_1,19,"main_bus, maintenance, nic, timers, ebc, cpu, ram, rom, hmi","sense, ui_touch, act, ui_image, ui_sound, connectors, serial_bus, usb_bus, lvds_bus, hdmi_bus, vga_bus, ethernet, maintenance_bus, maintenance_bus, provision_bus, system_bus, power_supply, mp_clock, mtm_bus, system_bus, ethernet, power_supply, nic_clock, mtm_bus, system_bus, peripheral_power, system_bus, serial_bus, usb_bus, lvds_bus, power_supply, system_bus, mtm_bus, gpio, cpu_clock, power_supply, system_bus, power_supply, mtm_bus, system_bus, power_supply, mtm_bus, system_bus, power_supply, dc_clock, sc_clock, mtm_bus, hdmi_bus, vga_bus, ui_image, ui_sound, ui_touch"
aadl-examples_Hardware_PCB_mp_1,19,"main_bus, maintenance, nic, timers, ebc, cpu, ram, rom, hmi, power_bus, power, internal_maintenance_bus","sense, ui_touch, act, ui_image, ui_sound, connectors, serial_bus, usb_bus, lvds_bus, hdmi_bus, vga_bus, ethernet, maintenance_bus, maintenance_bus, provision_bus, system_bus, power_supply, mp_clock, mtm_bus, system_bus, ethernet, power_supply, nic_clock, mtm_bus, system_bus, peripheral_power, system_bus, serial_bus, usb_bus, lvds_bus, power_supply, system_bus, mtm_bus, gpio, cpu_clock, power_supply, system_bus, power_supply, mtm_bus, system_bus, power_supply, mtm_bus, system_bus, power_supply, dc_clock, sc_clock, mtm_bus, hdmi_bus, vga_bus, ui_image, ui_sound, ui_touch, power_supply, system_bus, peripheral_power, mtm_bus"
aadl-examples_Hardware_PCB_power_1,19,"main_bus, maintenance, nic, timers, ebc, cpu, ram, rom, hmi, power_bus, power","sense, ui_touch, act, ui_image, ui_sound, connectors, serial_bus, usb_bus, lvds_bus, hdmi_bus, vga_bus, ethernet, maintenance_bus, maintenance_bus, provision_bus, system_bus, power_supply, mp_clock, mtm_bus, system_bus, ethernet, power_supply, nic_clock, mtm_bus, system_bus, peripheral_power, system_bus, serial_bus, usb_bus, lvds_bus, power_supply, system_bus, mtm_bus, gpio, cpu_clock, power_supply, system_bus, power_supply, mtm_bus, system_bus, power_supply, mtm_bus, system_bus, power_supply, dc_clock, sc_clock, mtm_bus, hdmi_bus, vga_bus, ui_image, ui_sound, ui_touch, power_supply, system_bus, peripheral_power, mtm_bus"
aadl-examples_Human_Machine_Interface_HMI_i_1,39,"ts, dc, sp, sc","system_bus, power_supply, dc_clock, sc_clock, mtm_bus, hdmi_bus, vga_bus, ui_image, ui_sound, ui_touch, ui_image, image, ui_touch, finger_location, system_bus, video_bus, dc_clock, power_supply, mtm_bus, hdmi_bus, vga_bus, audio_bus, sound, system_bus, audio_bus, power_supply, sc_clock, mtm_bus"
aadl-examples_iPCA_Context_Open_PCA_Context_i_1,43,"patient, nurse, network, cable, supervisor, maintenance_controller, pca_pump, serv, cpal, mediator, gpio, security, security_process, controller, algorithms, signer, mac, verifier, mac_verifier, encryptor, decryptor, key_gen, random, key_store, communication_subsystem, maintenance_processor, nic, network_controller, nit, firewall, log, ts, d, i, e, s, gui, control_panel, gui, kernel, func, power_subsystem, sensors_actuators, button, reservoir, pump, upstream, downstream, safety_subsystem, led, fault_log, error_detect, alarm_process, alarm_thr, flow_rate, operation_subsystem, scanner, operation_process, drug_library, event_logger, operation_threads, boss, rate_controller, prescription_checker, max_drug_watcher, patient_bolus_checker, board, maintenance, nic, timers, ebc, hmi, power_bus, power, internal_maintenance_bus, clock_controller, perpheral_power_bus, main_bus, button, drug_reservoir, upstream_monitor, pump, downstream_monitor, tube_connector, cpu, ram, rom, dev1, dev2, dev3","infused_drug, button_press, sound, light_to_eye, finger_press, to_devices, to_console, to_hospital, jack, connectors, serial_bus, usb_bus, lvds_bus, hdmi_bus, vga_bus, external_network, jack, sense, ui_touch, barcode_signal, patient_button_press, act, ui_image, ui_sound, drug_outlet, barcode_illumination, fill_reservoir, alarm, alarm, warning, info, to_user, to_comm, from_maintenance, the_fault_log, the_event_log, the_security_log, load_drug_library, get_fault_log, get_event_log, get_security_log, security_provisioning, crypto_control, to_network, jack, alarm_inactivation, ui_image, ui_sound, ui_touch, from_safety, from_operation, malfunction, halt, from_safety, from_operation, malfunction, halt, i0, i1, i2, i3, i4, i5, i6, i7, i8, i9, i10, i11, i12, i13, i14, i15, o0, o1, o2, o3, o4, o5, o6, o7, o8, o9, o10, o11, o12, o13, o14, o15, crypto_control, crypto_control, crypto_control, security_interface, key_label, algorithm, tag, source_text, nonce_in, nonce_out, result_text, okay, sign_message, mac_message, verify_signature, verify_mac, generate_key, generate_random_number, encrypt, decrypt, operation_failed, bad_format, security_interface, key_label, algorithm, tag, source_text, nonce_in, nonce_out, result_text, okay, sign_message, mac_message, verify_signature, verify_mac, generate_key, generate_random_number, encrypt, decrypt, operation_failed, bad_format, algorithm, source_text, nonce_in, key_label, result_text, fetch_key, retreived_key, sign_message, operation_failed, bad_format, algorithm, source_text, nonce_in, key_label, result_text, fetch_key, retreived_key, mac_message, operation_failed, bad_format, algorithm, source_text, tag, nonce_in, key_label, okay, fetch_key, retreived_key, verify_signature, operation_failed, bad_format, algorithm, source_text, tag, nonce_in, key_label, okay, fetch_key, retreived_key, verify_mac, operation_failed, bad_format, algorithm, source_text, nonce_in, key_label, result_text, fetch_key, retreived_key, encrypt, operation_failed, bad_format, algorithm, source_text, key_label, result_text, fetch_key, retreived_key, decrypt, operation_failed, bad_format, algorithm, requested_key_label, key_label, store_key, generate_key, operation_failed, result_text, generate_random_number, operation_failed, fetch_key, retreived_key, store_key, to_comm, alarm, alarm, warning, info, maintenance, the_fault_log, the_event_log, the_security_log, load_drug_library, get_fault_log, get_event_log, get_security_log, security_provisioning, to_network, jack, maintenance, the_fault_log, the_event_log, the_security_log, load_drug_library, get_fault_log, get_event_log, get_security_log, security_provisioning, jack, nic_interface, to_network, from_operation, alarm, alarm, warning, info, to_nic, alarm, alarm, warning, info, from_operation, to_nic, syslog, timesync, dns, net, syslog, timesync, dns, net, syslog, tcp, synch, udp, dns, udp, net, tcp, nic, syslog_tcp, synch_udp, dns_udp, tcp, nic, to_user, alarm, alarm, warning, info, alarm_inactivation, ui_image, ui_sound, ui_touch, cp_int, ui_image, ui_sound, ui_touch, from_operation, alarm, alarm, warning, info, cp_int, alarm_inactivation, alarm, alarm, warning, info, to_user, to_comm, from_maintenance, the_fault_log, the_event_log, the_security_log, load_drug_library, get_fault_log, get_event_log, get_security_log, security_provisioning, crypto_control, alarm_inactivation, sense, ui_touch, barcode_signal, patient_button_press, act, ui_image, ui_sound, drug_outlet, barcode_illumination, fill_reservoir, to_network, power_supply, system_bus, peripheral_power, mtm_bus, to_safety, to_operation, gpio, power_supply, mtm_bus, halt, sense, ui_touch, barcode_signal, patient_button_press, act, ui_image, ui_sound, drug_outlet, barcode_illumination, fill_reservoir, from_safety, upstream_flow_rate, downstream_flow_rate, door_open, empty_reservoir, low_reservoir, bubble, pump_too_hot, downstream_occlusion, upstream_occlusion, halt, from_operation, infusion_flow_rate, door_open, door_closed, request_bolus, do_scan, scan_done, button_press, request_bolus, door_open, low_reservoir, empty_reservoir, door_closed, rate, halt, pump_too_hot, upstream_flow_rate, upstream_occlusion, downstream_flow_rate, downstream_occlusion, bubble_detected, alarm, alarm, warning, info, to_peripherals, from_operation, from_power, from_maintenance, the_fault_log, the_event_log, the_security_log, load_drug_library, get_fault_log, get_event_log, get_security_log, security_provisioning, main_bus, peripheral_malfunction, alarm_inactivation, halt, illuminate, light, the_log, log_hard_fault, log_soft_fault, get_log, illuminate, hardware_fault, halt, main_bus, hw_error_detections, infusion_flow_rate, Pumping_Mode, Halt, pump_at_KVO_rate, priming_failure, drug_not_in_library, hard_limit_violated, over_max_drug_per_hour, security_fault, cp_reset_alarm, post_fail, post_done, hw_detected_failure, peripheral_malfunction, alarm_inactivation, to_peripherals, upstream_flow_rate, downstream_flow_rate, door_open, empty_reservoir, low_reservoir, bubble, pump_too_hot, downstream_occlusion, upstream_occlusion, halt, from_operation, infusion_flow_rate, Pumping_Mode, Halt, pump_at_KVO_rate, priming_failure, drug_not_in_library, hard_limit_violated, over_max_drug_per_hour, security_fault, cp_reset_alarm, post_fail, post_done, hw_detected_failure, from_power, low_battery_warning, voltage_oor, defective_btty, send_alarm, info, alarm, warning, report_hazard, alarm_inactivation, peripheral_malfunction, door_open, alarm, warning, log_fault, stop_pumping_completely, pump_at_KVO_rate, max_dose_warning, hard_limit_violation, empty_res, low_res, pump_hpt, upstream_occlusion, downstream_occlusion, bubble, priming_failure, cp_reset_alarm, drug_not_in_library, defective_btty, low_battery_warning, voltage_oor, basal_overinfusion, bolus_overinfusion, square_bolus_overinfusion, basal_underinfusion, bolus_underinfusion, square_bolus_underinfusion, security_fault, infusion_flow_rate, upstream_flow_rate, downstream_flow_rate, pumping_mode, basal_overinfusion, bolus_overinfusion, square_bolus_overinfusion, basal_underinfusion, bolus_underinfusion, square_bolus_underinfusion, to_safety, infusion_flow_rate, Pumping_Mode, Halt, pump_at_KVO_rate, priming_failure, drug_not_in_library, hard_limit_violated, over_max_drug_per_hour, security_fault, cp_reset_alarm, post_fail, post_done, hw_detected_failure, to_peripherals, infusion_flow_rate, door_open, door_closed, request_bolus, do_scan, scan_done, from_power, Using_Battery_Power, Remaining_Battery_Time, low_battery_warning, to_user, system_status, clinician_bolus_duration, display_message, sound_type, alarm_inactivation, hard_limit_violated, pause_infusion, resume_infusion, clinician_request_bolus, stop_button_pressed, start_button_pressed, confirm_soft_limit_exception, reject_soft_limit_exception, soft_limit_warning, turn_off, patient_request_not_too_soon, patient_request_too_soon, over_max_drug_per_hour, from_maintenance, the_fault_log, the_security_log, get_fault_log, get_event_log, get_security_log, security_provisioning, the_event_log, load_drug_library, to_comm, alarm_inactivation, pump_at_KVO_rate, halt, crypto_control, clinician_name, patient_name, prescription, scan_data, authenticate_clinician, authenticate_patient, authenticate_prescription, authentication_fail, authentication_pass, security_fault, provisioning, alarm, info, alarm, warning, do_scan, scan_done, scan_data, infusion_flow_rate, door_open, prescription, pumping_mode, alarm_inactivation, clinician_bolus_duration, load_drug_library, alarm, warning, the_event_log, system_status, display_message, sound_type, patient_button_request, drug_not_in_library, stop_pumping_completely, pump_at_KVO_rate, hw_detected_failure, hard_limit_violated, soft_limit_warning, get_event_log, pause_infusion, resume_infusion, clinician_request_bolus, confirm_soft_limit_exception, reject_soft_limit_exception, stop_button_pressed, start_button_pressed, over_max_drug_per_hour, patient_request_not_too_soon, patient_request_too_soon, authenticate_clinician, authenticate_patient, authenticate_prescription, authentication_fail, authentication_pass, do_scan, scan_done, post_done, post_fail, door_closed, turn_off, priming_failure, load_drug_library, get_drug_record, the_drug_record, no_drug_found, log_event, the_event_log, get_event_log, infusion_flow_rate, door_open, prescription, pumping_mode, alarm, warning, cp_bolus_duration, system_status, display_message, sound_type, get_drug_record, the_drug_record, log_event, hw_detected_failure, stop_pumping_completely, pump_at_KVO_rate, hard_limit_violated, patient_button_request, patient_request_not_too_soon, patient_request_too_soon, pause_infusion, resume_infusion, cp_clinician_request_bolus, stop_button_pressed, start_button_pressed, confirm_soft_limit_exception, reject_soft_limit_exception, soft_limit_warning, over_max_drug_per_hour, no_drug_found, do_scan, scan_done, authenticate_clinician, authenticate_patient, authenticate_prescription, authentication_fail, authentication_pass, post_done, post_fail, door_closed, turn_off, priming_failure, network_stop_pump, display_message, sound_type, log_event, post_done, post_fail, stop_button_pressed, start_button_pressed, do_scan, scan_done, authenticate_clinician, authenticate_patient, authenticate_prescription, authentication_fail, authentication_pass, check_prescription, drug_not_in_library, hard_limit_violated, reject_soft_limit_exception, confirm_soft_limit_exception, prescription_okay, door_closed, begin_priming, end_priming, priming_failure, begin_infusion, halt_infusion, turn_off, infusion_flow_rate, Pumping_Mode, square_bolus_rate, patient_bolus_rate, basal_rate, vtbi, door_open, system_status, alarm, warning, cp_bolus_duration, begin_infusion, begin_priming, end_priming, halt_infusion, hw_detected_failure, stop_pumping_completely, pump_at_KVO_rate, patient_request_not_too_soon, pause_infusion, resume_infusion, cp_clinician_request_bolus, over_max_drug_per_hour, network_stop_pump, prescription, vtbi, square_bolus_rate, patient_bolus_rate, basal_rate, minimum_time_between_bolus, max_drug_per_hour, get_drug_record, the_drug_record, check_prescription, prescription_okay, drug_not_in_library, confirm_soft_limit_exception, reject_soft_limit_exception, soft_limit_warning, hard_limit_violated, infusion_flow_rate, max_drug_per_hour, Near_Max_Drug_Per_Hour, over_max_drug_per_hour, minimum_time_between_bolus, patient_button_request, patient_request_not_too_soon, patient_request_too_soon, stop, connectors, serial_bus, usb_bus, lvds_bus, hdmi_bus, vga_bus, ethernet, maintenance_bus, sense, ui_touch, barcode_signal, patient_button_press, act, ui_image, ui_sound, drug_outlet, barcode_illumination, fill_reservoir, maintenance_bus, provision_bus, system_bus, power_supply, mp_clock, mtm_bus, system_bus, ethernet, power_supply, nic_clock, mtm_bus, system_bus, peripheral_power, system_bus, serial_bus, usb_bus, lvds_bus, power_supply, system_bus, power_supply, dc_clock, sc_clock, mtm_bus, hdmi_bus, vga_bus, ui_image, ui_sound, ui_touch, power_supply, system_bus, peripheral_power, mtm_bus, cpu_clock, nic_clock, mp_clock, dc_clock, sc_clock, clk_pwr, gpio, power, gpio, power, drug_outlet, fill_reservoir, gpio, power, drug_outlet, drug_intake, gpio, power, drug_outlet, drug_intake, gpio, power, drug_outlet, drug_intake, drug_outlet, drug_intake, system_bus, mtm_bus, gpio, cpu_clock, power_supply, system_bus, power_supply, mtm_bus, system_bus, power_supply, mtm_bus, to_network, to_network, to_network"
aadl-examples_iPCA_Control_Panel_Control_Panel_i_1,9,"display, audible, ui_process, ui_thread","i_bus, ui_image, ui_sound, ui_touch, alarm_inactivation, remaining_battery_time, using_battery_power, prescription, clinician_name, patient_name, cp_reset_alarm, over_max_drug_per_hour, hard_limit_violated, soft_limit_warning, low_battery_warning, confirm_soft_limit_exception, reject_soft_limit_exception, stop_button_pressed, start_button_pressed, turn_off, clinician_request_bolus, pause_infusion, resume_infusion, patient_request_not_too_soon, patient_request_too_soon, alarm, warning, system_status, display_message, sound_type, bolus_duration, ui_image, image, ui_touch, finger_location, video_bus, power_supply, mtm_bus, i_bus, audio_signal, sound, i_bus, Image, audio_signal, alarm_inactivation, remaining_battery_time, using_battery_power, prescription, clinician_name, patient_name, finger_location, alarm, warning, system_status, display_message, sound_type, Bolus_Duration, cp_reset_alarm, low_battery_warning, hard_limit_violated, soft_limit_warning, confirm_soft_limit_exception, reject_soft_limit_exception, stop_button_pressed, start_button_pressed, clinician_request_bolus, pause_infusion, resume_infusion, turn_off, patient_request_not_too_soon, patient_request_too_soon, Image, audio_signal, alarm_inactivation, remaining_battery_time, using_battery_power, prescription, clinician_name, patient_name, finger_location, Alarm, Warning, system_status, display_message, sound_type, Bolus_Duration, cp_reset_alarm, low_battery_warning, hard_limit_violated, soft_limit_warning, confirm_soft_limit_exception, reject_soft_limit_exception, stop_button_pressed, start_button_pressed, clinician_request_bolus, pause_infusion, resume_infusion, turn_off, patient_request_not_too_soon, patient_request_too_soon"
aadl-examples_iPCA_Hardware_PCB_iPCA_i_1,19,"maintenance, nic, timers, ebc, hmi, power_bus, power, internal_maintenance_bus, clock_controller, perpheral_power_bus, main_bus, button, drug_reservoir, upstream_monitor, pump, downstream_monitor, tube_connector, cpu, ram, rom","connectors, serial_bus, usb_bus, lvds_bus, hdmi_bus, vga_bus, ethernet, maintenance_bus, sense, ui_touch, barcode_signal, patient_button_press, act, ui_image, ui_sound, drug_outlet, barcode_illumination, fill_reservoir, maintenance_bus, provision_bus, system_bus, power_supply, mp_clock, mtm_bus, system_bus, ethernet, power_supply, nic_clock, mtm_bus, system_bus, peripheral_power, system_bus, serial_bus, usb_bus, lvds_bus, power_supply, system_bus, power_supply, dc_clock, sc_clock, mtm_bus, hdmi_bus, vga_bus, ui_image, ui_sound, ui_touch, power_supply, system_bus, peripheral_power, mtm_bus, cpu_clock, nic_clock, mp_clock, dc_clock, sc_clock, clk_pwr, gpio, power, gpio, power, drug_outlet, fill_reservoir, gpio, power, drug_outlet, drug_intake, gpio, power, drug_outlet, drug_intake, gpio, power, drug_outlet, drug_intake, drug_outlet, drug_intake, system_bus, mtm_bus, gpio, cpu_clock, power_supply, system_bus, power_supply, mtm_bus, system_bus, power_supply, mtm_bus"
