Model,Cluster
aadl-translator_NoninPulseOx_NoninPulseOx_impl_1,34
aadl-translator_PulseOx_Forwarding_Bidirectional_System_PulseOx_Forwarding_Bidirectional_System_imp_1,20
aadl-translator_PulseOx_Forwarding_DevToDev_System_PulseOx_Forwarding_DevToDev_System_imp_1,20
aadl-translator_PulseOx_Forwarding_Duplicate_System_Duplicate_System_imp_1,41
aadl-translator_PulseOx_Forwarding_Duplicate_System_PulseOx_Forwarding_Duplicate_System_imp_1,20
aadl-translator_PulseOx_Forwarding_System_PulseOx_Forwarding_System_imp_1,20
aadl-translator_PulseOx_Forwarding_System_PulseOx_Forwarding_System_imp_2,20
aadl-translator_PulseOx_IncDataPort_System_PulseOx_Forwarding_System_imp_1,20
aadl-translator_SimpleCapnograph_SimpleCapnograph_impl_1,34
aadl-translator_SimplePCA_SimplePCA_impl_1,34
AADL-Tutorial_syst_SecuritySystem_with_devices_1,21
AADL-Wobbuloscope_Wobbuloscope_Wobbuloscope_impl_1,18
aadl2uppaal_Bouncing_Ball_sys_ball_impl_1,34
AADLib_ADIRU_ADIRU_DeOS_1,13
AADLib_ADIRU_ADIRU_EMV2_1,13
AADLib_ADIRU_ADIRU_impl_1,13
AADLib_ADIRU_ADIRU_VxWorks653_1,13
AADLib_AOCS_AOCS_Subsystem_impl_1,24
AADLib_arincexample2_arinc653system_impl_1,29
AADLib_arincexample2_module1_system_impl_1,8
AADLib_arincexample2_module2_system_impl_1,8
AADLib_autopilot_subsys_MCU0_Impl_1,14
AADLib_AvionicsBusManagers_AvionicsBusMgr_XPS8500_1,15
AADLib_Blocks_FPA_block_without_runtime_i_1,5
AADLib_Blocks_FPA_block_with_runtime_i_1,26
AADLib_Blocks_memory_management_eight_links_i_1,26
AADLib_Blocks_memory_management_two_links_i_1,26
AADLib_Blocks_obc_i_1,26
AADLib_Car_Car_impl_1,14
AADLib_DMS_door_management_imp_1,24
AADLib_emaxxv2_power_distrib_emaxxv2_power_1,19
AADLib_emaxxv2_system_emaxxv2_impl_1,19
AADLib_Flight_Control_System_fcs_impl_1,18
AADLib_Flowlatencydata_application_allperiodicdelayed_1,15
AADLib_Flowlatencydata_topsystem_distributedallperiodicdelayed_1,15
AADLib_Flowlatencysampleddata_application_alldatadriven_1,14
AADLib_Flowlatencysampleddata_application_allperiodicsampled_1,14
AADLib_Flowlatencysampleddata_hardwareplatform_dual_1,25
AADLib_Flowlatencysampleddata_hardwareplatform_single_1,25
AADLib_Flowlatencysampleddata_topsystem_alldatadriven_1,14
AADLib_Flowlatencysampleddata_topsystem_allperiodicsampled_1,14
AADLib_Flowlatencysampleddata_topsystem_distributedalldatadriven_1,14
AADLib_flyByWire_subsys_MCU1_Impl_1,14
AADLib_fms_fms_impl_1,29
AADLib_Hello_World_hello_impl_1,8
AADLib_Hello_World_hello_impl_2,8
AADLib_ISR_Ticker_System_impl_1,21
AADLib_Main_Ardupilot_Ardupilot_Map_impl_1,35
AADLib_Main_Ardupilot_Ardupilot_Shield_impl_1,37
AADLib_mars_pathfinder_sys_mars_pathfinder_correct_1,18
AADLib_mars_pathfinder_sys_mars_pathfinder_impl_1,18
AADLib_MinePump_BA_MinePump_impl_1,10
AADLib_MinePump_MinePump_impl_1,10
AADLib_minirocket_system_minirocket_impl_1,19
AADLib_Mixin_Demo_impl_1,37
AADLib_MoDeVVa_modevva_impl_1,10
AADLib_Pacemaker_Pkg_DeviceControllerMonitor_others_1,21
AADLib_paparazzi_system_airborne_impl_1,14
AADLib_paparazzi_system_paparazzi_basic_archi_1,14
AADLib_paparazzi_system_paparazzi_PnP_tasks_interruptions_1,14
AADLib_paparazzi_system_paparazzi_PP_tasks_AP_interruptions_1,14
AADLib_paparazzi_system_paparazzi_PP_tasks_interruptions_1,14
AADLib_PartitionedSystemExample_arincsystem_impl_1,8
AADLib_Perseus_Perseus_Rocket_impl1_1,5
AADLib_Perseus_Perseus_Rocket_Master_1,5
AADLib_PING_PING_IMA_1,8
AADLib_Prodcons_vxworks_impl_1,10
AADLib_quadrirotorv0_system_arm7_i_1,19
AADLib_quadrirotorv0_system_arm9_i_1,19
AADLib_quadrirotorv0_system_quadrirotorv0_impl_1,19
AADLib_quadrirotorv1_system_quadrirotorv1_impl_1,19
AADLib_radar_system_radar_simple_1,17
AADLib_RAP_Code_RAP_Native_1,24
AADLib_RAP_RAP_ERC32_ORK_1,24
AADLib_RAP_RAP_GENERIC_IMPL_1,24
AADLib_RAP_RAP_LEON_ORK_1,24
AADLib_RAP_RAP_LEON_RTEMS_1,24
AADLib_RAP_RAP_Native_1,24
AADLib_Ravenscar_Example_Case_Study_LEON_Local_1,10
AADLib_RMAAadl_rma_impl_1,10
AADLib_Robot_BA_robot_i_1,14
AADLib_Robot_LF_Line_Follower_Robot_i_1,37
AADLib_Robot_robot_i_1,14
AADLib_Round_Robin_RR_impl_nopreempt_1,10
AADLib_Round_Robin_RR_impl_preempt_1,10
AADLib_satellite_system_OBMU_Impl_1,10
AADLib_SMP01_smp01_impl_1,8
AADLib_STM32Discovery_Ada_blinky_impl_1,10
AADLib_subsystem_m1_system_impl_1,12
AADLib_subsystem_m2_system_impl_1,12
AADLib_subsystem_m3_system_impl_1,12
AADLib_subsystem_m4_system_impl_1,12
AADLib_Time_Triggered_tt_impl_1,10
AADLib_traxsterv3_system_traxsterv3_impl_1,19
AADLModel_HomeSecuritySystem_HSS_SecuritySystem_with_devices_1,21
AADLModel_SmartThermostat_thermostat_arch_Generator_impl_1,35
AADLModel_SmartThermostat_thermostat_arch_Temp_sensor_impl_1,26
AADLModel_SmartThermostat_thermostat_arch_Thermostat_Controller_impl_1,35
AADLModel_SmartThermostat_thermostat_arch_thermostat_impl_1,37
AadlProjects_smartparking_communicationsupport_impl_1,22
AadlProjects_smartparking_driver_impl_1,1
AadlProjects_smartparking_parkelecpaymt_impl_1,15
AadlProjects_smartparking_parkingsystem_impl_1,22
AadlProjects_smartparking_parkmgmtsys_impl_1,16
AadlProjects_smartparking_parkmgmt_impl_1,15
AadlProjects_smartparking_persinfodev_impl_1,16
AadlProjects_smartparking_persInteractvTravInfo_impl_1,15
AadlProjects_smartparking_personallocmanagement_impl_1,15
AadlProjects_smartparking_roadsideequip_impl_1,16
AadlProjects_smartparking_roadsideinforeception_impl_1,22
AadlProjects_smartparking_RSEparkmgmt_impl_1,15
AadlProjects_smartparking_SmartParkingSystem_impl_1,16
AadlProjects_smartparking_TICDataColl_impl_1,15
AadlProjects_smartparking_TICInteractvTravInfo_impl_1,15
AadlProjects_smartparking_transinfoctr_impl_1,15
AadlProjects_smartparking_vehbasesafe_impl_1,15
AadlProjects_smartparking_vehicleobe_impl_1,16
AadlProjects_Speedwrisic_RoadAssistanceITS_impl_1,15
AadlProjects_Speedwrisic_RSEquip_impl_1,15
AadlProjects_Speedwrisic_Speed_impl_1,16
AadlProjects_Speedwrisic_TMInfo_impl_1,15
AadlProjects_Speedwrisic_Vehicletransit_impl_1,15
AadlProjects_vtv_remoteVehicleOBE_impl_1,1
AadlProjects_vtv_transOperator_impl_1,1
AadlProjects_vtv_transvobe_impl_1,16
AadlProjects_vtv_VehicleTransitSystem_impl_1,16
aadlv2_issue_16_Child_impl_1,28
aadlv2_issue_16_Parent_impl_1,28
AADLVending_Sterownik_VendingMachineSterownik_with_Devices_1,18
AADLVending_Sterownik_VendingMachineSterownik_with_Devices_2,18
AADL_Architecture_MarsPathfinder_PT_system_simple_1,10
AADL_FEES_Board_STM32_STM32L476_Discovery_impl_1,30
AADL_FEES_FEES_FEES_impl_1,30
aadl_ils_project_ils_ils_impl_1,39
aadl_model_Bankomat_AtmSystem_with_devices_1,21
AADL_RASPBERRY_smacz_HumanActivityMonitoringSystem_impl_1,18
AASPE_automotive_system_car_cherokee_1,30
AASPE_automotive_system_integration_attack_1,30
AASPE_automotive_system_integration_i_1,30
AASPE_security_cwe131_main_correct_1,36
AASPE_security_cwe131_main_incorrect_1,36
AASPE_security_cwe131_main_i_1,36
AASPE_security_cwe311_main_failure1_1,36
AASPE_security_cwe311_main_i_1,36
AASPE_security_cwe311_main_success1_1,36
AASPE_security_cwe311_main_success2_1,36
AASPE_security_cwe362_main_correct_1,29
AASPE_security_cwe362_main_incorrect_1,29
AASPE_security_cwe362_main_i_1,29
AASPE_security_cwe805_main_failure_array_1,7
AASPE_security_cwe805_main_failure_float_1,7
AASPE_security_cwe805_main_failure_int_1,7
AASPE_security_cwe805_main_success_array_1,7
AASPE_security_cwe805_main_success_float_1,7
AASPE_security_cwe805_main_success_int_1,7
AASPE_security_r0_main_correct_1,30
AASPE_security_r0_main_incorrect_1,30
AASPE_security_r0_main_i_1,30
AASPE_security_r1_main_correct_1,36
AASPE_security_r1_main_incorrect_1,36
AASPE_security_r1_main_i_1,36
AASPE_security_r2_main_correct_1,29
AASPE_security_r2_main_incorrect_1,29
AASPE_security_r2_main_i_1,29
AASPE_security_r3_main_correct1_1,29
AASPE_security_r3_main_correct2_1,29
AASPE_security_r3_main_incorrect1_1,29
AASPE_security_r3_main_incorrect2_1,29
AASPE_security_r3_main_i_1,29
AASPE_security_r4_main_correct1_1,10
AASPE_security_r4_main_correct2_1,10
AASPE_security_r4_main_incorrect_1,10
AASPE_security_r4_main_i_1,10
AASPE_security_r5_main_correct_1,21
AASPE_security_r5_main_incorrect1_1,21
AASPE_security_r5_main_incorrect2_1,21
AASPE_security_r5_main_incorrect3_1,21
AASPE_security_r5_main_incorrect4_1,21
AASPE_security_r5_main_i_1,21
AASPE_security_r6_main_correct_1,30
AASPE_security_r6_main_incorrect_1,30
AASPE_security_r6_main_i_1,30
AASPE_security_r7_integration_fail1_1,7
AASPE_security_r7_integration_fail2_1,7
AASPE_security_r7_integration_fail3_1,7
AASPE_security_r7_integration_i_1,7
AASPE_security_r7_integration_success1_1,7
AASPE_security_r7_integration_success2_1,7
AASPE_security_r7_integration_success4_1,7
AASPE_security_timing_requirements_main_correct_1,36
AASPE_security_timing_requirements_main_incorrect_1,36
AASPE_security_timing_requirements_main_i_1,36
AASPE_sel4_bb_serial_main_beaglebone_1,17
AASPE_sel4_hello_world_hello_impl_1,9
AASPE_sel4_ping_pong_event_ping_beaglebone_1,9
AASPE_sel4_ping_pong_event_ping_impl_1,9
AASPE_sel4_ping_pong_event_ping_kzm_1,9
AASPE_sel4_ping_pong_event_ping_x86_1,9
AASPE_sel4_ping_pong_ping_beaglebone_1,9
AASPE_sel4_ping_pong_ping_impl_1,9
AASPE_sel4_ping_pong_ping_kzm_1,9
AASPE_sel4_ping_pong_ping_x86_1,9
AASPE_sel4_two_tasks_twotasks_beaglebone_1,9
AASPE_sel4_two_tasks_twotasks_impl_1,9
AASPE_sel4_two_tasks_twotasks_kzm_1,9
AASPE_sel4_two_tasks_twotasks_x86_1,9
adiru_aadl_Adiru_ADIRU_impl_1,16
adiru_aadl_other_system_fmc_system_impl_1,1
adiru_aadl_subsystem_adr_system_impl_1,16
adiru_aadl_subsystem_ir_system_impl_1,16
Aircraft_aircraft_functional_aircraft_functional_model_1,29
air_Ex1_s_i_1,20
air_Ex2_s_i_1,35
air_Ex2_wrapper_i_1,35
air_Ex3_as_i_1,21
air_Ex3_bs_i_1,21
air_Ex3_wrapper_i_1,20
alisa-response-time_Simple_system_Computation_chain_Impl_1,15
An-AADL-Model-of-Smart-Home-System_Clients_Clients_impl_1,35
An-AADL-Model-of-Smart-Home-System_MainControlRouter_MainControlRouter_impl_1,35
An-AADL-Model-of-Smart-Home-System_RemoteServer_RemoteServer_impl_1,35
An-AADL-Model-of-Smart-Home-System_smart_home_system_smart_home_impl_1,35
APS-Communication_Architecture_AidsToNavigation_AidsToNavigation_impl_1,7
APS-Communication_Architecture_APS_APSCommunication_impl_1,16
APS-Communication_Architecture_APS_ASC_Backup_impl_1,16
APS-Communication_Architecture_APS_ASC_impl_1,16
APS-Communication_Architecture_APS_ASC_Main_impl_1,16
APS-Communication_Architecture_APS_AuxiliarySystem_impl_1,41
APS-Communication_Architecture_APS_BMS_impl_1,3
APS-Communication_Architecture_APS_COLAVandSSITAW_Backup_impl_1,15
APS-Communication_Architecture_APS_COLAVandSSITAW_impl_1,15
APS-Communication_Architecture_APS_DockingSystem_impl_1,41
APS-Communication_Architecture_APS_EmergencyButtonTransmitter_impl_1,37
APS-Communication_Architecture_APS_GNSS_IMU_Backup_impl_1,2
APS-Communication_Architecture_APS_GNSS_IMU_Main_impl_1,2
APS-Communication_Architecture_APS_IDS_impl_1,3
APS-Communication_Architecture_APS_IS3MS_impl_1,15
APS-Communication_Architecture_APS_LogBook_impl_1,41
APS-Communication_Architecture_APS_MachinerySystem_impl_1,4
APS-Communication_Architecture_APS_NavigationSystem_Backup_impl_1,6
APS-Communication_Architecture_APS_NavigationSystem_Backup_impl_withRedundancy_1,4
APS-Communication_Architecture_APS_NavigationSystem_impl_1,4
APS-Communication_Architecture_APS_NavigationSystem_impl_withRedundancy2_1,4
APS-Communication_Architecture_APS_NavigationSystem_impl_withRedundancy_1,4
APS-Communication_Architecture_APS_NetworkAndSystemManagement_impl_1,15
APS-Communication_Architecture_APS_PMS_impl_1,41
APS-Communication_Architecture_APS_PowMS_impl_1,41
APS-Communication_Architecture_APS_SafetySystem_impl_1,4
APS-Communication_Architecture_APS_WANLoadBalancer_impl_1,1
APS-Communication_Architecture_CloudComponent_APSCommunication_impl_1,7
APS-Communication_Architecture_CloudComponent_CommunicationHubServer_impl_1,3
APS-Communication_Architecture_ECT_APSCommunication_impl_1,6
APS-Communication_Architecture_ECT_EmergencyButtonReceiver_impl_1,36
APS-Communication_Architecture_Mobile5GNetwork_APSCommunication_impl_1,6
APS-Communication_Architecture_Overall_APSCommunicationArchitecture_impl_1,16
APS-Communication_Architecture_RCC_APSCommunication_impl_1,16
APS-Communication_Architecture_RCC_ControlComputer_Backup_impl_1,15
APS-Communication_Architecture_RCC_ControlComputer_Main_impl_1,15
APS-Communication_Architecture_RCC_IDS_impl_1,3
APS-Communication_Architecture_RCC_IS3MS_impl_1,15
APS-Communication_Architecture_RCC_NetworkAndSystemManagement_impl_1,15
APS-Communication_Architecture_Ship_APSCommunication_impl_1,7
APS-Communication_Architecture_SSS_APSCommunication_impl_1,7
APS-Communication_Architecture_Stakeholder_APSCommunication_impl_1,7
APS-Communication_Architecture_TIS_APSCommunication_impl_1,7
arch-models-example-2_CruiseController_CruiseControllerSystem_Impl_1,6
arch-models-example-2_DeliveryDrone_DeliveryDroneSystem_Impl_1,6
arch-models-example-2_GNC_GNC_Impl_1,6
arch-models-example_ClientServer_ClientServer_impl_1,23
arch-models-example_resourcebudgets_DCA_tier1_1,15
arch-models-example_resourcebudgets_DCA_tier2_1,15
arch-models-example_resourcebudgets_DCS_dualtier2_1,27
arch-models-example_resourcebudgets_DCS_singletier0_1,7
arch-models-example_resourcebudgets_DCS_singletier1_1,27
arch-models-example_resourcebudgets_DCS_singletier2_1,27
arch-models-example_resourcebudgets_MySystem_Tier0_1,28
arch-models-example_resourcebudgets_MySystem_Tier2_1,27
arch-models-example_resourcebudgets_platform_dual_1,25
arch-models-example_resourcebudgets_platform_single_1,25
arch-models-example_resourcebudgets_SCS_dualtier2_1,27
arch-models-example_resourcebudgets_SCS_tier0_1,28
arch-models-example_resourcebudgets_SCS_tier1_1,27
arch-models-example_resourcebudgets_SCS_tier2_1,27
AuthInAADL_resolute_check_dataflow_filter_i_1,3
AuthInAADL_resolute_check_dataflow_integration_i_1,7
AuthInAADL_resolute_check_dataflow_receiver_i_1,3
