Model,Cluster
aadl-qa_issue168_SWsystem_impl_1,23
aadl-qa_issue168_topSystem_impl_1,23
aadl-qa_issue171_s_i_1,24
aadl-qa_issue176_SysParent_Imp_1,26
aadl-qa_issue177_SysInverse2ofPFG_Imp_1,2
aadl-qa_issue182_test1_Test2_impl_1,29
aadl-qa_issue182_test1_Test3_impl_1,29
aadl-qa_issue182_test1_Test_impl_1,29
aadl-qa_issue182_test1_Test_Subcompo2_impl_1,15
aadl-qa_issue182_test1_Test_Subcompo3_impl_1,15
aadl-qa_issue182_test1_Test_Subcompo_impl_1,15
aadl-qa_issue182_test2_Test2_impl_1,16
aadl-qa_issue182_test2_Test_impl_1,29
aadl-qa_issue182_test2_Test_Subcompo2_impl_1,10
aadl-qa_issue182_test2_Test_Subcompo_impl_1,15
aadl-qa_issue208_2_gpses_i_1,38
aadl-qa_issue208_2_receiver_i_1,10
aadl-qa_issue208_2_top_i_1,38
aadl-qa_issue208_gpses_i_1,38
aadl-qa_issue208_receiver_i_1,10
aadl-qa_issue208_top_i_1,38
aadl-qa_issue214_top_impl_1,32
aadl-qa_issue236_root_impl_1,44
aadl-qa_issue270_A_test_1,29
aadl-qa_issue277_TestSys_Impl_1,7
aadl-qa_issue289_NavSubsystem_Impl_1,10
aadl-qa_issue291_B_impl2_1,18
aadl-qa_issue291_B_impl3_1,10
aadl-qa_issue291_B_impl_1,18
aadl-qa_issue315_foo_bar_1,39
aadl-qa_issue316_FACE653_DualCore_1,20
aadl-qa_issue317_Network_Imp_1,20
aadl-qa_issue327_root_impl_1,36
aadl-qa_issue59_A_impl_1,44
aadl-qa_issue77_SA_impl_1,20
aadl-qa_KSU_Isolette_isolette_dual_sensor_1,4
aadl-qa_KSU_Isolette_isolette_single_sensor_1,4
aadl-qa_KSU_Isolette_operator_interface_impl_1,4
aadl-qa_KSU_Isolette_thermostat_dual_sensor_impl_1,5
aadl-qa_KSU_Isolette_thermostat_single_sensor_impl_1,4
aadl-qa_nameresolution_se_i_1,2
aadl-qa_nameresolution_s_i_1,2
aadl-qa_nameresolution_top_i_1,2
aadl-qa_Nursery_Room_Normal_Operation_1,4
aadl-qa_plugins_issue002_test_i_1,38
aadl-qa_PositionControl_foo_bar_1,39
aadl-qa_RMAAadl_rma_impl_1,35
aadl-qa_Sunseeker_Dist_Sunseekercontrolsystem_Type_Dist_1,21
aadl-qa_Sunseeker_Local_Sunseekercontrolsystem_Type_Local_1,35
aadl-qa_SYSTEM_IMPLEMENTATION_TC1_T_I_1,10
aadl-qa_test2_s_i_1,10
aadl-qa_test_blackboard_root_impl_1,36
aadl-qa_test_dest_base_1,43
aadl-qa_test_init_base_1,43
aadl-qa_test_lua_lua_impl_1,35
aadl-qa_test_package_refined_isolated_Test_System_impl2_1,21
aadl-qa_test_package_refined_Test_System_impl1_1,21
aadl-qa_test_package_refined_Test_System_impl2_1,21
aadl-qa_test_package_refined_Test_System_impl3_1,21
aadl-qa_test_package_refined_Test_System_impl4_1,21
aadl-qa_test_package_refined_Test_System_impl5_1,21
AADL-Self-driving-car_integration_integration_functional_1,40
AADL-Self-driving-car_integration_integration_functional_2,40
AADL-Self-driving-car_integration_integration_functional_3,40
AADL-Self-driving-car_integration_integration_functional_4,40
AADL-Self-driving-car_integration_integration_hardware_1,40
AADL-Self-driving-car_integration_integration_hardware_2,40
AADL-Self-driving-car_integration_integration_hardware_3,40
aadl-shutter_smartshutter_SmartShutterSystem_impl_1,4
AADL-SmartParkingApplication_InformationServiceProvider_ISP_impl_1,21
AADL-SmartParkingApplication_RSE_RSEOwner_impl_1,44
AADL-SmartParkingApplication_SmartParkingSystem_tispSys_impl_1,13
aadl-sysml_Pilot_Flying_Cross_Channel_Bus_Cross_Channel_Bus_Impl_1,3
aadl-sysml_Pilot_Flying_Pilot_Flying_Pilot_Flying_Impl_1,22
aadl-sysml_Pilot_Flying_Pilot_Flying_Side_Logic_Pilot_Flying_Side_Logic_Impl_1,3
aadl-sysml_Pilot_Flying_Side_Side_Impl_1,22
aadl-sysml_Signals_Fall_Fall_Impl_1,3
aadl-sysml_Signals_Rise_Rise_Impl_1,2
aadl-translator_Device_AADL_Test_Abstract_Device_Illegal_Port_Name_Device_AADL_Test_Abstract_Device_Illegal_Port_Name_impl_1,13
aadl-translator_Device_AADL_Test_Abstract_Device_Missing_Data_Type_Responder_Device_AADL_Test_Abstract_Device_Missing_Data_Type_Responder_impl_1,13
aadl-translator_Device_AADL_Test_Abstract_Device_Missing_Device_AADL_Test_Abstract_Device_Missing_impl_1,13
aadl-translator_Device_AADL_Test_Abstract_Device_Missing_Ports_Device_AADL_Test_Abstract_Device_Missing_Ports_impl_1,13
aadl-translator_Device_AADL_Test_System_Impl_Property_Missing_Credentials_Device_AADL_Test_System_Impl_Property_Missing_Credentials_impl_1,13
aadl-translator_Device_AADL_Test_System_Impl_Property_Missing_ManufacturerModel_Device_AADL_Test_System_Impl_Property_Missing_ManufacturerModel_impl_1,13
aadl-translator_Device_AADL_Test_System_Impl_Property_Missing_Manufacturer_Device_AADL_Test_System_Impl_Property_Missing_Manufacturer_impl_1,13
aadl-translator_Device_AADL_Test_System_Impl_Property_Missing_ModelNumber_Device_AADL_Test_System_Impl_Property_Missing_ModelNumber_impl_1,13
aadl-translator_Device_AADL_Test_System_Impl_Property_Missing_SYSTYPE_Device_AADL_Test_System_Impl_Property_Missing_SYSTYPE_impl_1,13
aadl-translator_NoninPulseOx_NoninPulseOx_impl_1,13
aadl-translator_PulseOx_Forwarding_Bidirectional_System_PulseOx_Forwarding_Bidirectional_System_imp_1,42
aadl-translator_PulseOx_Forwarding_DevToDev_System_PulseOx_Forwarding_DevToDev_System_imp_1,42
aadl-translator_PulseOx_Forwarding_Duplicate_System_Duplicate_System_imp_1,32
aadl-translator_PulseOx_Forwarding_Duplicate_System_PulseOx_Forwarding_Duplicate_System_imp_1,42
aadl-translator_PulseOx_Forwarding_System_PulseOx_Forwarding_System_imp_1,42
aadl-translator_PulseOx_Forwarding_System_PulseOx_Forwarding_System_imp_2,42
aadl-translator_PulseOx_IncDataPort_System_PulseOx_Forwarding_System_imp_1,42
aadl-translator_SimpleCapnograph_SimpleCapnograph_impl_1,13
aadl-translator_SimplePCA_SimplePCA_impl_1,13
AADL-Tutorial_syst_SecuritySystem_with_devices_1,9
AADL-Wobbuloscope_Wobbuloscope_Wobbuloscope_impl_1,40
aadl2uppaal_Bouncing_Ball_sys_ball_impl_1,13
AADLib_ADIRU_ADIRU_DeOS_1,44
AADLib_ADIRU_ADIRU_EMV2_1,44
AADLib_ADIRU_ADIRU_impl_1,44
AADLib_ADIRU_ADIRU_VxWorks653_1,44
AADLib_AOCS_AOCS_Subsystem_impl_1,40
AADLib_arincexample2_arinc653system_impl_1,19
AADLib_arincexample2_module1_system_impl_1,36
AADLib_arincexample2_module2_system_impl_1,36
AADLib_autopilot_subsys_MCU0_Impl_1,40
AADLib_AvionicsBusManagers_AvionicsBusMgr_XPS8500_1,36
AADLib_Blocks_FPA_block_without_runtime_i_1,4
AADLib_Blocks_FPA_block_with_runtime_i_1,5
AADLib_Blocks_memory_management_eight_links_i_1,5
AADLib_Blocks_memory_management_two_links_i_1,5
AADLib_Blocks_obc_i_1,5
AADLib_Car_Car_impl_1,44
AADLib_DMS_door_management_imp_1,6
AADLib_emaxxv2_power_distrib_emaxxv2_power_1,39
AADLib_emaxxv2_system_emaxxv2_impl_1,39
AADLib_Flight_Control_System_fcs_impl_1,41
AADLib_Flowlatencydata_application_allperiodicdelayed_1,42
AADLib_Flowlatencydata_topsystem_distributedallperiodicdelayed_1,42
AADLib_Flowlatencysampleddata_application_alldatadriven_1,42
AADLib_Flowlatencysampleddata_application_allperiodicsampled_1,42
AADLib_Flowlatencysampleddata_hardwareplatform_dual_1,21
AADLib_Flowlatencysampleddata_hardwareplatform_single_1,21
AADLib_Flowlatencysampleddata_topsystem_alldatadriven_1,42
AADLib_Flowlatencysampleddata_topsystem_allperiodicsampled_1,42
AADLib_Flowlatencysampleddata_topsystem_distributedalldatadriven_1,42
AADLib_flyByWire_subsys_MCU1_Impl_1,39
AADLib_fms_fms_impl_1,41
AADLib_Hello_World_hello_impl_1,36
AADLib_Hello_World_hello_impl_2,36
AADLib_ISR_Ticker_System_impl_1,9
AADLib_Main_Ardupilot_Ardupilot_Map_impl_1,38
AADLib_Main_Ardupilot_Ardupilot_Shield_impl_1,38
AADLib_mars_pathfinder_sys_mars_pathfinder_correct_1,40
AADLib_mars_pathfinder_sys_mars_pathfinder_impl_1,40
AADLib_MinePump_BA_MinePump_impl_1,44
AADLib_MinePump_MinePump_impl_1,44
AADLib_minirocket_system_minirocket_impl_1,39
AADLib_Mixin_Demo_impl_1,38
AADLib_MoDeVVa_modevva_impl_1,36
AADLib_Pacemaker_Pkg_DeviceControllerMonitor_others_1,9
AADLib_paparazzi_system_airborne_impl_1,39
AADLib_paparazzi_system_paparazzi_basic_archi_1,39
AADLib_paparazzi_system_paparazzi_PnP_tasks_interruptions_1,39
AADLib_paparazzi_system_paparazzi_PP_tasks_AP_interruptions_1,39
AADLib_paparazzi_system_paparazzi_PP_tasks_interruptions_1,39
AADLib_PartitionedSystemExample_arincsystem_impl_1,36
AADLib_Perseus_Perseus_Rocket_impl1_1,38
AADLib_Perseus_Perseus_Rocket_Master_1,38
AADLib_PING_PING_IMA_1,36
AADLib_Prodcons_vxworks_impl_1,36
AADLib_quadrirotorv0_system_arm7_i_1,39
AADLib_quadrirotorv0_system_arm9_i_1,39
AADLib_quadrirotorv0_system_quadrirotorv0_impl_1,39
AADLib_quadrirotorv1_system_quadrirotorv1_impl_1,39
AADLib_radar_system_radar_simple_1,40
AADLib_RAP_Code_RAP_Native_1,17
AADLib_RAP_RAP_ERC32_ORK_1,17
AADLib_RAP_RAP_GENERIC_IMPL_1,17
AADLib_RAP_RAP_LEON_ORK_1,17
AADLib_RAP_RAP_LEON_RTEMS_1,17
AADLib_RAP_RAP_Native_1,4
AADLib_Ravenscar_Example_Case_Study_LEON_Local_1,44
AADLib_RMAAadl_rma_impl_1,35
AADLib_Robot_BA_robot_i_1,44
AADLib_Robot_LF_Line_Follower_Robot_i_1,38
AADLib_Robot_robot_i_1,44
AADLib_Round_Robin_RR_impl_nopreempt_1,36
AADLib_Round_Robin_RR_impl_preempt_1,36
AADLib_satellite_system_OBMU_Impl_1,41
AADLib_SMP01_smp01_impl_1,36
AADLib_STM32Discovery_Ada_blinky_impl_1,35
AADLib_subsystem_m1_system_impl_1,41
AADLib_subsystem_m2_system_impl_1,41
AADLib_subsystem_m3_system_impl_1,41
AADLib_subsystem_m4_system_impl_1,41
AADLib_Time_Triggered_tt_impl_1,36
AADLib_traxsterv3_system_traxsterv3_impl_1,39
AADLModel_HomeSecuritySystem_HSS_SecuritySystem_with_devices_1,39
AADLModel_SmartThermostat_thermostat_arch_Generator_impl_1,10
AADLModel_SmartThermostat_thermostat_arch_Temp_sensor_impl_1,5
AADLModel_SmartThermostat_thermostat_arch_Thermostat_Controller_impl_1,9
AADLModel_SmartThermostat_thermostat_arch_thermostat_impl_1,38
AadlProjects_smartparking_communicationsupport_impl_1,44
AadlProjects_smartparking_driver_impl_1,3
AadlProjects_smartparking_parkelecpaymt_impl_1,4
AadlProjects_smartparking_parkingsystem_impl_1,44
AadlProjects_smartparking_parkmgmtsys_impl_1,4
AadlProjects_smartparking_parkmgmt_impl_1,4
AadlProjects_smartparking_persinfodev_impl_1,4
AadlProjects_smartparking_persInteractvTravInfo_impl_1,4
AadlProjects_smartparking_personallocmanagement_impl_1,4
AadlProjects_smartparking_roadsideequip_impl_1,4
AadlProjects_smartparking_roadsideinforeception_impl_1,44
AadlProjects_smartparking_RSEparkmgmt_impl_1,4
AadlProjects_smartparking_SmartParkingSystem_impl_1,17
AadlProjects_smartparking_TICDataColl_impl_1,4
AadlProjects_smartparking_TICInteractvTravInfo_impl_1,4
AadlProjects_smartparking_transinfoctr_impl_1,17
AadlProjects_smartparking_vehbasesafe_impl_1,5
AadlProjects_smartparking_vehicleobe_impl_1,4
AadlProjects_Speedwrisic_RoadAssistanceITS_impl_1,4
AadlProjects_Speedwrisic_RSEquip_impl_1,5
AadlProjects_Speedwrisic_Speed_impl_1,4
AadlProjects_Speedwrisic_TMInfo_impl_1,4
AadlProjects_Speedwrisic_Vehicletransit_impl_1,17
AadlProjects_vtv_remoteVehicleOBE_impl_1,3
AadlProjects_vtv_transOperator_impl_1,3
AadlProjects_vtv_transvobe_impl_1,4
AadlProjects_vtv_VehicleTransitSystem_impl_1,4
aadlv2_issue_16_Child_impl_1,43
aadlv2_issue_16_Parent_impl_1,43
AADLVending_Sterownik_VendingMachineSterownik_with_Devices_1,39
AADLVending_Sterownik_VendingMachineSterownik_with_Devices_2,39
AADL_Architecture_MarsPathfinder_PT_system_simple_1,36
AADL_FEES_Board_STM32_STM32L476_Discovery_impl_1,19
AADL_FEES_FEES_FEES_impl_1,19
aadl_ils_project_ils_ils_impl_1,43
aadl_model_Bankomat_AtmSystem_with_devices_1,39
AADL_RASPBERRY_smacz_HumanActivityMonitoringSystem_impl_1,40
AASPE_automotive_system_car_cherokee_1,19
AASPE_automotive_system_integration_attack_1,19
AASPE_automotive_system_integration_i_1,19
AASPE_security_cwe131_main_correct_1,10
AASPE_security_cwe131_main_incorrect_1,8
AASPE_security_cwe131_main_i_1,8
AASPE_security_cwe311_main_failure1_1,22
AASPE_security_cwe311_main_i_1,22
AASPE_security_cwe311_main_success1_1,22
AASPE_security_cwe311_main_success2_1,22
AASPE_security_cwe362_main_correct_1,8
AASPE_security_cwe362_main_incorrect_1,8
AASPE_security_cwe362_main_i_1,8
AASPE_security_cwe805_main_failure_array_1,22
AASPE_security_cwe805_main_failure_float_1,22
AASPE_security_cwe805_main_failure_int_1,2
AASPE_security_cwe805_main_success_array_1,2
AASPE_security_cwe805_main_success_float_1,22
AASPE_security_cwe805_main_success_int_1,22
AASPE_security_r0_main_correct_1,20
AASPE_security_r0_main_incorrect_1,20
AASPE_security_r0_main_i_1,20
AASPE_security_r1_main_correct_1,10
AASPE_security_r1_main_incorrect_1,10
AASPE_security_r1_main_i_1,10
AASPE_security_r2_main_correct_1,19
AASPE_security_r2_main_incorrect_1,19
AASPE_security_r2_main_i_1,19
AASPE_security_r3_main_correct1_1,19
AASPE_security_r3_main_correct2_1,19
AASPE_security_r3_main_incorrect1_1,19
AASPE_security_r3_main_incorrect2_1,19
AASPE_security_r3_main_i_1,19
AASPE_security_r4_main_correct1_1,8
AASPE_security_r4_main_correct2_1,8
AASPE_security_r4_main_incorrect_1,8
AASPE_security_r4_main_i_1,8
AASPE_security_r5_main_correct_1,8
AASPE_security_r5_main_incorrect1_1,8
AASPE_security_r5_main_incorrect2_1,8
AASPE_security_r5_main_incorrect3_1,8
AASPE_security_r5_main_incorrect4_1,8
AASPE_security_r5_main_i_1,8
AASPE_security_r6_main_correct_1,20
AASPE_security_r6_main_incorrect_1,20
AASPE_security_r6_main_i_1,20
AASPE_security_r7_integration_fail1_1,22
AASPE_security_r7_integration_fail2_1,22
AASPE_security_r7_integration_fail3_1,22
AASPE_security_r7_integration_i_1,22
AASPE_security_r7_integration_success1_1,22
AASPE_security_r7_integration_success2_1,22
AASPE_security_r7_integration_success4_1,22
AASPE_security_timing_requirements_main_correct_1,8
AASPE_security_timing_requirements_main_incorrect_1,8
AASPE_security_timing_requirements_main_i_1,8
AASPE_sel4_bb_serial_main_beaglebone_1,40
AASPE_sel4_hello_world_hello_impl_1,36
AASPE_sel4_ping_pong_event_ping_beaglebone_1,36
AASPE_sel4_ping_pong_event_ping_impl_1,36
AASPE_sel4_ping_pong_event_ping_kzm_1,36
AASPE_sel4_ping_pong_event_ping_x86_1,36
AASPE_sel4_ping_pong_ping_beaglebone_1,36
AASPE_sel4_ping_pong_ping_impl_1,36
AASPE_sel4_ping_pong_ping_kzm_1,36
AASPE_sel4_ping_pong_ping_x86_1,36
AASPE_sel4_two_tasks_twotasks_beaglebone_1,36
AASPE_sel4_two_tasks_twotasks_impl_1,36
AASPE_sel4_two_tasks_twotasks_kzm_1,36
AASPE_sel4_two_tasks_twotasks_x86_1,36
adiru_aadl_Adiru_ADIRU_impl_1,7
adiru_aadl_other_system_fmc_system_impl_1,3
adiru_aadl_subsystem_adr_system_impl_1,4
adiru_aadl_subsystem_ir_system_impl_1,5
Aircraft_aircraft_functional_aircraft_functional_model_1,18
air_Ex1_s_i_1,9
air_Ex2_s_i_1,9
air_Ex2_wrapper_i_1,9
air_Ex3_as_i_1,9
air_Ex3_bs_i_1,9
air_Ex3_wrapper_i_1,9
alisa-response-time_Simple_system_Computation_chain_Impl_1,3
An-AADL-Model-of-Smart-Home-System_Clients_Clients_impl_1,9
An-AADL-Model-of-Smart-Home-System_MainControlRouter_MainControlRouter_impl_1,9
An-AADL-Model-of-Smart-Home-System_RemoteServer_RemoteServer_impl_1,9
An-AADL-Model-of-Smart-Home-System_smart_home_system_smart_home_impl_1,9
APS-Communication_Architecture_AidsToNavigation_AidsToNavigation_impl_1,4
APS-Communication_Architecture_APS_APSCommunication_impl_1,27
APS-Communication_Architecture_APS_ASC_Backup_impl_1,4
APS-Communication_Architecture_APS_ASC_impl_1,26
APS-Communication_Architecture_APS_ASC_Main_impl_1,26
APS-Communication_Architecture_APS_AuxiliarySystem_impl_1,17
APS-Communication_Architecture_APS_BMS_impl_1,3
APS-Communication_Architecture_APS_COLAVandSSITAW_Backup_impl_1,4
APS-Communication_Architecture_APS_COLAVandSSITAW_impl_1,4
APS-Communication_Architecture_APS_DockingSystem_impl_1,17
APS-Communication_Architecture_APS_EmergencyButtonTransmitter_impl_1,9
APS-Communication_Architecture_APS_GNSS_IMU_Backup_impl_1,3
APS-Communication_Architecture_APS_GNSS_IMU_Main_impl_1,3
APS-Communication_Architecture_APS_IDS_impl_1,27
APS-Communication_Architecture_APS_IS3MS_impl_1,26
APS-Communication_Architecture_APS_LogBook_impl_1,32
APS-Communication_Architecture_APS_MachinerySystem_impl_1,40
APS-Communication_Architecture_APS_NavigationSystem_Backup_impl_1,4
APS-Communication_Architecture_APS_NavigationSystem_Backup_impl_withRedundancy_1,27
APS-Communication_Architecture_APS_NavigationSystem_impl_1,27
APS-Communication_Architecture_APS_NavigationSystem_impl_withRedundancy2_1,27
APS-Communication_Architecture_APS_NavigationSystem_impl_withRedundancy_1,27
APS-Communication_Architecture_APS_NetworkAndSystemManagement_impl_1,26
APS-Communication_Architecture_APS_PMS_impl_1,41
APS-Communication_Architecture_APS_PowMS_impl_1,16
APS-Communication_Architecture_APS_SafetySystem_impl_1,40
APS-Communication_Architecture_APS_WANLoadBalancer_impl_1,27
APS-Communication_Architecture_CloudComponent_APSCommunication_impl_1,2
APS-Communication_Architecture_CloudComponent_CommunicationHubServer_impl_1,2
APS-Communication_Architecture_ECT_APSCommunication_impl_1,27
APS-Communication_Architecture_ECT_EmergencyButtonReceiver_impl_1,10
APS-Communication_Architecture_Mobile5GNetwork_APSCommunication_impl_1,4
APS-Communication_Architecture_Overall_APSCommunicationArchitecture_impl_1,27
APS-Communication_Architecture_RCC_APSCommunication_impl_1,27
APS-Communication_Architecture_RCC_ControlComputer_Backup_impl_1,27
APS-Communication_Architecture_RCC_ControlComputer_Main_impl_1,27
APS-Communication_Architecture_RCC_IDS_impl_1,27
APS-Communication_Architecture_RCC_IS3MS_impl_1,26
APS-Communication_Architecture_RCC_NetworkAndSystemManagement_impl_1,26
APS-Communication_Architecture_Ship_APSCommunication_impl_1,2
APS-Communication_Architecture_SSS_APSCommunication_impl_1,4
APS-Communication_Architecture_Stakeholder_APSCommunication_impl_1,2
APS-Communication_Architecture_TIS_APSCommunication_impl_1,2
arch-models-example-2_CruiseController_CruiseControllerSystem_Impl_1,7
arch-models-example-2_DeliveryDrone_DeliveryDroneSystem_Impl_1,7
arch-models-example-2_GNC_GNC_Impl_1,7
arch-models-example_ClientServer_ClientServer_impl_1,26
arch-models-example_resourcebudgets_DCA_tier1_1,44
arch-models-example_resourcebudgets_DCA_tier2_1,44
arch-models-example_resourcebudgets_DCS_dualtier2_1,19
arch-models-example_resourcebudgets_DCS_singletier0_1,18
arch-models-example_resourcebudgets_DCS_singletier1_1,19
arch-models-example_resourcebudgets_DCS_singletier2_1,19
arch-models-example_resourcebudgets_MySystem_Tier0_1,18
arch-models-example_resourcebudgets_MySystem_Tier2_1,19
arch-models-example_resourcebudgets_platform_dual_1,19
arch-models-example_resourcebudgets_platform_single_1,19
arch-models-example_resourcebudgets_SCS_dualtier2_1,19
arch-models-example_resourcebudgets_SCS_tier0_1,18
arch-models-example_resourcebudgets_SCS_tier1_1,19
arch-models-example_resourcebudgets_SCS_tier2_1,19
AuthInAADL_resolute_check_dataflow_filter_i_1,3
AuthInAADL_resolute_check_dataflow_integration_i_1,22
AuthInAADL_resolute_check_dataflow_receiver_i_1,3
